WT,pptase,ST,SpT
2967.312744,35.306786,1204.136841,152.613159
1600.949463,599.554688,1290.067505,562.329895
1482.630981,-232.866058,670.160339,59.299435
1036.088867,-6.391244,1102.043213,35.20052
26.655312,-91.69426,1452.190796,123.603081
12180.28613,124.607887,9696.563477,493.933716
1553.631958,-80.065262,986.095581,324.593445
2830.452881,-146.448517,3150.309082,378.587189
11454.66406,-69.30233,14799.94629,219.134521
566.376953,1.641026,348.864838,138.476318
1691.453369,-87.29023,1069.275757,150.474442
4569.549805,98.827515,1932.971069,23.288113
565.091003,28.165806,410.169678,12.817893
762.659485,-32.726112,1050.37439,65.125191
788.116089,-81.363556,1069.844849,105.468201
492.39859,-55.752724,307.678131,26.167492
2157.438477,486.318787,1401.769043,20.470299
4112.855469,-0.408867,2943.242676,112.42244
10480.20117,-99.869659,7149.520996,433.98056
1847.539551,-100.815079,663.36377,94.460129
1136.39917,154.455597,1518.562744,195.688904
1130.911743,27.080433,1133.605591,35.884979
9548.791992,19.428577,2487.705566,73.228729
1813.446289,-78.339874,1293.091919,207.277588
5141.964355,48.378197,9389.5,216.496429
3256.32959,-40.201832,386.879913,147.435318
3572.554932,100.42968,267.147888,106.588028
197.468719,142.980637,223.85994,59.338131
1384.090088,63.659985,1486.663574,219.588089
535.720215,-75.774399,697.108765,28.05043
1440.703491,20.277996,634.127625,111.175888
2439.940186,-57.726021,1228.874023,95.409569
11699.93359,-4.254326,13132.2666,780.118408
18758.68555,222.199951,5145.203613,412.67923
22050.37891,-74.269669,3889.039307,131.407425
6224.714355,46.957039,3011.001465,8.517275
21593.14453,-49.610092,22614.98633,477.966187
10001.76367,125.303322,1666.106689,228.68837
3120.980957,202.538879,639.883362,18.584074
479.207489,-85.061539,381.850403,106.480637
11724.87793,67.808022,10491.38281,720.366455
4805.728516,-56.529083,1192.745239,64.834244
6774.546387,-4.645903,1483.778687,125.807884
457.924896,-51.545914,477.990601,178.601944
4717.67041,-55.435646,2303.533447,217.018234
1771.666992,-97.031693,990.673035,260.338562
11782.56152,152.809845,5752.058594,117.151749
32299.89453,21.383575,21042.51563,1727.52478
28141.48047,171.445892,5890.018066,108.806549
3285.712646,88.62101,1615.14624,115.527145
2838.763428,46.653488,2177.900391,303.911377
5773.205078,34.603989,2524.293701,146.440689
1244.143433,-122.122528,740.406128,238.868408
253.369598,37.740383,321.163239,49.84589
17450.86133,283.194122,16133.58398,278.219269
701.396423,-27.959814,628.37738,103.520042
10569.46484,34.295258,2617.733643,416.023499
5245.251465,146.678055,1272.737305,17.519108
1187.628418,195.914825,1070.496704,300.581329
913.452393,2.434315,669.952148,179.703766
2524.532715,270.054993,1284.863892,713.019653
959.565063,75.562927,806.989685,77.868622
2155.964355,88.317879,331.837189,223.862122
999.794067,245.589478,555.638,21.85848
5462.985352,6.281244,3682.419189,457.54187
2352.383545,31.947823,616.123169,109.562233
4217.622559,82.079781,1390.451294,83.654266
4912.946289,-56.629593,1674.722534,335.47229
9418.102539,39.530922,6412.283203,153.164597
2114.038086,34.362232,1049.391357,141.112656
4759.448242,-16.007591,7280.092285,309.809875
702.78009,126.618652,336.703583,86.89505
2445.17749,-63.886261,1423.20752,683.171814
671.03125,-37.579407,427.293945,122.107597
3446.5625,150.266724,4204.062012,204.033813
2207.433838,-155.997299,3748.306885,729.036682
2022.01416,-8.438313,1715.542358,96.26622
21934.96484,54.322937,3099.759033,404.853821
907.368958,-81.155731,966.145874,164.569397
3294.248047,-52.33984,681.267944,111.105713
726.054565,-87.539932,467.455261,196.134445
3995.00293,108.011589,1887.866699,116.310165
1160.228882,180.604187,1359.626831,61.894974
3142.834473,-36.308556,1383.171875,188.154999
8463.121094,122.692085,2388.325928,50.662796
1007.763977,-67.423035,555.186951,307.57843
1789.498291,97.170433,560.325867,72.763016
3297.54834,276.071472,2003.464355,231.21579
4133.171387,49.883522,955.07251,49.383785
11168.23828,36.690315,1372.997681,111.628868
2052.372314,-151.557999,22739.52344,195.866806
1963.781494,292.615265,1607.923706,587.48053
1962.205444,105.616272,274.147369,19.371193
1294.262207,33.772789,564.216064,146.131165
6737.536133,66.109268,461.042969,100.186226
7682.46875,-54.690903,15588.47949,237.441605
10056.81934,50.174065,729.971863,172.273834
3883.675293,46.451752,1937.82959,56.385525
5571.198242,-17.530928,2994.899414,207.837128
1200.190674,16.281818,976.308289,178.992722
317.647308,98.15535,373.411102,138.162857
9929.12207,2.338177,8886.639648,281.066711
1502.569092,35.686436,1504.60144,192.299271
12770.78906,-183.904556,15148.6543,467.688995
5851.835938,-136.079178,2252.256592,417.754059
9139.182617,-137.005646,13116.99414,288.661011
4671.882324,17.602745,2299.670166,208.1577
2786.228516,-8.416645,1856.126099,329.338654
3016.862549,1.197613,1149.814941,318.991364
3231.544678,-20.274124,1082.109375,50.689117
387.996704,77.111992,780.267212,112.097267
1230.985107,5.51072,693.143433,46.254707
743.933044,121.925255,448.136963,103.793564
1139.405518,77.727997,606.241455,426.033417
8556.888672,92.996201,3572.126221,144.753571
893.993835,13.956978,833.741699,143.36264
11292.91406,38.936783,1107.49707,172.942993
4750.56543,-30.531498,1173.172485,184.116135
30032.8418,106.437325,10828.02734,72.353645
1929.908569,92.262474,1064.507324,393.072113
4245.925781,-25.809412,2913.966309,160.246094
1067.702026,-31.600994,963.92865,203.428223
894.69342,72.074776,873.378784,199.450439
14038.08203,-79.858414,5679.427734,433.775879
4037.201172,-124.93425,1956.581055,227.881241
1446.06311,-63.751842,1668.970703,180.153442
7015.889648,-13.888861,2091.591797,123.38842
2187.081787,-64.900497,2038.288208,19.303864
331.949707,-120.366386,132.982391,58.603836
715.828369,-16.847141,590.639771,204.715591
3921.458252,69.120949,597.784363,86.09539
594.217224,39.249638,606.303894,129.026459
3052.637207,-94.27182,2398.063232,139.741501
2214.396484,-20.809256,3734.105713,105.396645
1621.161255,-50.985798,418.922333,96.676262
2315.985107,-90.731117,1227.595459,159.256241
5620.825684,0.689198,2107.550781,102.555115
14552.52148,120.097076,2009.266357,134.561813
1213.41272,-119.580505,859.336731,128.35405
5679.407227,-92.366196,5303.192383,199.642044
1445.0802,-25.230618,889.56427,173.704559
319.796539,190.982101,141.497162,88.106316
4970.756348,-45.383907,1961.827026,331.040802
4458.312012,188.802155,1703.951538,308.666382
3055.969727,-3.131956,1810.187744,112.769966
1542.184326,249.763199,693.706909,98.109283
8437.077148,156.770248,1546.873169,109.853455
2096.448975,-28.196735,1065.600464,160.766617
8822.743164,21.558998,1405.694336,20.1558
3405.187256,-44.796768,582.573364,239.297226
715.899902,77.0196,194.563507,84.880737
5200.310547,-21.337811,6315.639648,453.561249
3334.159912,67.674294,3032.081787,560.286133
16047.3457,120.854568,2290.659424,248.177597
916.288452,116.518715,1872.778931,131.09642
1052.509888,-30.624655,2923.239014,37.539032
5878.671387,-28.979481,5530.960938,180.445068
2109.503662,-88.936905,1055.656982,315.917847
2116.70752,240.647125,1575.484253,174.375183
3516.462402,174.540131,1517.582397,30.657063
10507.89356,129.385651,3719.846436,48.334518
1758.09082,69.722824,5073.627441,60.374115
1242.410278,-59.753082,1113.551514,117.027
3010.584229,40.054962,400.565735,95.090416
1832.249512,39.27943,916.654968,141.406204
28557.9082,194.073486,15741.37305,404.778168
2168.341064,-42.044769,1332.837891,138.679642
1975.893555,0.600728,956.448853,207.316025
99.301506,-11.894811,105.010857,48.058464
724.211304,142.059113,475.620605,281.878204
3093.819824,69.829849,824.647095,76.943321
2146.168457,235.743103,606.928345,21.47275
4112.843262,177.265839,2798.993652,99.277435
1646.275879,-59.943703,516.942993,268.614899
5703.429688,47.495453,1077.842163,140.708771
6485.224121,146.94519,1598.460571,40.442768
698.699951,-46.834419,895.805725,177.322952
1459.202393,3.940732,456.374695,102.038315
762.019958,-33.750816,1182.061646,141.065353
1058.167603,-28.307278,853.642822,141.215179
5595.334961,84.545349,2382.341309,63.305508
7356.67041,74.87471,265.785492,40.638626
1790.074829,22.847511,1931.674683,285.591431
5241.191895,82.278542,1417.269043,174.058762
2912.687012,23.646328,1963.383057,213.761063
1597.697876,-31.703255,426.594482,1023.985962
8436.950195,-3.894112,3519.717529,395.339691
1224.885864,201.810272,1637.02002,86.495598
5521.793945,534.357727,6668.867676,232.315155
