WT,pptase,ST,GFP,SpT
10.727083,38.558846,-81.179642,21.821205,69.678162
99.914917,82.152313,11.676803,125.491203,-6.99848
114.281761,235.752609,-3.455951,245.772858,194.274567
102.857346,91.90461,-29.793879,16.40737,-22.408484
-4.067483,58.874939,-16.284458,56.972427,36.050171
8.602333,93.092064,97.790009,121.484222,41.067348
141.031479,171.546036,-22.441772,190.098648,226.944122
82.59726,84.73941,-56.394203,188.898911,76.121368
62.466972,28.331371,67.56839,236.884491,38.23428
50.178806,5.78239,69.259514,93.060028,28.97147
95.841286,121.026314,-22.708838,155.925995,-15.16612
-6.446806,117.38134,53.601337,121.099991,66.741066
16.403105,115.55188,22.38413,342.880859,-33.183899
18.529482,84.533401,-32.798771,205.860367,17.67926
104.013893,52.527557,-19.834747,97.671722,5.553745
116.012917,-19.598158,21.353127,180.994843,29.758152
64.077629,-15.306989,-36.246044,115.586327,-35.637783
111.822311,-10.964087,-51.507225,91.001373,11.855167
45.458046,139.479813,-19.054956,241.825882,-11.329856
97.805519,101.615662,19.150316,292.770508,182.472321
100.506813,601.884521,0.24041,450.169952,-15.322142
113.585342,47.531216,21.842207,515.828247,37.759602
94.619598,124.258698,66.118988,464.807434,6.735313
147.485184,146.045074,-66.39183,406.058899,-14.509003
13.257503,36.407135,-13.990854,18.210865,57.614403
11.504533,-7.975543,22.183132,57.317459,127.673546
54.596806,34.508156,-1.866968,89.743706,46.544163
-41.545979,736.653198,-27.799789,652.36908,-396.945038
97.256889,7.566281,34.546425,127.817444,63.038673
-33.299473,82.884537,-59.06448,141.111038,71.821121
86.403061,355.555359,-52.752609,1193.289185,-12.001183
27.252993,61.326561,11.161941,86.224854,38.939083
73.71331,53.779335,10.216251,73.318985,48.455502
224.293655,100.667633,41.69891,135.556442,68.768799
122.369598,121.208191,-41.175571,188.692215,31.690653
163.39592,-73.194542,-9.091978,101.055847,126.001122
182.239563,26.444706,-72.009697,89.832237,87.633362
-5.136031,33.206455,22.90041,134.103638,96.385979
87.75721,71.712769,15.591921,72.099983,83.80513
173.067642,154.306793,-4.012018,664.442444,62.691944
70.49276,223.035187,-30.500755,284.814148,-86.611343
15.893227,362.118408,42.435062,551.702881,-327.402557
70.795288,212.02713,62.830494,328.709015,-175.380417
13.647953,143.089218,79.776222,566.526672,-85.74514
-3.72147,131.930405,28.166889,28.386883,14.506844
-1.797373,38.305485,75.557632,29.536034,-34.210697
77.915596,32.899761,73.955666,36.042625,25.876621
-15.263769,75.261848,-82.571014,347.102264,123.417557
116.723938,64.219795,-50.986298,96.16301,164.977448
30.595575,-16.952681,8.134979,89.377457,14.111605
56.431473,98.62677,-11.379683,178.209061,119.224709
109.972794,10.111697,33.948845,255.228516,-34.039436
80.147598,99.496162,16.426308,182.849319,69.081169
135.968979,48.374779,33.045235,490.803131,117.432182
64.307281,91.547523,77.338242,15.165225,-19.619841
36.448162,240.482849,-6.558285,1801.779419,309.441528
-38.178474,279.805725,-14.875405,387.425354,69.659195
19.455475,116.408287,-9.047947,54.97736,46.654034
