WT,pptase,ST,SpT
14139.22754,-31.187803,1561.424438,506.143463
720.085205,-108.36084,709.089783,437.716064
310.849396,-68.554161,173.837006,9.733734
14778.70508,-100.110779,1032.910034,426.058929
1178.842163,-100.032234,459.364319,59.462967
3271.308838,-135.768143,1603.31897,427.262085
4241.075684,4.246212,2453.779297,145.92215
268.089722,70.147743,285.932129,43.952461
356.112854,33.54258,498.35025,169.802521
862.161377,21.55131,1737.901001,88.010468
10757.29004,-58.795677,7337.207031,552.545044
2996.939697,-282.83606,2177.216064,3495.961914
4621.757812,200.329208,2198.241211,594.799377
355.751312,-131.768433,696.943848,52.069122
4489.133301,-118.636658,3628.683105,183.488739
2130.550293,-213.698975,2681.143799,2362.76123
6992.943359,-193.346466,2527.831787,4228.090332
2398.104492,23.908527,1777.555664,2640.818604
4300.42041,48.339977,1151.061768,161.439194
274.872589,-38.465527,339.330292,268.695435
899.541321,21.078594,1039.088501,41.588154
6718.978516,1452.736938,4542.162598,5982.649414
3758.096191,-132.666565,13709.71973,367.563385
2442.811768,-179.800034,1150.927124,1046.820557
255.799805,78.744232,231.038223,87.497162
845.595215,-81.75415,488.117523,71.490189
449.083282,128.375122,463.331635,62.701046
49.282379,-25.250212,208.568222,173.278152
538.091248,6.17012,808.04126,147.066208
982.71521,119.855598,424.337677,232.25177
1127.405029,-24.760368,890.508423,246.907623
837.533081,80.897308,661.147583,54.207443
925.142456,88.870506,541.966492,48.992264
10740.70117,-45.101768,2335.36084,325.061676
953.141907,-18.958691,867.578308,104.78611
4709.748535,38.329189,1258.183105,35.34095
1380.468994,205.789017,147.50856,64.967628
715.052734,37.246941,814.553894,116.724815
863.126892,160.689117,1046.626099,144.923462
502.959717,145.209732,538.554382,144.415039
679.383423,74.051086,516.348267,71.752945
3227.479492,-121.169678,3435.713867,1758.683472
950.762817,118.430779,812.313599,126.140083
7847.683594,213.981323,7128.258301,159.609955
1741.450684,122.977165,1367.945923,312.39389
891.220947,44.655327,1087.531738,204.481033
14325.85059,-35.448502,1357.226318,207.596497
3437.535889,58.711571,1488.641724,179.602264
2120.378418,14.288524,1509.464111,177.318085
508.841736,121.570572,837.219666,171.226227
385.210358,-97.693604,341.612152,210.392395
3484.125,-143.052856,1642.145386,2952.690918
474.535919,-37.865429,437.588196,35.659843
188.855988,149.724152,600.889526,57.731262
898.937866,42.133194,797.777283,90.560661
1791.485596,42.549339,1139.151001,138.80722
390.373413,30.90839,566.492493,196.573196
382.563751,-50.284126,413.769409,32.893688
1160.070068,-129.867645,1644.677856,348.497955
521.156738,-10.230054,976.785645,104.01236
3582.416504,-135.982635,1026.436035,1329.931885
192.1828,-119.263199,1202.076416,135.645737
722.670898,142.675507,696.808899,74.016411
13316.0752,-206.068817,1650.295654,2898.462891
1691.297974,-27.334751,1016.019775,443.410858
95.251854,45.568817,365.519562,31.082523
19146.76172,63.594627,5831.978027,199.426956
4389.736328,-239.212708,2169.005615,231.704926
1374.615234,-48.419682,985.452271,453.943817
11039.76074,-45.170746,8155.358398,1687.358765
809.948608,57.483501,682.027405,48.943626
2243.686279,40.02536,1152.076416,68.973656
2217.831055,18.629623,662.147461,103.1735
300.344757,-23.455954,374.210327,95.003372
3657.68042,3.308751,227.847702,224.140762
1357.360229,-80.458084,378.339478,259.267548
21558.79492,263.34903,1995.910645,504.393341
240.105637,-77.63147,117.430077,58.193935
1002.210693,-18.314137,412.015869,188.800186
350.039703,50.761742,702.685974,50.802082
452.727325,-72.062202,516.15686,355.512909
1236.853149,322.402527,618.374939,340.493011
11899.00293,159.94574,3281.884277,218.416336
2604.781006,34.31617,1981.765259,75.278648
1305.814697,-8.603041,631.999573,135.834839
376.019226,83.320023,500.742462,84.639183
1600.324463,-143.590836,4762.656738,258.374664
1327.292969,456.312256,894.651978,206.600082
4943.21582,-16.584227,1231.720093,678.054504
1459.238647,-72.112022,1018.185608,690.254517
705.729858,146.362671,423.871704,28.162809
1321.623535,163.917969,874.947021,294.2276
781.152039,-161.702942,799.033813,715.255737
506.221954,2.948864,753.997986,311.487335
2182.676514,-53.964718,1983.103271,756.177368
1384.321899,21.824047,816.809387,155.256424
4323.589355,59.6912,2130.70166,139.630096
8967.535156,619.274048,5036.054688,7851.52832
1448.061401,160.964554,1052.429688,1314.079956
470.614563,-36.754463,427.058533,147.283325
1963.372925,-139.367294,4309.576172,435.851837
2489.559326,77.249786,2286.673096,551.124268
1450.399902,153.801285,1051.174805,117.442848
501.857635,-120.758728,296.707062,294.894043
2406.295898,-40.553612,1535.414551,134.269196
2024.797119,219.045441,3769.709473,1408.302368
2538.043213,17.22934,769.007446,105.014
1816.923462,-100.181404,725.316284,220.319611
911.351929,31.069605,713.80127,183.808563
1443.943359,-32.854546,890.027283,156.893494
1407.366089,62.081192,640.33667,97.655334
1189.346436,200.827652,945.985657,29.119766
6781.319824,65.054291,1593.302612,2702.662354
1119.817261,20.168583,607.015564,124.407005
23707.56055,256.039154,9625.297852,686.900574
1173.612793,10.656109,1629.29895,631.220886
18310.85938,84.33815,2436.001465,263.646698
2619.238525,-66.482948,1171.526367,273.447906
1723.302979,501.643341,869.549927,258.321838
6894.899414,116.256569,1868.55249,137.596771
628.772217,138.348221,745.704956,4.632482
622.320679,-61.021133,384.004395,199.653915
3671.644287,128.798294,7495.39209,1862.156128
1402.119141,25.271214,1771.319336,179.237946
2161.923828,36.78352,955.187195,387.180206
579.930359,52.476864,688.080017,193.086472
3186.667969,-92.09494,936.316528,376.929077
332.703308,-12.999472,526.74115,125.837837
1654.329956,88.963257,1669.205444,405.770813
1674.575928,-67.998627,760.429199,108.571854
2545.918701,514.474976,1437.093384,2034.415771
741.855286,38.661182,407.936401,58.949986
2152.371826,-179.662033,1165.376709,146.870514
3795.450684,128.243317,1892.842163,2458.033691
1912.445312,90.025932,984.079285,124.096741
728.320312,-87.735657,392.070404,2589.959473
1182.96936,43.855652,939.585266,355.166962
6951.42334,-21.662174,7343.376953,223.012894
826.55603,-141.990494,724.847046,816.2854
12463.99023,21.575375,5781.42627,404.381653
1003.008423,-47.002716,874.804321,97.445358
1419.95752,284.07547,2211.815674,5.872849
918.88501,179.000336,315.710327,10.947658
748.779358,223.920105,1135.14563,333.284912
7962.493164,-133.737305,1788.834106,390.920471
1167.233887,56.430164,1287.280762,154.179794
3230.119141,95.829262,2391.011719,191.27269
3135.362549,-39.346893,809.822693,181.527954
371.033936,-23.436052,283.362671,253.829224
2478.022705,194.215134,7243.544922,377.30661
1238.254395,-67.37606,880.519897,658.793213
346.066589,-29.700312,582.422913,87.391487
652.74762,-64.887894,1754.179932,1369.971313
4183.087402,-20.668522,2962.315674,295.55246
5430.423828,-94.149284,3357.550781,129.394958
1731.280762,9.965153,1027.219238,448.661316
851.376953,-66.531479,518.938049,119.815407
