WT,pptase,ST,SpT
1689.476318,-239.844315,3983.389893,70.806725
206.55751,-77.610039,424.585785,112.492317
12458.8877,-82.102356,5648.608398,83.287277
1673.337891,59.451561,2229.550293,66.133774
19645.98828,1.669436,2980.344971,16.647245
990.741089,132.129883,918.536987,28.599169
20266.25586,77.384369,17047.94531,161.208633
2674.481201,33.627686,1706.392944,32.499161
4586.132812,54.592922,5076.740723,3.967442
11115.01563,29.775101,10840.37793,72.993874
3106.311035,64.217468,4298.815918,209.175171
706.954773,-69.676117,586.598267,34.974106
1108.452271,-45.169437,495.639801,87.561325
1924.835327,12.026896,1104.043945,31.015049
769.188293,-181.332748,951.646851,52.486538
658.797241,-23.757753,522.626282,37.19804
728.151489,99.509911,446.62381,11.077014
464.404572,-30.774281,782.436768,91.392937
16044.55273,-48.274063,15977.58887,78.10672
874.782532,-87.182014,586.904724,85.425812
3922.462402,-70.218002,569.450989,23.300455
2627.094727,-201.652954,1880.923706,149.951935
7228.536621,40.969109,10158.14356,165.408569
1412.716553,4.976562,1116.217285,60.846512
5476.341797,-48.664742,1643.121338,37.828312
778.626587,24.977955,781.613708,123.449677
5718.379395,-16.987541,2087.126953,67.350876
539.331299,23.324112,581.615051,67.215073
1066.030396,-400.124908,668.814758,38.008007
588.330261,-31.539974,451.8591,110.843658
648.713318,-35.670982,904.932617,49.398285
361.736572,-51.538067,261.950073,59.504768
1482.431274,-49.744011,2616.428711,33.597202
1604.957275,42.077644,1078.105957,44.275223
769.046021,31.233353,575.811096,30.471239
4222.321777,-16.889893,2313.935059,116.902733
1735.788086,-11.719727,3142.014648,75.213264
587.554321,-42.805496,1050.045166,48.321518
1834.710693,58.128258,1440.477905,121.161324
1137.788208,-46.035488,1227.440674,148.82579
2291.018799,30.537281,1118.463623,39.924156
2704.189209,-55.524719,2507.628662,51.229721
995.094421,-16.034853,218.727676,51.09399
519.812256,-79.50634,598.796326,118.237083
1338.528076,-183.56073,2986.086426,112.423859
1411.807007,-54.102966,1858.687622,60.087345
1002.041748,-25.422956,1335.120605,103.760719
2857.616699,-312.846466,1218.013184,111.953331
775.997803,-61.609234,379.953705,17.445038
5088.724121,-125.564262,2071.940674,57.626686
1085.828369,-70.540237,593.345581,16.832932
478.644043,-112.53434,412.62735,85.299492
965.796814,-101.913216,878.893555,86.666779
928.330688,-43.975761,428.908844,49.481659
505.79425,115.429199,1517.133301,22.55892
2381.585205,1.893099,2956.419922,79.909843
2026.950684,-110.014702,1571.429443,154.81694
660.65155,-104.548363,237.329987,97.714409
3342.583008,20.194307,2622.584229,82.516533
1854.493896,-214.360916,992.040405,70.084641
6393.787109,5.363607,3384.115967,40.986137
6550.619141,-54.881111,4863.747559,6.421627
189.731766,50.003529,204.157043,21.70434
1108.123535,-127.805252,1113.056641,44.920944
1139.556152,-59.320904,694.874207,116.373299
3213.32373,-198.993744,923.018555,181.027588
3026.849121,-42.217667,1424.598267,55.844341
3808.920166,105.254547,986.934631,8.498503
7548.879883,60.352173,21743.37891,353.568268
