WT,pptase,ST,SpT
1750.255005,-120.636742,184.915894,514.641174
4790.840332,997.07782,1427.599854,642.903198
2289.098389,321.052094,1444.623169,737.810791
279.895813,15.057029,119.307556,806.446899
1442.925659,43.610901,1104.527344,147.571259
10066.92188,1846.604248,10982.54395,101.083275
1251.551025,-96.719383,1237.090576,1442.003174
1986.88269,-226.043686,505.156494,324.929901
2939.572998,2477.588867,4578.592285,132.713425
2156.677734,-47.992172,1053.581177,777.218628
1249.659912,981.047241,839.547852,551.273804
1326.623047,-36.730793,711.103699,2143.694092
8448.347656,-367.490662,7768.905762,4269.987305
700.787048,5155.142578,4724.740234,268.706818
5504.003906,340.865234,1856.186768,1581.418457
2765.847412,253.131287,825.11615,1037.397583
929.912659,-330.366913,1388.761963,85.370346
4014.624512,2508.770996,3867.979248,675.711365
8607.662109,-209.873352,1469.789185,1079.883667
1512.626221,-155.328125,741.776733,296.842346
10720.42676,-178.654388,3227.912354,2890.051514
6607.40625,1914.723022,5637.082031,10762.12012
4836.001953,-240.565811,2873.950195,2205.907471
1346.956421,-174.087509,1125.743652,1768.567993
7715.211426,1097.753052,2932.819824,2932.466309
11681.81934,-198.652145,10693.19141,524.125122
1283.680664,94.793015,1015.608215,426.162659
3981.746582,-33.596123,1017.768982,595.191528
1445.901001,111.16391,1209.767822,141.867889
5348.932129,-21.846928,1491.024048,1352.671021
853.875,89.276924,633.568848,150.980301
5608.837402,-29.503149,1895.80249,901.407837
1557.167969,609.410461,1656.914429,1612.008545
906.605347,-35.168385,512.252319,559.565857
3887.125732,372.839172,1511.595703,2642.912109
10545.4541,-585.381958,5132.727539,9262.892578
1667.787231,-89.92691,1169.682861,268.868988
24436.11328,68.4552,6410.212891,2281.004395
1991.470947,130.645874,1064.146851,217.285522
3020.853271,-471.924774,1848.677734,4131.617676
851.096741,-184.283478,665.211182,967.506653
8515.490234,-56.677078,753.238464,148.522964
7298.238281,-116.539764,2631.442871,3901.721924
6555.265137,-40.200008,513.28656,412.917908
335.010651,140.909851,220.138611,65.841354
9788.580078,11138.99316,11352.97266,5668.357422
2375.227295,-320.096436,1655.838257,4785.021973
7862.134766,-24.307768,1319.856323,1598.739868
4922.369141,-45.203926,938.120605,508.139618
4247.980469,-412.847321,5314.522949,2722.289795
741.332642,96.661308,215.171448,67.609222
2202.414062,1867.849365,2188.421387,3485.889404
2289.55127,114.997719,377.485291,308.541199
11716.03418,-349.423004,8844.823242,12656.86621
1528.139282,-245.100372,876.33429,100.712959
491.657257,1035.150391,1306.018555,167.760162
23727.86133,6449.84082,7275.609863,8265.560547
10054.39258,-303.33316,7550.939941,10890.16992
2947.834229,506.937988,1315.980225,415.939789
2538.635742,-289.34433,1072.689453,2037.821777
7760.64209,241.520966,1938.081909,3727.285889
9416.164062,-781.569824,7579.66748,10504.01172
9199.716797,4094.797363,4496.270996,1157.967896
2213.684326,-350.991089,779.254578,1314.891235
1529.799316,-47.094658,1117.015015,144.473679
1386.870605,-169.160095,1744.366333,2700.849365
390.016602,24.382854,542.432434,375.263
2314.000488,-292.764709,710.868042,327.256927
939.122192,-20.8971,272.797363,454.096863
5712.187988,-83.086411,2333.053223,510.968933
1222.314209,966.75,964.660828,1251.292236
9720.272461,1450.297852,2958.547363,3846.630859
8818.602539,-320.199097,4086.515137,1157.367432
12279.47754,-224.258591,5398.607422,5986.222656
4450.015137,141.580627,4052.624512,1420.654663
3285.45874,354.380829,1512.333862,2183.448242
2030.803589,6.865074,911.766785,348.185608
8871.367188,-94.200531,4977.664551,374.685211
4896.249512,-260.075378,2548.310791,1233.409546
6175.659668,978.411926,3354.519531,9573.060547
12822.24707,2488.778564,14806.99805,2666.643799
10621.2793,629.765259,2069.589844,3019.761475
3162.378906,872.323486,1476.907471,1307.157104
2568.952393,-365.407166,3195.287842,2604.5625
8330.661133,353.558319,3031.357422,1195.612305
