WT,pptase,ST,SpT
997.044312,-1.325943,257.822113,193.156815
974.831177,-423.500427,2663.446777,2319.80957
235.685852,-162.142822,1337.384399,54.918427
284.662476,170.107925,460.401581,912.394775
1418.77417,-1.582946,883.522278,300.200958
84.126434,1.634688,601.71814,313.927887
604.128235,-8.4709,2644.471436,326.698792
1229.746582,-220.142776,1356.493652,2639.602539
646.442566,-86.640503,907.691223,479.459045
229.16713,-147.4646,570.433472,76.007431
217.553955,603.813293,10800.37012,516.694946
139.735352,-36.761715,742.994019,153.450897
46.338593,-47.507553,304.650421,147.37178
937.165955,0.790536,726.774292,120.83123
122.646996,-87.496101,800.151184,190.657028
958.223877,9.042205,981.127625,490.157593
152.591583,-62.554127,697.781616,148.132141
198.539673,-95.587067,447.653046,24.753025
132.144348,98.391113,16293.82715,118.102699
567.598206,-193.610764,1375.260132,48.464485
396.730896,12.690595,878.523987,328.613068
192.99295,397.917114,2070.374512,207.950104
491.338531,-39.585293,1229.893066,87.392456
471.693359,-63.953941,75.807266,183.191025
495.936401,-66.524002,2638.747803,14.347511
2583.615967,-221.365509,642.217102,920.443237
896.214233,-118.39621,2244.973877,1302.88147
907.678223,-146.920807,553.050049,1799.969604
288.418762,111.79026,729.811279,11.071838
302.004944,119.343681,657.236145,409.036957
164.954193,-234.012589,361.774963,197.368958
97.211067,61.896339,335.177887,11.135308
236.183502,-100.540108,8774.102539,374.846741
518.109741,-3.056256,771.44165,81.100563
1432.334961,90.158943,202.546906,327.268921
565.130249,-156.57283,1347.579224,1098.305054
182.128128,325.028259,1608.967651,92.032326
161.802277,-150.322632,342.144348,151.17099
688.31665,-235.679108,2964.69873,1626.491943
1157.430542,-28.465843,662.237305,1075.988403
116.2677,416.036224,4270.487305,351.070923
394.569977,861.817444,3206.009277,1379.404663
246.411667,-69.30336,1019.060059,42.810898
428.136597,-212.577744,202.240784,909.904663
549.353088,-174.460785,9121.638672,989.768188
314.50473,-94.788803,1055.585205,120.096657
361.209656,-11.292669,2139.563477,204.273315
72.390862,428.405243,55.780579,85.480171
730.163452,-127.993614,249.417099,1494.495239
1170.70752,-38.270805,4159.537109,1945.234253
82.18866,98.665855,438.171143,85.158386
111.396919,-79.940536,43.254959,19.992634
738.513306,220.718033,384.232483,127.205902
143.505844,73.154938,2359.525146,148.255264
410.979492,-66.252823,997.008057,326.803162
301.397827,-123.713509,664.333374,854.139343
249.611298,71.531433,2411.611816,456.284393
933.061035,-142.650818,2886.571533,2014.995972
224.652924,264.088867,1590.897095,92.950859
341.460785,-39.522026,2459.659912,230.491989
3954.905762,-474.952393,12066.91895,7547.865723
1144.023071,-80.302986,568.121521,360.336609
188.244049,-8.573008,299.194916,73.459274
145.052979,89.99884,1617.624512,119.630577
1358.4552,636.740784,3376.482178,989.75769
3481.468018,-81.708832,1071.990967,863.080444
1071.327393,26.2967,1182.921875,216.064423
453.443054,-116.31707,641.74292,554.663757
112.92038,68.34668,265.525787,39.264912
192.795242,119.667747,2918.776367,133.980896
265.862488,-59.632172,463.306427,537.424316
543.013123,-92.253395,1933.147949,211.945709
895.344055,86.898148,1119.054688,675.01825
225.97821,262.02597,615.698547,249.962601
815.897949,163.011124,732.062805,370.786285
613.826538,35.198139,492.795746,83.028564
244.705658,-52.675426,263.028625,205.682236
394.489624,-390.505859,23614.05078,1699.421387
1118.765625,-39.017174,1351.687256,358.837891
462.639465,54.079006,304.87323,344.695343
170.311081,-110.858307,740.775391,189.899826
201.516418,6.275261,125.544914,80.733429
65.053017,78.004089,512.35022,54.948303
356.764893,286.932159,400.017883,355.501923
242.119965,126.73951,544.247131,268.349701
812.774353,-277.870483,15844.78906,5113.595703
5560.339844,398.897705,2876.520508,739.718628
859.749084,154.879974,1456.229858,888.130493
384.430359,-92.319397,12948.04785,268.161804
1465.188354,75.702103,708.140137,131.160416
377.839111,97.952835,2665.069092,220.480835
222.71463,132.496658,560.416016,242.583176
171.786057,31.80592,129.364243,136.46283
168.614517,-20.62641,236.764557,108.094482
81.707214,120.853867,248.00589,32.5158
142.189438,15.513418,1402.109741,104.464546
134.589752,68.352135,1987.899292,28.57267
765.339417,23.009689,1263.950562,672.021729
1058.898804,43.496674,291.380585,114.244759
260.189758,-85.290977,1990.075317,685.707214
99.632217,-70.668243,3489.233643,110.561768
1579.074097,35.958233,624.45282,313.296295
82.715073,76.03331,563.086792,95.41449
547.945557,-69.420677,1499.390015,1208.928833
1357.466187,189.248795,578.840942,1264.663696
172.619644,30.491032,559.771362,154.404999
4143.713867,123.174873,1381.877563,714.159912
246.148697,-78.787384,115.752563,498.698334
258.780731,-114.723511,686.623108,309.26355
127.909821,-2.919146,170.664352,82.989098
255.79953,244.676498,1380.436768,13.010459
345.776642,-75.424126,2033.460449,800.098755
1147.536621,-250.064163,1257.28772,1184.76001
1165.242188,254.279083,2491.193115,2342.15625
264.993011,-120.420479,2116.028076,299.577271
180.280212,-45.887714,1203.574219,206.168427
227.593445,-138.272812,3158.751953,500.525665
180.933746,-96.957909,702.588379,323.480743
2627.376465,286.981476,884.552673,304.466003
539.267639,-217.66893,23399.02734,1085.755615
270.571198,-15.43335,3445.583496,471.01828
244.59964,61.013756,760.541504,170.512222
113.970596,-77.78447,1015.632751,164.518036
329.667236,6.680661,1265.598755,322.916016
515.907532,8.853662,225.038284,109.200317
291.156738,11.987703,357.595062,600.758484
82.833878,34.656387,4715.352539,122.077988
53.82373,-5.127033,3505.869141,102.586655
145.804398,-21.167431,21.805246,148.345474
1067.686279,14.115516,644.630981,223.629044
344.074707,69.506279,607.73877,193.189255
744.362366,22.921909,804.527893,312.200867
748.368408,-180.863312,630.83075,361.652802
251.758835,448.465393,78.874886,249.96669
98.647293,174.229874,372.737244,22.751244
308.067871,-10.097145,480.180573,145.526001
467.210236,236.517654,1029.912476,126.455101
140.833008,146.484283,526.147705,147.215363
1339.300537,-268.47522,2191.900635,1917.509399
1279.614868,-82.62468,2022.737183,610.001282
251.143326,60.624084,1938.030151,146.822403
214.365845,37.493084,597.420471,176.41507
121.532921,-31.171965,602.593445,485.69455
232.28302,7.409006,2327.506348,135.325211
165.148087,44.764309,407.372192,183.36496
598.090088,54.302666,2249.078613,138.351608
1199.497437,-175.113007,1016.616516,340.314117
1361.067505,22.693748,967.211487,150.243958
58.31464,75.081055,39.07111,70.939873
231.527496,-8.415957,1153.18042,245.368149
80.961731,34.020279,6306.426758,16.209076
201.066925,-76.151581,204.049347,125.573074
265.151886,-56.673885,1143.609253,262.624969
163.192383,-96.820801,267.47522,70.483589
1197.805298,-10.534466,434.175629,215.149765
452.541443,226.278854,1212.741821,234.94577
227.252777,-68.774879,1270.28418,201.606812
111.75946,55.741127,10954.36426,331.937378
148.100601,-104.286705,383.93045,9.863265
307.569977,-45.988914,1796.331055,146.129333
126.612045,-56.505154,421.797241,322.232819
73.632393,-15.917316,39.357864,115.663597
2398.38916,550.256226,2933.253662,1166.045776
662.215332,-99.220108,381.601288,235.153
568.671021,-83.486359,675.694458,662.602234
99.024208,60.468403,389.061005,176.05899
192.694595,-2.252409,2308.565186,177.661118
980.053406,861.773621,2323.416016,3283.727295
1033.372925,-85.95153,417.978149,690.263794
1663.080322,65.372223,742.962219,193.986557
295.940125,73.513283,687.444458,139.497391
283.5271,-118.070259,814.737488,593.404175
531.247375,-94.071075,943.024597,936.043945
185.276962,99.649124,1625.339722,132.152313
1143.927612,-59.049458,2553.740723,2992.895264
131.483597,-30.725309,361.657745,210.320831
175.409683,49.826885,88.454323,86.21994
385.78717,-100.262779,870.608337,713.251831
1145.22229,235.939941,1617.686035,405.490509
712.551025,15.991852,384.421631,119.174652
336.6828,-24.025528,2587.027832,117.465462
172.759918,43.871655,858.526855,106.642433
266.020996,-71.913544,443.15506,254.711044
384.576996,-173.305847,2031.184326,679.745728
183.115509,23.648869,788.099121,122.465576
444.125793,-130.355377,1805.838745,215.116043
1055.08667,-304.010284,10662.36035,4290.540039
840.41272,261.439087,531.41156,291.771851
262.852234,-142.902496,868.127258,793.005676
964.500305,77.119019,1680.167114,20.413317
111.184624,5.216309,1494.264404,127.013748
604.270142,-196.983826,1309.445801,979.978027
82.788086,-15.040298,1070.741577,201.48349
290.498444,-37.381058,4163.848145,155.470657
464.181244,200.398514,503.326874,436.197632
463.275269,219.81691,1348.032227,349.34082
573.610107,-115.678268,654.062134,1352.811157
264.051941,42.522823,1835.30188,118.018074
158.241501,243.098419,16.528032,84.783897
63.999062,45.79678,89.416229,122.193237
624.34259,8.297274,563.865601,1400.932129
247.949554,-13.610498,1960.739258,357.538086
1198.805298,-74.632057,497.409576,779.467407
406.037201,93.784981,720.011292,502.778717
250.21286,149.572525,1532.469482,113.0103
751.784241,-146.215408,1647.800781,2107.404541
260.762726,147.392624,1103.527466,478.765808
303.119812,3.523129,548.119812,556.810547
1168.070557,-61.727036,575.50708,420.999817
593.414978,-179.096069,13340.91016,1041.010498
116.854317,-61.492905,630.928528,158.995056
337.250488,255.885391,964.662048,299.97226
206.934158,97.015579,311.401062,74.553947
16.685177,-75.936272,34.953571,155.001495
559.053345,-119.770935,662.994507,1029.678223
66.79451,-7.510723,1023.137451,38.691261
279.138489,-5.949491,179.22226,849.255737
2452.711914,-39.919334,1308.298462,1576.257324
213.203552,163.335083,1180.348755,513.054626
282.417694,19.369642,461.937103,38.94537
1090.462036,-55.413681,862.873291,337.890717
809.320923,-59.36116,615.967529,437.198975
2525.219727,-331.648132,13958.67773,4917.953125
524.756897,96.729492,1991.286011,126.063713
696.966431,103.144897,507.415771,67.03508
433.878723,-26.18523,789.44928,709.568176
799.452759,102.913582,1193.759399,259.954163
483.664307,8.146869,1229.714722,1117.731323
497.72348,76.370758,6279.57373,1454.573975
22.423155,168.241043,13.353773,99.501816
69.891098,11.422619,4288.421875,169.797913
686.71875,-137.330658,363.543457,1026.912354
1322.527832,-0.990232,652.52063,259.646484
208.854431,37.766617,713.181702,441.532288
495.741211,-123.399521,3376.564453,277.463776
1024.759033,-135.24379,5601.144531,1117.398193
409.229065,173.075562,3002.797607,767.767334
287.493744,-45.952072,1255.323242,202.920609
544.021484,117.463318,3640.162354,1025.134644
355.28595,105.272186,659.587158,379.770813
192.422562,-50.41164,518.724731,91.443054
190.220367,42.409805,387.314514,75.931404
585.704285,-4.287045,381.201355,1306.844727
421.817017,431.273254,386.309174,75.538544
647.683716,8.397906,937.01416,582.431458
486.582458,166.024597,1367.629883,201.88208
1528.763794,288.404755,1036.070068,159.3349
190.161072,-24.378941,774.672485,239.751404
141.920563,123.246361,986.922852,9.003942
1365.478882,87.935005,424.754669,170.522095
628.702148,434.674103,1178.708252,1173.571045
816.695557,51.042442,1320.034302,199.460556
177.922821,-139.194229,339.403534,225.137115
737.987732,381.58844,716.434143,503.557739
405.772888,245.649017,1057.741333,648.484619
835.910767,-9.614891,3922.563965,249.201263
801.955322,-67.154022,700.46405,374.889587
155.778595,17.781748,210.411728,129.645538
561.930176,-197.326797,10045.08106,955.110901
55.082596,33.050697,572.982788,213.845718
1199.981079,169.321304,1049.370728,9.389299
606.76593,142.519791,353.076141,482.251038
3250.01416,107.786469,1753.645386,329.568542
259.893585,270.039642,550.248596,333.089752
507.563934,-43.551857,11270.97266,228.928467
72.973854,-79.077614,314.743317,50.331039
87.9729,119.138077,1156.140869,258.019318
285.147247,188.50882,3009.083008,264.641754
901.502869,-67.071861,648.869446,1011.899719
366.026855,7.763495,1205.014282,411.670135
1815.182251,84.29216,1061.888428,368.430542
205.440048,108.807732,2215.014648,92.17556
305.912537,15.900058,787.603699,342.142181
635.241882,-30.767387,597.824341,247.082016
456.694031,-104.300179,1578.443359,397.076965
194.771118,106.285126,331.68811,233.452499
459.780823,-18.4426,769.586792,119.5755
231.77359,-34.459778,1028.962524,117.805351
188.779877,-21.429924,9376.380859,294.151978
1044.992676,-243.077423,18607.38867,3028.648682
217.657257,88.381317,2722.244385,144.841385
535.958862,-41.738033,625.165955,728.612488
1072.320312,2.020136,344.575714,458.770782
365.404602,-17.976444,4853.918457,470.429932
758.818726,42.0289,2231.844482,337.658936
229.923248,72.159134,1076.932251,139.3004
342.984741,53.407497,487.159668,116.657761
275.482483,-19.281246,3361.098145,1163.11499
151.82634,-14.432758,439.745544,150.914062
218.88179,211.527863,542.556763,261.403717
304.497742,-43.225754,1185.584473,108.157913
130.845551,-78.005798,564.698608,262.108826
111.51857,23.561995,2416.010986,119.971344
120.80014,-17.496052,749.011902,96.883499
182.24527,3.764856,381.644501,63.987366
333.459167,-304.196045,2365.373291,190.308517
151.898148,-42.064426,1615.998535,143.107712
1963.714355,607.870056,9531.758789,136.546906
911.91748,22.221592,469.722504,1610.924316
149.789566,-94.252396,342.572113,66.759163
400.900787,83.214752,379.132202,122.912918
237.383881,-66.588425,494.1828,71.06472
111.106041,137.765472,686.070801,194.316025
422.627441,-132.406265,562.349915,1297.676392
1234.621094,206.513535,799.021606,2796.608154
213.256348,-26.132988,46.056408,252.269089
427.912079,-64.228401,2875.076172,312.017914
802.17511,-40.354958,1409.80603,289.346893
370.495117,231.707932,203.294708,1046.984009
167.811462,-19.762054,921.012878,196.035477
545.934631,-34.802483,1311.970581,568.841309
376.359222,138.409409,1418.765015,141.781357
257.674622,38.13702,821.694153,236.607498
707.723511,-18.485653,3144.793945,612.202576
1022.850708,-166.757065,686.176514,1851.53125
314.683716,82.584381,505.015961,586.852356
1218.321289,-117.112366,744.592834,480.084595
132.698944,-6.397355,497.235657,161.101181
354.966339,71.238251,15.075164,331.780914
848.589172,-103.852745,13185.15332,3534.213867
9.433586,121.685921,163.408279,96.651123
352.641357,-1.59981,747.098145,374.170532
1152.337036,444.749847,869.578552,95.617058
439.295776,-85.610031,1745.744385,206.484192
210.628845,-141.598267,452.660919,289.670715
199.971161,66.442154,1369.504395,536.773376
178.886063,-16.423328,125.261627,355.182861
309.456146,-3.338667,446.555267,294.640625
932.029968,471.623657,372.920593,80.283806
500.214478,125.037918,746.692383,195.022324
622.959473,148.351151,3584.821533,968.304504
214.335419,-43.277702,1134.483887,209.260818
458.914551,-79.432312,664.414612,154.454361
129.906998,90.375732,2155.945557,60.998184
502.802979,-134.344437,2227.796631,643.837524
371.848175,149.563354,1193.004761,574.552673
541.329651,192.900024,129.358017,63.640282
3091.58252,-93.961411,5599.668457,708.079346
415.771606,-4.073443,815.624146,508.878967
608.743652,-185.733841,1062.985718,333.601501
318.988098,176.046478,983.93988,355.444855
899.903259,-77.691208,3197.235352,652.090088
93.08989,145.720306,511.975769,3.118612
404.250305,-107.747383,1492.372559,265.617767
777.919983,-33.877731,899.161377,255.000092
321.467102,160.267105,1366.760864,112.077309
1023.258301,511.553101,5234.607422,778.765625
321.230011,-147.669067,5684.39209,666.228943
201.2565,86.927147,984.26709,138.154648
115.528816,27.038799,634.807007,161.688248
163.055084,-164.930649,1581.770142,73.646263
1036.631104,-179.670258,5004.722168,1856.698608
137.752594,148.61969,536.493591,137.945358
1277.829468,-83.464439,2393.641357,2703.715576
265.440186,-27.086945,612.983459,482.051025
