WT,pptase,ST,SpT
241.499084,211.062546,184.036163,90.687347
1747.238647,74.192261,3248.83374,293.344879
1129.024658,47.35067,2830.37207,203.077255
1806.532959,29.711252,1440.949219,121.870392
1556.907959,115.739189,1229.54895,161.166687
1520.187622,83.528481,1026.72229,258.149506
127.067734,19.024639,2817.53418,45.357273
12681.04883,27.158319,1865.996948,12.173837
1159.366943,698.561157,784.556885,180.79924
1936.025146,433.878632,1401.739014,177.758499
10931.92578,220.865036,2484.253662,51.868961
1266.594238,208.85466,5302.296387,78.851959
2221.2771,356.892517,1516.007324,1098.032471
1246.56665,53.141369,1180.607056,149.230072
952.609375,227.455383,1650.011475,74.856949
738.880981,228.438629,577.090515,139.800552
806.105652,9.556093,873.167603,61.605652
820.872864,1858.126221,3692.563477,745.101318
3602.679932,355.727509,2513.756348,1.425778
1301.28186,240.178085,784.335449,118.218147
2483.059082,139.176025,2173.960693,180.616745
895.648132,5.692564,851.837097,53.788227
3290.69751,233.484543,1639.335815,50.416706
7168.471191,15.09803,9238.742188,1337.447266
1355.133057,284.195496,579.035828,45.376019
8175.644043,59.481461,1981.322632,104.867584
2415.296875,11.787103,883.783081,80.007858
800.967468,69.788025,412.613892,69.600426
2644.545898,384.82547,1185.3927,93.890862
887.628418,37.247414,849.889893,206.003723
1522.838745,448.481262,1325.767334,8.184048
1537.601196,181.298981,827.746948,57.728928
2584.371582,98.284149,907.130554,267.693298
965.769836,72.457993,2792.155518,190.471024
7268.557129,52.413551,2869.533936,253.060196
2580.000488,79.319603,1540.385986,676.529053
2623.725586,553.797607,1846.458496,303.566254
3959.716553,49.467999,1321.98291,258.659241
4053.233398,164.45462,1043.062866,17.540922
4715.370605,108.872536,1632.414917,161.780258
1605.648071,235.701782,1082.974976,212.696609
534.78241,56.870285,654.6828,245.862595
4314.53125,373.602142,3461.189697,39.655575
2426.241699,250.527405,2905.379395,51.386993
750.136108,38.225021,517.763672,295.629211
1322.074951,413.111816,2333.763428,302.161133
452.185669,403.800079,505.795135,820.043335
3228.825195,44.210556,1318.810181,145.82312
686.295654,155.987823,369.303589,33.425259
1654.222412,284.97995,1023.969482,17.620836
2079.175293,40.51899,1306.29187,81.631645
35267.33203,60.842773,3223.587646,250.759552
2972.674561,40.010796,1233.28772,128.168793
5558.523438,33.539852,712.923462,91.525551
3684.647705,525.157471,2657.934814,1847.571533
3617.310791,165.681091,1230.191772,345.071625
4434.426758,152.561523,358.636566,71.219635
334.40097,530.190918,331.760071,22.660248
1473.585449,82.390358,1810.362793,49.425667
1738.71582,105.26371,1262.686768,11.20783
2740.929932,63.304371,1533.023315,39.182388
250.583679,53.09164,218.71048,203.506821
2488.118652,30.211468,2287.159668,126.664467
368.264343,158.158035,2219.151855,136.810806
4037.724609,222.634003,1603.396729,161.451523
3908.397461,10.4988,1503.121582,1226.898315
1436.769897,254.674744,1128.209473,525.135376
3934.51123,186.415283,2581.459717,155.563736
2714.828125,185.021652,1234.614868,411.353119
3463.985352,77.091148,804.710632,139.346542
1087.860962,35.359467,555.842896,76.892891
4121.836426,146.656433,948.096558,371.141937
218.320862,73.447418,872.98938,112.90287
5587.625,176.664505,3033.736572,346.927887
1667.443359,18.10355,870.366638,99.262993
22848.36523,588.261047,8270.942383,2665.536133
1991.091919,81.451805,1648.92627,39.119186
4920.743652,324.882477,1447.239746,34.209148
1091.055786,17.313389,458.517975,105.225441
177.064484,324.047394,280.093292,152.613831
