WT,pptase,ST,SpT
635.860901,1078.932983,699.322693,734.198181
1478.818359,16.309893,2202.424805,1409.4729
9375.53125,161.694443,3825.619629,50.136539
6873.727539,111.777367,1983.074951,163.942841
3471.398438,-100.98835,2667.952393,157.649475
398.164581,-124.770546,1523.428467,82.524086
3823.031494,-127.24781,1748.731812,2274.599854
18300.4707,-372.937012,15227.53613,15218.71094
1853.203247,332.794525,1125.898315,311.82254
2581.008057,-589.919312,2497.758057,4475.003418
989.769104,543.557373,687.915833,91.680756
470.253784,13.05965,167.911011,1180.148682
23089.60156,-278.765045,4982.76123,3073.862549
11978.7002,-101.972755,2111.189209,409.737946
456.667786,-135.169769,1335.907959,439.647156
1722.063354,-45.72757,1578.551514,1689.522095
1813.091797,230.120148,1044.797974,97.089043
927.029846,-229.131912,370.264221,146.261734
4370.825195,311.119049,4878.473145,3546.758545
255.056885,-74.76387,398.469177,174.546906
896.569092,-56.159184,392.867523,140.952469
12371.99121,-208.193085,12027.61621,5692.794922
691.57605,-88.596985,439.672302,368.973938
979.685608,461.063263,537.247131,96.252197
165.294159,307.954742,108.594055,66.711601
3093.303955,165.264511,1026.130493,13.079512
2890.276855,777.643616,4811.276855,204.863098
5228.986816,-400.57962,4005.464844,5129.607422
8061.030273,-119.973137,5334.734375,1660.398071
12049.44336,-174.261993,17788.64648,2008.925049
18891.02539,-117.569687,2679.971191,634.701721
3522.916504,43.442459,8059.830078,193.43512
1246.270874,-75.633385,697.55011,151.755432
20373.07422,322.449799,3447.490479,660.619446
675.782959,93.418716,1288.634888,191.640091
1736.583618,199.21431,1307.562866,166.307571
741.233521,-162.065826,833.442749,265.565796
1354.130005,-6.911375,2112.775146,361.054565
7685.980957,5147.902832,5725.080566,5468.662598
1318.642578,271.418701,1127.957397,270.328857
549.010193,-74.574059,730.957336,91.903801
1814.915283,364.699615,1749.662964,150.10228
568.202148,672.726135,758.977417,1006.21521
3164.64502,-35.752541,1272.469482,797.015503
550.614502,-51.741734,425.108612,82.257957
1548.029785,141.627914,506.410217,798.472046
614.497498,-123.843567,3333.376953,389.982849
692.725342,116.388336,628.115662,473.665222
2030.677856,-103.334152,1621.780518,2184.211426
1539.967529,-34.821331,1225.931396,2364.473877
2279.593262,167.555725,2340.1604,380.183777
2916.188965,-104.784439,1787.161743,864.192444
1414.119141,99.334702,855.619446,373.531342
5052.797852,2662.299561,5174.074219,4557.964844
4012.292969,559.218933,1122.60791,163.612244
636.6427,556.963806,859.540955,305.201996
1273.063965,-33.362503,1195.427246,476.252472
1589.796753,-35.075008,229.213608,121.761848
1113.399414,13.098772,654.439148,92.595505
1748.498291,-31.471306,1251.035034,208.89035
271.674561,71.180496,793.636353,218.114105
2732.479492,771.894531,1504.703003,3851.067139
783.835876,-110.566925,577.515625,442.900635
8179.69043,-150.676102,1943.018188,113.638794
2613.850586,-108.357773,1758.664307,1047.944214
846.446411,11.338853,439.122955,224.568634
1868.623047,-104.793823,928.444397,684.205688
1076.811279,-16.66518,906.534729,83.560143
2519.10498,-326.045868,1675.891602,2524.469238
439.918854,308.634674,417.826508,18.583273
2937.497314,-232.955887,3962.677246,4250.774902
1139.813721,-16.90225,1014.441101,445.944092
25693.10938,-110.085846,21627.64844,4031.429932
5253.517578,33.617222,335.248566,64.785652
13093.9668,63.769989,6511.631348,797.243591
3177.237793,34.261734,2817.41748,558.154846
3208.523438,-185.18898,2745.012939,7537.744141
5068.27002,-79.347633,2907.915283,4172.853516
3762.909668,-474.362091,1839.765869,6814.271484
8670.680664,587.113281,8952.668945,7362.42627
3458.035889,-90.13105,1336.006226,1595.605835
1525.368652,379.903046,937.72821,957.834412
1003.42926,-42.800186,1324.133301,136.490021
1367.223877,203.323807,530.090637,52.914192
21542.04883,-12.826954,8668.443359,3815.469727
585.259094,-33.995564,537.619446,84.556984
9402.94043,-80.926453,4286.883789,646.780273
11750.1709,65.656868,5188.828613,459.027161
352.260834,-112.032913,520.138733,100.054176
2473.71875,-54.136116,1806.595337,1731.775879
7296.363281,-2.153217,4652.757812,5437.299316
8298.375,172.149017,3037.133789,1345.081909
6785.520508,-25.678295,2758.490234,1394.917847
624.978821,122.480904,580.942322,75.598022
10176.91211,81.869385,2929.352783,937.023193
1899.774658,20.44553,1683.824219,84.478142
5230.42627,-82.516571,2232.553467,922.414734
848.648987,419.445557,653.629639,53.521294
3074.546143,-76.559212,2437.445068,328.535248
1515.406982,23.681225,2316.678467,216.265717
7481.911133,433.464325,7347.708984,2834.240479
10628.2832,133.247849,7711.518555,5144.813477
1056.196167,198.481979,979.493347,7.833522
1635.659912,461.079407,1495.911621,981.827209
9245.430664,-55.65567,15138.03809,494.091675
760.008423,42.096077,1135.297974,117.235374
3859.459717,527.307739,2825.403076,2095.431152
1888.342285,163.565842,587.627136,44.490749
997.140442,67.581757,815.769348,68.042404
1255.680542,151.629639,1366.939819,65.291939
1342.085815,168.307617,232.79483,32.997581
2050.006104,-64.352768,1245.206909,77.325256
739.771606,-28.166813,440.76651,105.760757
1269.018188,-65.620827,1095.688354,292.513306
870.070068,57.150726,378.041321,181.342484
797.678345,20.645752,1320.667847,190.136765
1632.696533,-30.573231,380.97403,943.066772
2468.719238,-69.915604,1020.672546,1803.759399
8150.044434,-9.604655,2060.362305,139.460175
2565.878174,125.52652,1729.07959,4248.104004
5164.67334,-46.258057,1659.623779,11.588591
1649.543579,-3.583216,631.083496,468.989563
693.243652,-37.141285,546.990051,722.604492
244.33786,51.289509,266.26004,144.995483
1694.039795,-99.577187,654.42926,616.740723
992.202698,-78.56208,403.326202,497.21579
8167.152832,104.624481,1908.366089,2965.875488
27694.82422,73.938187,4177.835449,698.53064
6610.809082,850.203735,4028.833496,3806.457275
443.518402,7.197005,719.349548,149.614319
328.179993,-8.429126,578.329041,89.831169
3866.379395,155.523926,2814.235596,86.235733
2746.049561,-129.664429,1759.38269,959.148865
996.898743,-108.964073,486.190338,2401.65332
937.870361,-34.977688,608.876648,1232.151733
1256.959351,119.779175,848.750427,254.670197
1911.082275,-237.685867,1130.467896,863.145081
1880.935791,126.707069,1459.093872,163.116653
8357.837891,-103.38903,1242.289062,377.355133
3125.984375,7.46336,1583.142578,81.871498
98.956505,-14.935683,679.655823,135.854141
922.958252,-0.314103,312.143524,68.670593
1936.824585,-37.670845,1172.865723,877.409973
1533.215454,218.928085,1199.266357,365.36499
18565.66602,62.692108,2325.768799,272.743988
1136.680664,68.792633,1349.335938,34.653091
1442.856201,263.22821,798.239929,18.160599
