WT,pptase,ST,SpT
666.07959,-91.173294,689.124146,146.840118
3965.943115,-29.665123,1668.770874,70.0662
347.876953,-121.342972,193.366592,91.40596
733.70636,-24.71727,530.523376,103.636108
859.071106,-35.334671,671.044556,24.145031
655.580933,-89.481377,805.982544,104.307892
30810.96094,-18.463497,5305.977539,85.630249
2493.681152,82.056503,1756.953857,74.56842
1940.066895,94.592422,589.741699,24.402618
1230.98584,282.644897,1202.06604,44.969669
1234.373047,105.334496,957.683044,49.487541
966.43689,9.151235,798.724731,69.065529
678.969604,38.677349,380.818329,34.632336
2877.990479,77.483543,1070.812744,6.26482
2936.93457,-275.631439,2549.494629,12.109184
3660.93457,-1.302887,2432.819824,17.052343
361.033325,-76.677742,2235.50708,159.339203
263.146973,168.418335,3976.592529,3.591789
1054.674316,112.976776,1074.188721,24.103237
2939.362305,-0.338874,1196.629028,73.799034
928.415955,-61.098518,422.390076,47.213886
4650.851562,-45.324989,2233.970703,92.986359
2452.589844,-4.196665,1941.119019,66.506317
1815.456787,-29.183092,956.011475,76.869873
831.604126,-42.484539,1208.76416,65.788322
750.569702,34.427933,3525.70752,58.098057
1358.119263,110.031937,877.583862,45.298141
191.772278,49.96278,52.459602,60.670143
190.542313,-139.438492,114.087097,115.532936
1300.575928,-50.173965,1180.829224,102.686462
12162.02734,-91.810402,6094.71875,49.149326
271.7435,-39.793381,292.964691,53.578369
2023.624023,-42.326214,980.970154,111.113289
558.331482,99.119232,368.064636,94.831764
636.114868,38.619652,938.789673,30.769617
1814.835693,49.85006,797.098694,33.355061
2841.380127,-117.446335,1519.556641,104.874794
620.561218,-16.722351,757.821838,93.621689
1233.559204,109.371742,805.794312,123.9841
2139.007812,60.193905,1203.185913,48.543755
1211.859009,68.205963,786.092224,56.183548
1531.693848,-86.481247,1151.575195,72.416306
3320.04248,137.755981,2045.652466,18.115044
6606.835449,113.495758,6027.731445,17.802975
2317.978027,-10.626141,1948.743042,85.992592
2703.109619,148.218353,1749.58313,37.666622
276.626221,55.896984,248.623047,26.220226
1818.664062,8.297695,576.565735,113.421486
3780.773193,155.641785,1459.911133,36.774742
159.622253,-174.409546,43.489742,137.435806
2767.047607,-91.538673,1642.432617,109.136902
4653.379395,-146.444962,2299.460449,87.694443
11921.64453,36.838043,3735.381348,69.382614
1253.222534,-93.040779,1110.733032,110.043465
3749.083496,109.399437,1477.903564,48.755714
1280.321167,114.782104,653.573059,56.653603
19903.93164,95.917542,5235.21582,59.678364
1315.660767,32.254128,534.44635,40.537613
2816.591064,140.930206,2086.529541,202.165634
537.610046,9.736016,988.967529,77.780853
307.986176,-12.133823,248.589874,82.030098
1047.658691,35.51466,654.239319,66.583397
546.914856,-6.171605,532.390625,54.185493
2888.637207,200.956039,1744.534668,88.365372
1298.554199,-16.003954,862.213074,107.343498
19073.43359,-14.374214,15838.42969,95.092575
3588.325684,-73.654266,3834.259766,92.489708
814.369629,-9.512412,826.137451,83.98214
2671.221191,70.30854,916.061401,69.109535
511.194183,-40.416546,432.380096,42.325611
1763.651489,122.657585,984.864197,51.551872
1488.981812,-56.612431,636.82135,49.490688
1522.267578,49.90321,986.832886,44.015289
713.166504,-75.080956,662.125305,163.926102
4292.952637,-173.343567,2645.093994,372.865234
800.378479,90.565285,794.138672,25.451136
1841.370605,-79.01873,1531.067139,120.718887
4831.630371,41.851471,2689.847168,8.713329
642.636169,15.173091,847.582458,6.474143
349.90918,-104.616783,203.454544,50.356785
18953.66602,40.844841,4327.460449,6.702461
3664.043457,122.730476,1732.598267,1.829805
312.804871,-3.835391,392.857513,159.692307
779.387512,8.459062,715.312683,52.653553
184.575989,-34.092964,232.426666,135.06366
3236.599121,40.938622,1929.138062,44.352551
1935.77063,-25.214365,1268.944458,83.235153
6975.607422,-10.516253,1677.572144,120.977409
1239.32373,-60.411476,666.588501,77.776924
2808.273682,15.056612,1350.762695,57.498459
3902.570312,85.883987,1781.133545,75.217659
494.224304,26.926537,350.388519,28.702553
11437.64063,-71.679535,1830.921387,133.528137
2846.702393,16.939953,1626.87207,46.436859
931.254517,-5.223269,611.414673,137.711884
1928.881592,-64.963234,1419.110107,131.607422
1377.185913,-143.680267,1065.395996,66.620552
2496.239502,-39.056671,2488.45459,149.504669
592.010864,158.674561,422.327698,14.554342
13215.58301,38.424149,14035.99512,101.79277
1197.06897,52.285046,612.834534,55.264755
3941.571289,-61.012772,1567.905396,79.516296
1328.180542,66.476776,863.144653,72.283463
4046.432617,1.816055,2215.738525,36.02763
343.667938,28.037886,201.279831,18.047371
592.691956,-15.648266,511.816803,36.884811
1113.991455,-98.301453,817.787292,93.772049
3745.137451,90.676987,2504.868652,78.533195
3162.17041,59.895416,2971.887939,91.901077
2855.862549,-145.823029,1464.352295,18.258209
267.186157,22.358406,114.139626,59.79295
761.547363,123.034447,573.412964,11.938087
2691.71582,33.092724,1710.452881,86.952507
2877.730713,-22.705261,1348.621948,92.792313
3742.09082,46.527573,1114.840698,63.363346
1747.223145,129.829697,863.970703,5.453749
2723.686523,-123.037659,2506.74707,36.70034
14077.26367,52.018841,7516.020508,91.548431
4640.254395,-5.697517,2171.012695,26.302225
17753.95898,78.330093,9997.926758,127.701874
1513.637329,-41.416634,827.847229,93.227325
1685.097168,141.267807,964.972168,43.597477
538.836121,-88.102501,375.94278,35.831314
3889.892578,-146.728516,3019.633301,145.875305
24177.54492,11.200571,2526.911621,45.204758
1585.815674,4.876054,1095.69458,122.111122
14544.55859,-90.087555,7864.458008,31.95919
1067.35022,44.262577,908.582153,33.745483
388.612,-17.729931,126.634209,53.247372
684.0755,-79.355522,605.214172,35.113976
3518.856934,-54.305374,1776.69751,129.269043
976.503052,4.362776,1406.523071,15.720444
1313.996704,30.350658,508.804321,48.704163
856.971741,-102.289612,933.83429,114.424774
1375.328979,-15.673897,490.433258,100.759293
647.842285,-171.799347,549.137329,130.712891
528.463867,-51.066738,157.705185,107.022575
730.066345,13.639727,745.997559,60.598614
686.64801,-10.397763,446.745544,12.583023
2175.899414,-31.138264,1579.684448,63.468979
1653.739014,-57.476387,1201.202026,34.843845
1610.996216,-0.655272,1134.147461,54.837124
465.912659,-86.39238,431.523071,91.877136
433.102295,89.184174,387.26593,146.399139
1815.997559,-12.046837,1112.036499,300.912842
1114.141235,84.388611,900.183655,68.576683
493.289581,4.381216,540.304443,29.009092
975.763123,-42.634167,644.272339,163.824814
3703.155273,-132.91597,3604.686523,47.998436
1069.168335,58.860924,1078.585693,75.704468
439.392609,127.308258,321.484406,128.427795
1655.888916,-0.891556,1275.975586,7.161154
1382.397095,45.859097,1031.296143,97.716682
1356.385986,-21.934877,1204.750488,83.151543
1961.895264,-27.890013,1760.438232,60.53286
1931.469238,78.279686,941.244934,18.843494
24477.12891,-2.417068,17963.72266,245.964371
1489.983521,17.210667,808.436401,38.303345
1162.202026,-75.709167,893.820923,73.58918
1374.879028,116.727654,1502.605469,85.538528
1898.727783,-151.058899,500.720612,144.827179
147.752075,-8.193957,406.765381,97.970131
3971.391602,-44.413868,2050.30542,58.337433
273.695862,40.803482,313.862335,79.404182
561.743042,-54.995007,615.294189,67.377876
1166.666382,-110.882912,718.629395,150.245651
606.080017,-32.306469,426.782654,50.625938
1488.093262,126.727425,692.319702,42.898354
606.335205,-14.204779,586.779236,123.777527
5682.093262,42.192116,3370.667725,49.495178
7553.215332,-10.557751,3743.02417,94.641396
10342.15918,4.841576,5257.036133,107.538834
4017.849609,128.736389,1212.113647,174.128174
4148.907715,88.353065,841.532471,15.498432
835.241882,-21.438858,610.083862,32.994106
17844.29102,104.125313,7355.225098,79.507996
605.195068,-85.851204,534.303223,74.454468
3686.067139,7.698272,1881.002075,3.400084
498.426361,-241.937805,273.77359,149.508682
3436.031494,68.515152,4949.016113,7.604847
540.942993,-90.54541,509.998352,71.54026
3213.552734,9.04951,1694.088867,47.594513
290.065216,-10.513913,519.922302,4.27791
1447.894165,17.418983,844.345398,128.354813
228.899139,-99.836861,75.80307,109.171227
132.324188,-39.801132,323.174072,157.070557
196.255585,-87.077286,111.171631,121.057526
2442.994873,97.806511,1550.716064,8.692163
3954.35791,147.922821,1122.137085,154.815109
958.553223,-11.87841,547.57373,62.146088
9758.939453,50.839195,5446.768066,235.315781
745.582642,-65.842041,9163.556641,128.844818
4364.909668,157.135101,1480.763794,85.376617
6106.276367,217.867813,3564.625,46.064636
1679.203247,-40.043896,1085.752808,24.414017
707.208191,-28.194941,778.181702,71.975014
2631.602051,-37.509254,2775.165283,77.766403
1638.366089,37.498207,2206.307373,82.897003
631.608215,192.320831,476.689972,14.275367
2386.725342,135.543671,1141.180786,65.978775
1351.457275,-89.688988,2067.009521,191.987167
3437.960938,57.723755,2909.137207,70.73278
3500.562256,62.083321,2570.1604,65.057892
464.260956,42.853577,513.609985,86.243729
1965.812012,27.26709,1978.27832,31.051819
3516.561523,6.068272,2158.628662,164.530243
1230.262329,-82.276466,1986.3396,29.151897
1650.680176,77.003975,860.374939,18.854904
794.214844,-8.248952,600.047546,134.719376
7598.930664,-15.017054,3102.018311,158.526917
637.818054,-113.683571,604.698425,159.755386
1564.573242,-36.290558,654.875061,82.058525
901.787109,31.87615,750.539917,15.325237
1607.08374,7.819672,866.351257,80.05217
1081.245117,56.997223,905.218567,25.890791
1346.829956,12.59252,557.798401,100.634987
2121.759521,48.872314,132.556351,85.966354
17554.20117,6.781311,5594.503418,66.053955
204.520767,33.85722,73.357491,65.577293
441.315704,-21.345945,462.168854,128.526093
1866.946289,101.786255,324.890503,54.113705
447.261902,29.005169,834.599365,63.525135
1768.730103,-135.146362,1282.079102,118.141312
892.915771,35.242157,1498.168579,82.02372
13022.21973,4.163658,4587.206543,58.71685
1273.691772,-108.724007,1077.463013,96.346985
2068.023193,61.637455,3148.632568,42.784142
5667.185547,226.013535,4908.208984,18.494476
3634.99585,-32.098598,2176.723145,91.568542
773.589722,-34.629791,536.894653,66.095352
8967.019531,-92.38591,4767.639648,197.149734
2175.097656,-94.28698,962.308533,33.870804
346.387787,1.817021,407.645386,132.889557
521.650635,-38.45908,226.013306,155.677139
1115.986328,36.164452,784.632385,23.333687
3073.933105,-66.004059,1940.487915,104.940186
765.101562,65.342117,546.369019,97.613113
313.996582,36.625145,313.897888,14.116749
1555.308105,-149.137558,1161.434082,132.35231
2117.703613,147.441086,1378.592163,3.997495
675.455688,-8.046587,434.306061,116.221436
595.184998,7.784739,450.313141,28.449627
4325.564453,57.662872,3517.012939,65.965591
1083.269653,-36.942738,711.031067,135.394623
3785.028564,150.658463,1558.055298,34.054016
2021.273438,132.869049,1219.784668,110.374802
4758.444336,2.920237,4139.964355,30.259609
1420.779541,-145.719101,712.334656,130.782516
2687.27417,-37.303425,1357.640747,127.90033
9002.923828,60.84343,24234.45313,135.972122
2304.633301,-26.787674,1811.466187,148.975037
2101.73584,69.843109,2176.083008,53.002533
3773.686523,143.157455,1759.442139,207.089493
913.207031,43.510292,2073.226074,124.853622
787.450195,52.834,805.715576,78.023918
1935.21167,111.774948,1100.033813,40.750854
1824.663696,-52.555443,1132.841797,334.258118
429.174744,-62.361057,3191.716797,104.139885
1707.776489,46.687523,3089.652588,3.498528
755.273682,-77.130768,568.791077,32.671398
229.294052,-15.290873,320.727509,78.681107
2257.028564,44.380432,709.208313,94.927292
1331.101196,-21.967377,1010.625732,51.619667
2948.021484,-38.965118,1960.887695,181.900284
490.965454,-93.751831,467.011963,108.792763
641.435974,-69.481621,685.237976,38.68417
277.556244,-43.722767,207.059692,18.870802
1043.650757,-3.263344,754.760315,88.273872
544.527588,141.514862,327.312653,15.07402
2821.657715,95.989777,1374.636719,29.006872
962.429138,52.740223,557.746399,9.444686
1459.665894,-46.944054,988.145935,166.222183
633.837402,-112.61203,564.027344,92.530304
5638.930176,-25.300062,3034.434814,92.34201
1208.366455,54.465591,738.983826,18.18214
2827.672119,3.103522,1709.382446,84.151421
2607.763184,-44.512955,2697.797119,145.81778
234.768143,-56.48439,111.161247,71.986336
1417.068359,-103.576431,872.729004,64.61644
572.700928,31.886921,353.861053,44.836189
5449.429199,-28.973631,3672.863281,131.354675
2100.912598,106.880592,818.747986,13.637396
1598.058228,78.245773,1841.714233,113.542435
147.165924,-23.570534,243.526108,88.47847
679.030518,-157.835266,761.197144,143.890671
4390.144043,222.236237,1887.463379,5.495158
128.961792,157.247391,246.063309,6.500659
879.687988,-121.062714,696.882019,59.849342
511.225067,24.202291,341.254272,53.340691
9373.183594,31.190956,5064.369141,124.208649
333.091156,-35.755806,214.596527,107.708702
254.985977,-9.35289,316.816528,39.5467
3621.707031,81.904213,1418.231079,29.574001
932.916992,-57.416721,817.284302,201.332031
9021.350586,-6.492867,3292.782715,46.511341
2177.406982,53.970589,1106.866577,52.611008
1687.985352,120.929733,495.005951,27.975939
436.924774,-56.760872,663.23584,127.373619
4509.497559,-60.080128,2363.098633,245.776169
2080.770264,108.844292,1474.092651,98.91246
306.722046,45.48151,260.722321,120.843262
1861.767822,44.229076,1104.037598,31.125179
739.927979,79.541054,551.544006,57.557064
1560.673584,-79.197662,1111.111938,105.417671
907.962341,25.465176,440.436401,73.609398
6108.34668,183.530853,3621.394775,145.175003
1647.535889,-186.633133,1070.014038,326.890198
2109.735352,45.831291,947.006836,78.791084
337.700928,-63.281975,150.298203,14.955616
216.337509,154.385315,168.282593,18.892244
1219.80481,-51.89233,717.8078,130.519547
538.857178,-16.337248,164.538498,90.936592
1812.172241,-57.040176,1525.022461,89.450859
984.719788,16.417423,1209.87146,72.471947
926.577271,-15.662155,4858.804688,96.288483
843.525269,66.872757,611.682983,37.894836
18261.21484,104.601433,3404.582031,5.201185
2796.393311,-29.891418,613.789001,141.360687
433.861115,-51.704639,482.397339,98.504845
17467.80664,-4.728943,7011.625488,90.393158
2611.180908,48.804993,1622.256592,81.169495
861.371643,-19.282349,866.139587,113.646164
423.888916,127.376328,867.146057,49.117138
1195.418335,17.186628,538.767395,91.568863
556.100647,-49.813652,666.487793,74.064934
367.782501,28.996326,488.910004,35.191601
6393.522949,137.458267,2220.509521,12.478086
968.09967,46.447121,578.526001,58.810776
1687.926514,76.456764,1025.78479,52.559334
2092.673584,-62.331989,1241.139526,29.803436
988.610168,54.810505,313.983978,20.644648
729.500427,-106.60672,647.084656,67.074089
1618.390259,118.593117,388.983368,48.361961
204.229523,-32.694214,336.705719,68.073067
3862.352051,60.858212,2062.391602,52.396149
1304.22644,-20.543581,911.504211,191.847839
833.34729,-24.935055,316.694824,46.443192
709.973145,78.485252,773.223816,112.57756
937.517151,47.175663,634.038086,45.385757
3027.324707,-13.684422,1334.877563,111.288368
15199.01856,47.689735,6837.20459,54.989483
2044.073486,97.513077,890.352722,10.716703
433.057373,-25.165075,683.699707,97.631973
2267.165283,96.125748,1164.834595,41.916573
14336.14941,11.418999,5667.797852,41.164272
4521.959961,-21.165482,1231.351196,57.00721
7512.856445,-10.026348,2870.007324,239.084885
887.681213,-21.084991,408.442108,43.452126
4507.130859,55.885853,871.225525,31.434233
482.267181,-110.252609,314.025696,145.116425
629.192261,-18.735861,665.648193,45.789974
1723.788574,-65.665443,899.409058,79.545364
5965.377441,-15.024561,1740.864014,221.226349
855.677002,-37.903717,936.404297,48.932808
894.18158,70.773422,499.328369,16.177193
1434.277466,-16.333307,812.200439,73.402832
2451.508789,2.084017,2292.523682,37.9809
1073.773071,50.405056,437.854004,90.633354
5381.003418,24.708603,2972.864746,48.835049
955.577026,-45.126213,596.769775,94.13063
801.441895,22.557673,450.116608,60.005661
437.091125,167.830566,430.847168,66.169319
858.711975,56.86734,845.920166,79.181679
1176.357788,163.494598,831.105408,8.573269
1295.692993,6.034219,855.746216,75.790688
