WT,ST,GFP,SpT
2523.617432,1614.874268,5612.449707,-566.593201
107.688263,654.757019,11575.9043,384.114471
1540.807007,4050.739746,42983.88672,-223.696625
36.207748,356.19101,7805.572266,328.206238
551.288696,1275.998779,13600.71387,-131.114075
340.033447,263.506012,5953.933105,138.879715
331.673767,420.506653,7519.635742,-259.583313
-197.971283,386.825317,12539.86328,534.865417
56.605164,218.010315,1124.071045,88.778725
27.429516,458.232849,3185.593018,230.824753
2080.243652,4396.901855,39675.69531,4015.170898
1919.70874,3715.686035,33004.87109,-1494.519653
110.065353,311.896393,4744.402344,-81.589798
18.90036,3102.870361,30533.87305,5001.434082
-115.929718,3223.450195,32347.08594,1712.839233
-2051.0979,15990.52734,300868,5934.730957
-128.198547,6569.358887,71733.59375,4329.371582
-0.040543,1310.513062,7267.269043,582.067383
64.025528,39.432636,363.867493,53.937965
33.909775,576.90564,4529.36084,329.100067
19.268135,916.163757,6545.661621,661.152283
130.982635,542.249268,6580.401855,401.055511
41.713242,662.66748,7495.44873,434.108673
-4.762619,1214.986938,12086.98047,809.953674
55.201233,283.937164,1017.389404,184.071548
190.43364,518.171387,5940.705078,-421.269012
168.498672,258.387817,1510.637085,61.791142
16.586296,257.554047,3082.579102,124.349892
110.580582,674.063171,14510.03711,383.600525
43.071075,246.107605,2167.588623,146.76712
-1.137665,537.271423,5560.978027,267.975342
15.897758,-0.363738,355.871613,78.656212
95.341866,24.217125,356.823151,84.365616
-7.522625,399.112366,4506.907715,227.906067
22.49979,459.511505,3565.917969,131.024963
-54.014088,126.163727,2944.059326,45.992523
-170.860138,913.262207,26951.83984,326.69455
235.151001,729.025391,18057.78125,309.196289
137.117004,495.381409,9677.788086,433.656433
-564.85675,10017.88672,103274.0781,7292.153809
307.939514,1068.264404,16174.81934,-398.636292
969.37915,493.249969,14030.18848,-830.387817
158.835403,1700.412842,11246.39356,1654.736694
2357.321289,4372.463379,81637.57813,-2809.560791
34.13427,1286.662598,12126.46582,579.907227
197.563782,598.637817,4267.387695,184.743271
-367.27179,1843.106445,54142.42578,281.61853
82.199005,39.54002,238.808853,88.967339
63.458862,1580.965454,12960.03613,880.701721
108.188744,519.94397,4628.73584,281.654938
-17.140778,565.70105,2691.432861,285.735504
85.382202,477.699158,2852.01709,308.659271
119.720444,570.725159,6036.414551,212.160461
548.475342,922.724976,10351.11133,-216.406555
58.321407,448.809631,9425.235352,494.18573
-5.148697,452.555603,10832.70703,279.382385
613.632629,1840.827148,11364.3584,-194.10144
394.135437,661.541931,26784.58398,781.096802
13.981876,553.183105,7909.892578,371.446991
-65.346901,2126.770264,10513.6709,1341.743896
147.38443,347.846954,9864.009766,391.572784
79.189606,1111.27124,7522.102539,437.056702
-42.155117,1054.487915,8816.709961,219.683517
35.961716,274.806824,2202.873535,234.236603
136.545471,48.885796,565.2901,214.490402
183.463257,172.296051,1835.750122,229.76033
1.614971,177.08757,2962.775635,105.519142
24.941208,824.071045,2970.36377,388.014465
-18.616693,114.578896,985.481384,10.135401
-6.966743,224.739502,883.993164,-55.385777
42.822479,311.471161,5016.387695,161.1418
-24.454351,240.834473,3984.481201,95.219795
-21.224028,93.635796,1728.439941,177.832932
236.936401,293.707977,3462.400879,-3.12403
542.511963,526.231689,8270.040039,-148.488602
3.656906,250.35791,2316.070312,78.707817
417.709656,2042.200928,19475.89453,1577.040527
17.035282,99.591095,710.622314,55.997807
33.817627,160.896606,2421.878418,167.483521
-86.754829,-2.069447,240.043884,57.145042
133.537323,394.63269,2470.643066,95.87336
289.544556,4310.253418,67930.14844,4735.333984
55.966068,437.535339,3216.969482,69.376213
58.461838,598.228577,5059.49707,49.52803
-41.968983,840.92749,18882.08398,807.260071
506.08786,3565.670654,20140.92969,2259.50415
-137.588165,2178.235352,15202.37207,667.343262
20.856232,692.614075,4664.952637,315.493561
-44.401138,2415.161621,11873.64648,1830.347046
122.799286,142.939926,6251.894531,101.365372
145.196594,59.375019,427.408844,75.230148
-577.38269,9179.618164,74493.82813,11999.7207
708.996521,5720.244629,46957.02734,3059.169678
71.828239,74.986946,2143.795898,104.367142
-151.12471,3483.668945,47812.35547,744.952515
12.43882,296.245941,2879.936279,202.086456
1543.544556,1871.266113,72183.16406,-1813.296387
-24.765785,1546.642578,11709.70996,1120.517456
104.127182,1793.124268,11129.26563,210.533157
101.838783,691.640564,6543.280273,450.364044
18.945389,196.228836,2701.070801,33.721283
141.385635,1538.494629,10437.52539,1308.29834
-32.496994,618.085083,6436.912109,545.864075
-17.716208,135.424057,1423.150513,140.791962
-99.937737,1013.626953,9465.671875,786.35144
23.551392,318.995087,3622.127441,188.030396
976.55481,866.750061,11464.79883,-406.66629
451.892639,791.045349,20453.6875,457.428314
-14.289368,3274.02002,23174.25781,4209.336914
23.398983,47.893517,374.285095,6.957803
70.208191,810.667175,18125.57422,424.105774
138.015198,694.739441,9313.085938,533.962952
46.370857,591.738037,8767.31543,623.182495
23.867935,374.697571,5701.239258,172.2267
-126.72097,1458.681152,29363.66797,943.803406
-192.073822,2709.447754,57372,5351.234863
-96.271942,389.337585,7522.677734,42.675701
58.855759,1276.27417,41248.67969,1298.094604
2649.752197,897.916382,31166.60547,-2571.568359
23.851311,289.233643,4319.990723,212.155106
162.85202,542.201965,15342.33984,319.225037
670.785156,995.519775,15016.16895,-478.245544
513.47644,2295.241211,12909.16504,-267.296143
73.588486,1304.756226,20072.88281,1414.921143
51.763645,359.694397,3758.327881,219.214432
-43.156158,5693.172852,35078.58203,5399.005371
225.073547,120.537689,2442.533203,-76.965172
-122.978775,1865.919556,13999.52539,1420.718994
219.411926,25.282728,4919.143555,-92.325096
27.812553,1014.771301,7542.138672,662.884155
386.208679,745.122498,27838.49023,670.805664
-162.695129,1950.125,52513.34375,3279.600342
53.069607,418.559052,3956.384521,156.060135
3682.479004,5588.80127,146179.5781,-1569.655029
5.940048,1691.804443,13352.96094,1679.638062
732.11499,3770.620605,24352.92578,3200.289551
164.90715,547.214294,6931.486328,178.620895
139.473984,1463.509155,12130.00293,868.187683
94.831375,966.940125,7388.099609,435.404785
41.443497,232.003998,2102.70166,79.461136
-348.097717,5449.60791,75444.1875,9320.084961
69.580521,-55.319897,36.158051,2.713655
-31.347565,2546.618164,12688.7334,1506.355713
481.423523,1369.809204,19298.35352,-181.616318
265.616394,897.274292,13063.74121,506.036804
494.42218,770.486389,10260.41895,-14.895758
206.979309,5666.94043,33258.40234,4181.480469
56.812294,670.315857,4023.860352,312.947754
14.757875,125.057426,2525.083496,161.777924
1.438381,217.715546,1124.265137,80.46769
434.852997,3719.619141,24133.04883,1635.529541
158.34819,351.574249,4594.866211,244.904556
-59.350681,226.02533,2407.344482,48.692825
309.998474,1228.846802,12190.68359,-72.867386
50.457413,1623.858521,45764.98047,981.248108
9.090012,685.427612,15340.91211,368.328735
12.587242,888.692139,6861.32959,594.992859
171.652191,848.252808,10348.31738,72.723236
-95.147682,1093.122437,29779.48633,-9.026255
79.389694,1362.425903,11036.15527,1009.111694
-46.357193,312.680847,1896.154053,100.145782
77.235443,731.419678,8433.420898,471.989685
240.937134,326.253662,9086.048828,-2.590495
115.016144,389.77475,3399.896973,-48.061752
326.580048,517.103088,11151.67871,92.287956
27.75275,655.82959,3899.080078,384.711395
-2.350677,140.533981,2829.138428,162.488144
-21.918175,682.979614,10385.12891,577.410217
89.31002,1176.909668,6458.657715,101.466995
-33.572922,63.722904,1198.094727,216.702438
352.404846,1318.549683,18122.08789,291.023041
58.321457,896.801392,9935.469727,555.67688
2946.575928,7267.290527,141074.0156,-5972.320312
593.920044,914.178589,28154.17773,-528.076172
60.700352,154.500793,1385.578491,81.366089
-70.400665,4352.35498,44170.15234,3622.223145
-157.600159,826.883484,29316.0332,194.625061
-155.075104,5971.263672,42355.07422,7979.200684
19.094612,133.209122,814.879089,136.305023
156.643188,494.016205,5783.626465,443.083405
97.993591,277.096527,6083.311523,56.913967
78.942322,7193.148926,84075.07031,1757.218384
-6.956723,128.445496,318.944366,-8.709956
896.154053,1990.136841,24943.03516,-489.034485
72.511078,1617.220459,12006.27344,1288.144165
-72.096283,0.158544,3887.093262,129.315979
257.03717,828.97583,5875.578125,236.537003
-485.327576,8582.506836,91198.75781,6062.034668
-197.228928,1753.953125,46841.99219,247.0242
15.003914,546.899231,7484.22168,437.515045
-2.601303,596.815369,9129.530273,445.835693
95.478745,1355.009766,14848.93848,347.794006
531.085754,2051.260742,14748.38086,1075.709839
-68.904282,4.284441,150.063171,50.430576
-284.280426,4669.608887,24360.20313,3236.356689
241.839142,539.296997,2879.520996,294.045349
87.43042,442.550476,2065.660889,12.602201
323.794922,762.558472,12185.32422,279.614044
102.60569,560.37323,5197.260742,66.273232
149.900665,149.927444,2420.194824,123.572495
292.267456,840.752869,14708.63477,102.287056
323.763947,432.282318,6427.581055,220.724899
212.253418,1911.207031,33620.78125,1592.068604
-259.957581,4746.645508,24772.9668,3435.433105
-70.024658,43.497131,372.118469,40.390156
18.398804,-19.52153,850.970398,-106.018562
131.240067,356.048218,2497.803467,53.498383
65.591438,75.228485,339.784088,104.557007
-23.867144,431.553223,5373.834961,403.767365
201.762817,1405.801514,8766.579102,1072.251099
198.891479,-251.597336,20431.83984,-350.480499
108.458809,51.870892,276.782654,84.309341
738.023926,1996.241699,29539.66016,-641.143677
-435.448883,3760.323975,55985.85156,3063.604248
-29.665512,661.129272,5880.681641,323.662811
10.257547,123.952499,622.16687,58.816406
40.596638,303.35733,1150.79248,106.155624
46.603638,1720.686401,13637.02539,1036.548706
161.522369,220.094696,2411.77002,222.920425
-8.696922,1472.851562,10277.08789,580.617493
-13.065956,1396.667603,7102.994629,776.643982
13.439331,7358.15332,85296.79688,4206.188477
46.150291,586.363037,8043.063477,551.883301
455.779572,838.60907,14778.44629,483.069458
84.137207,351.679535,5949.362305,164.431442
66.884216,891.948853,5903.223633,25.824112
69.751724,405.604919,2981.667236,137.154572
252.778732,2171.625732,21828.82813,3438.041748
12.508818,78.424355,181.822845,92.42585
497.920227,1098.957397,16853.95313,-5.489576
43.014671,478.648987,4261.142578,467.52713
74.201195,258.454559,4655.329102,287.790466
1102.707275,2100.835205,17240.23633,-3272.135254
766.357849,1706.773315,46596.95703,1281.672729
90.704315,947.831665,8185.67334,494.793304
-65.326714,428.213684,4014.972168,-96.018028
-183.267883,2761.942383,30633.51563,2104.773926
107.800674,-48.711773,86.005409,-19.548805
95.973335,201.578232,1214.460693,24.107965
132.136551,275.232971,3585.24585,118.216194
51.399117,794.733643,6529.287109,322.426666
561.166931,798.135376,9549.931641,-367.145569
134.985336,666.249817,9276.405273,25.605289
-40.4324,309.776062,23753.78516,335.75647
258.543945,817.783875,11690.4541,348.358215
152.253387,564.577942,4134.879883,504.075806
146.352676,1129.46167,6628.927246,441.253174
113.630348,956.72821,9688.700195,889.680359
317.401062,1290.726074,14093.22559,-341.872772
-141.768524,2744.221436,91292.32031,2458.620605
-45.109753,732.161743,7281.590332,594.871094
90.608749,125.729713,436.556854,30.363579
92.82653,222.253708,1961.546021,22.480782
6.076061,117.216629,1214.748291,131.104202
567.816772,4142.244629,37468.50781,2220.716064
-37.163837,136.199432,4132.96875,28.329412
231.047882,1204.414062,15776.53613,714.248596
-235.691071,1169.379517,19413.66992,1261.357178
-549.620361,10784.05176,81563.625,4628.509766
101.692055,72.12883,659.913696,63.178101
130.441772,274.013824,5664.157715,370.348663
128.610413,717.956482,14263.32422,385.486237
31.616768,74.078247,219.846771,31.651691
-29.852394,303.336639,2608.194824,144.177368
47.531483,485.662445,2002.400391,240.571106
