WT,ST,GFP,SpT
558.645081,-21.09145,4125.186523,-11.955116
1292.099854,133.332123,14881.09961,-901.481873
1370.516724,55.993629,2558.5979,32.104683
689.866699,-53.197605,1733.908325,128.673004
279.436432,9.146159,721.329529,2.5833
1054.768555,-19.581345,14712.91699,-53.574848
1195.047607,-57.197929,15840.17676,-57.37764
386.55069,12.734446,1649.755005,26.36409
2318.800293,31.448719,8024.287109,-14.451478
628.799377,-249.010941,3692.497559,-57.164459
4553.134277,-86.523201,9918.880859,-7.249951
290.798309,-43.394608,386.707428,6.606106
1626.460938,-61.285778,4806.671875,-19.011122
3970.230225,113.533363,7146.588867,-205.195801
1898.283081,-7.385976,1398.915649,-3.120846
965.080811,-31.879011,5065.944336,-81.067986
5691.154785,13.810976,17094.43359,-163.625015
921.792603,-75.220528,3660.021973,-32.499878
1452.388306,-75.180519,5996.461914,79.822861
2412.007568,-87.089523,43953.54688,-276.873962
742.051941,-2.459693,707.730713,44.07893
1046.253662,90.487144,7836.678711,-402.338409
1958.378662,-30.114029,3665.880127,39.276028
2120.338135,-76.768379,10152.05176,31.576765
27130.84961,-469.997559,420475.4375,-10122.46973
192.259064,8.341907,553.460754,71.337463
6896.084961,899.501953,24686.32031,-1418.694092
591.981445,88.204895,3950.217041,51.309624
9142.40918,-245.448502,30200.5957,88.072929
5472.354004,473.770264,16875.74609,-905.82843
17254.31836,-277.274139,179156.1563,-844.877991
1956.057983,158.42186,2183.09668,-56.523277
1407.082642,88.575912,6195.11377,-622.101868
3174.31958,-87.998817,22272.91602,49.062386
475.21936,22.099554,967.822998,-5.743554
3467.203125,-102.628525,20960.03906,-193.888824
665.478088,-7.810466,5077.616699,81.057335
1132.781982,-52.150913,3053.052246,5.166865
2247.834717,-6.510614,3642.136719,-241.311844
522.097778,109.43071,738.050354,-25.890034
9659.237305,494.895752,17956.18359,-443.697754
382.856567,-42.622181,618.235291,2.547615
11256.52148,58.997375,23003.16406,-408.694275
1126.822754,42.433041,17214.69922,51.5994
2554.720215,69.17691,3378.716064,-56.726753
995.560852,-97.741547,6107.06543,42.188831
940.870789,-147.516663,2068.647705,63.336884
8138.799316,-279.035492,35034.05469,-280.771423
243.827881,-32.696812,2723.788574,-29.857723
1916.518433,-61.046886,4497.76416,76.360695
10317.98047,471.137939,34066.67188,-2395.499023
1105.206177,44.279621,1555.862671,49.427147
269.029266,39.514442,435.992584,-5.907693
917.338745,98.5877,667.501526,-814.360413
1937.352661,-10.651502,4495.536621,-12.349016
222.707275,71.662987,431.606049,57.405571
1448.743408,20.138962,2789.156982,-41.84811
1054.488892,-193.140427,14144.22461,-155.173737
682.157227,78.866302,2771.48999,168.797424
3077.751709,-111.844223,7139.528809,47.551235
2536.590332,139.175613,18389.36719,-998.679749
238.118317,-60.867325,540.3479,-6.603555
3925.725586,57.291687,4709.376465,-98.217628
1339.724731,31.695982,2153.165527,6.781886
4405.679688,225.539963,29638.16211,-1674.585327
3102.482178,-108.678741,8075.318359,-143.549149
601.644348,23.158997,3212.439453,76.124138
252.864166,1.104095,596.373901,-20.772263
854.024414,110.830978,2617.667236,51.486942
1260.862671,-177.705658,4093.294678,-125.279449
871.702759,-22.456074,7510.034668,45.658257
3818.709229,99.984947,40679.81641,-1539.965576
1273.191406,30.787832,16978.98828,118.015808
2506.532959,-61.392586,14833.84082,-229.666763
