exp_name,file_name,model,kinase_variant,kinase_zipper,pptase_variant,pptase_zipper,kinase2_variant,kinase2_zipper,substrate_col,phospho_col,kinase_col,pptase_col,kinase2_col,kinase2phospho_col,KS_stat,mean_pplation,geomean_pplation
substrate_only,substrate,substrate_only,,,,,,,ST,SpT,WT,,,,0.159977569,91.88478383169091,69.11680372119594
non-pplatable,SD,non-pplatable,174,L+A,,,,,ST,SpT,WT,,,,1.0,85.17649399543215,62.93009630910711
kinase_dead,KD,push,kinase_dead,L+A,,,,,ST,SpT,WT,,,,0.238627013,91.7890832623351,69.5305432039363
kinase_non-binding,RR,push,kinase_wt,kinase_non-binding,,,,,ST,SpT,WT,,,,0.065524457,694.4945316867288,181.14052179556055
kinase_variant_375,375,push,375,L+A,,,,,ST,SpT,WT,,,,0.043069097,303.831578175574,148.6615907358441
kinase_variant_419,419,push,419,L+A,,,,,ST,SpT,WT,,,,0.111604809,1402.3925517083167,402.33759991694586
kinase_zipper_E+A,S+E,push,kinase_wt,E+A,,,,,ST,SpT,WT,,,,0.10139553,3291.927647122624,660.2901793308215
kinase_zipper_E+E,E+E,push,kinase_wt,E+E,,,,,ST,SpT,WT,,,,0.158022862,1781.8510249873623,399.6489194367997
kinase_zipper_L+A,L+A,push,kinase_wt,L+A,,,,,ST,SpT,WT,,,,0.285520974,4661.105657163598,934.4897415973552
L3,L3,push,kinase_wt,L+A,,,,,ST,SpT,WT,,,,0.175737565,752.5763056607168,236.6546414734419
L7,L7,push,kinase_wt,L+A,,,,,ST,SpT,WT,,,,0.092148232,184.39020199193862,109.2592465800163
pptase_dead,pptase_dead,pushpull,kinase_wt,L+A,pptase_dead,L+A,,,ST,SpT,WT,pptase,,,0.260979021,4994.175685652611,836.5355048781223
pptase_non-binding,pptase_nonbinding,pushpull,kinase_wt,L+A,pptase_wt,pptase_non-binding,,,ST,SpT,WT,pptase,,,0.253571766,4105.083825358631,823.9668724686601
