WT1,SpT2,pptase,ST2,ST1,SpT1
204.405777,1208.088989,182.830048,1595.878052,352.298279,1191.65332
136.818253,617.997314,139.080887,718.825073,349.039429,903.328186
576.547852,1502.898193,39.456188,2396.793457,1241.559692,5018.328125
1587.965332,2392.388916,158.637115,1394.153198,821.84491,3115.65332
229.807068,717.950684,62.357128,550.561768,360.565308,787.261292
140.302261,598.21759,457.816071,552.305786,316.47702,177.726135
83.338943,12.53139,114.66523,2363.915039,500.934631,458.551605
472.512207,810.888855,203.373001,273.245514,232.143845,730.976624
294.348053,980.324402,242.502411,504.787506,760.652588,1875.116211
6877.550781,5310.58252,1163.310303,7819.204102,3259.326172,21507.36133
6809.416992,2764.775879,63.533554,3592.726807,672.562805,6186.660156
2206.900391,6974.730957,18.398918,2809.255371,1656.524292,9425.415039
197.074692,474.138306,14.988819,555.966003,190.087784,811.51001
117.18367,1247.105591,132.252899,999.295837,571.628052,1719.267822
190.971329,363.283325,54.568611,412.098022,294.877228,1099.6073
480.986298,442.663879,116.703537,358.6026,54.422764,701.13147
431.281799,2950.774658,217.624039,1747.803345,385.539124,2965.303711
236.119812,1868.664307,259.227417,1126.477783,1019.349976,2432.923584
140.444641,2246.813721,783.402954,1855.002075,744.756958,1303.3479
1111.801025,7214.068359,1118.960938,3725.927734,2980.487061,7444.086914
110.105751,431.923279,44.718929,628.643066,290.540985,324.129852
337.293854,410.247589,153.541351,377.645355,52.587971,360.946808
245.585175,510.795105,32.168377,700.346497,537.873413,826.70343
463.154633,1221.550903,58.92028,1160.186035,858.471619,2519.260742
212.565521,404.713623,112.269051,561.326172,179.660065,355.330994
209.548111,345.435272,103.666992,957.055786,131.25441,462.869385
1823.981201,3827.252197,414.141968,3858.540039,1668.741699,5556.32373
301.901978,3523.788086,235.399765,3059.457275,1183.473633,4808.14209
81.995567,1644.244751,1354.442871,843.667175,390.996124,545.519714
1418.836304,201.299164,131.569366,495.111206,130.175049,269.894714
303.754791,347.939362,78.091209,427.468811,198.629486,497.27417
8.832528,525.300354,266.215759,429.798645,241.20015,644.027954
853.81842,488.772827,737.418762,876.36554,423.987671,1773.644653
348.296112,1248.63855,29.87307,481.452057,692.645264,1560.518555
119.914764,381.231873,79.294151,167.781097,370.523621,755.382263
710.533142,2076.590576,2211.012451,2823.237061,1335.400391,2606.324463
247.742126,5907.037109,2632.572998,1966.356934,1130.705566,4304.378906
1183.066162,758.901794,180.725418,704.132507,536.606873,1405.990356
135.95871,614.180298,1456.635986,4237.843262,2951.794922,3651.989746
425.328827,2811.356201,603.583435,1664.208618,575.013733,1442.30249
673.682983,934.46637,78.521896,535.667358,488.890381,1471.655762
680.630005,1157.751465,147.264099,560.031494,326.934052,1058.833374
