WT,pptase,ST,GFP,SpT
102.807724,642.893616,75.276833,16692.90625,-100.418648
194.953506,178.731659,49.239548,24551.76758,156.411667
200.042114,847.595337,-70.81279,6617.371094,27.547131
653.698975,5212.774414,58.560097,59047.07422,-254.432968
147.085068,715.469116,-43.035248,16836.14063,107.910286
-216.991562,3464.661377,91.520439,32857.89063,-2040.914673
172.392593,317.670258,-3.408175,7352.088379,51.306004
-1001.181335,13224.58887,-114.32431,108460.9531,-6312.59375
77.005447,3610.108643,-48.612419,13517.1084,-1304.852173
12.473021,422.633514,-23.01054,2632.03418,-400.192627
49.201012,320.369934,-74.261986,907.03949,-271.891388
-262.935364,1730.220825,6.151916,14159.6875,-1116.008545
288.562622,4213.081543,-6.850033,58138.85156,-76.16494
-107.210258,892.483215,64.461365,8484.564453,-579.944397
-26.232866,937.119385,-6.045046,2609.708008,-425.77713
7.165576,196.976028,-0.422656,2097.784912,-168.984482
183.929596,193.534546,-35.702015,12511.36523,179.123322
189.835175,853.936951,8.557013,13324.55273,-231.772385
136.438034,2621.781738,76.408539,79130.53125,314.812469
224.558472,3013.990479,-175.119141,118110.2188,1041.497681
-23.043425,1387.444092,-27.382236,27713.36523,-318.094971
74.128242,194.304382,24.314228,4582.864258,-220.139542
428.131195,647.485718,-113.403145,10635.61719,-177.966309
-242.038284,773.628418,45.869896,44726.62891,-74.61293
-56.440369,359.074982,46.40979,5351.908691,18.22154
31.376059,1107.835693,135.382858,7388.299805,-285.045776
95.794754,320.801666,-79.914421,21263.26367,50.692078
84.590927,5503.031738,-124.847862,61572.54297,-3330.900879
247.457642,1008.331055,7.625314,11820.97949,-204.19545
-1435.92334,30749.69141,-52.729176,223648.7344,-12520.52344
570.901184,2020.859497,-66.132004,53973.91797,-397.598663
41.358932,1895.079224,-49.844761,17984.49023,-639.575378
-277.937836,8925.998047,18.639332,33946.46094,-3705.803955
181.761978,345.353516,-38.963665,11767.6543,147.191116
52.327812,925.696777,76.490646,6941.13916,-288.75827
100.397781,363.893707,-59.523212,2761.186523,98.318962
189.867493,596.730042,-4.360944,5935.725098,68.626228
