WT,pptase,ST,SpT
2494.380859,533.014954,786.712646,861.591736
822.364746,340.307556,1052.776855,28.999298
6167.173828,1793.990479,3815.997803,652.720215
1426.370239,223.655823,515.135742,60.676075
1653.112183,-11.093123,911.493164,193.30011
1180.704468,399.999115,592.572205,6.446176
10406.33203,2013.131348,3704.812012,1215.867798
684.318665,902.918457,484.454742,162.282684
8688.989258,2761.209961,3213.468018,2043.064209
22708.87305,7368.57373,9563.71875,580.134583
4320.651855,635.646912,1242.64209,325.669952
11338.24805,9708.847656,6449,149.251083
414.532196,640.648376,474.139191,91.833565
3599.27124,1107.939941,1815.052002,2543.847412
3398.266113,850.318359,1333.466553,620.852112
1324.970459,2482.865234,1320.114014,829.336182
1251.098511,217.547073,506.374054,71.295425
6861.961426,343.893768,2327.839111,4016.295898
2657.433105,1264.469482,1184.902832,492.142303
1305.894775,185.161392,531.281799,84.930321
5745.125488,4421.780762,3014.751953,332.931244
2601.751465,735.294617,741.620361,83.143166
1076.673706,1766.193359,498.409973,481.438751
2566.635742,281.848816,845.911255,249.185593
29699.5293,17541.0293,32359.44922,1637.439819
25111.05859,227.450439,2522.914307,560.131531
27195.3457,10856.67676,15417.93652,519.093018
619.826965,761.304565,401.97821,421.14212
12300.04199,1584.881104,3198.053711,80.282692
1845.917847,1678.770874,7053.325684,75.642075
1185.596802,1080.862915,497.03067,240.427139
3037.385742,6220.872559,4435.652344,176.082153
3376.130859,2319.894775,2221.390625,90.916512
4238.647949,6252.849121,2415.464355,616.352051
2228.869629,796.480469,1851.71875,181.743698
2483.013428,1808.301636,1611.546997,667.99469
5129.474121,1588.335205,3822.741699,357.289764
4127.803711,3778.342041,3102.467041,227.355988
6636.232422,1875.408081,1680.93396,1942.574829
678.916138,3872.20752,1803.754395,89.508865
1926.419678,2204.474121,2521.280273,11.247993
4849.556152,1555.186401,1876.466309,89.120232
1220.786621,309.191467,646.016052,414.509827
7039.618164,3341.074463,4423.594727,79.494614
7242.535645,286.03302,2123.100342,264.266388
6686.794922,1560.646973,2617.423828,215.394119
1119.335693,1588.021606,1584.317383,70.699142
7951.660156,1577.862549,3007.022705,2521.695312
1241.393921,874.928711,840.740845,124.606491
1332.731689,59.659153,344.907318,90.712204
1754.666748,377.900238,743.324219,68.15818
10976.27539,5899.991211,6585.322266,1534.433838
1674.386108,1114.868774,854.288147,61.806313
20667.11719,9125.244141,14421.43945,878.84259
2974.531006,2822.944336,1844.767578,509.279907
3669.279297,3063.035156,1996.747803,134.353348
523.149109,128.242813,158.514481,100.725395
3338.95459,1122.383301,478.507233,232.486237
5385.114258,1676.569824,3086.902588,3.929373
246.956635,179.972992,724.880188,127.378387
1040.178833,6560.76416,10062.27637,936.90625
1024.206909,980.406677,1053.060425,215.259003
2540.20459,1459.561279,899.808167,399.369232
5108.48877,1729.814209,3774.532959,165.857666
2168.92334,1377.130615,1119.67041,279.612885
1637.47522,393.584198,419.718323,638.0047
308.075592,3301.364258,2272.038818,150.780548
1221.583618,4064.152344,1976.618042,137.914383
3101.55835,363.946014,1017.839661,135.350159
4773.278809,2219.34375,2088.786865,298.341431
10268.20117,3377.150879,17522.14453,235.422241
58226.23438,1719.986206,11358.98242,1672.43335
28504.63281,803.505554,4569.346191,64.509857
1041.42334,2392.439453,3357.256104,303.663269
11772.24902,4611.28418,6098.168457,335.150116
329.001892,514.192749,245.844666,36.496342
4640.440918,8387.819336,4252.897461,402.659546
2820.831543,5645.819824,8806.708008,273.463745
7001.363281,4088.451172,3712.706299,642.418884
5871.425293,1020.384216,1790.100952,152.832626
24382.78711,876.48291,4663.397461,1446.028687
4971.545898,2603.727051,1857.279175,485.023529
3751.991943,1378.281128,1747.517456,152.243561
788.932617,851.64624,934.98999,142.984924
2085.895508,2944.23291,1559.106567,12.798166
2541.997559,4200.155762,2251.593994,318.318817
2307.186768,253.383804,605.712219,194.728775
16252.24316,9728.481445,9063.192383,1381.421509
4955.468262,17031.23633,31110.80859,275.409851
831.28772,1388.691162,1366.259644,90.582542
539.831177,1274.407837,682.099548,170.375961
1028.547485,3458.523926,2249.890381,460.330322
1384.565308,2073.356934,1295.742432,101.809547
1030.448364,214.972382,724.753601,93.88089
1112.230957,2872.126953,1045.311279,5.075718
1695.480957,2934.706787,2367.398193,2.813717
2395.562988,14338.77734,6453.969727,145.572906
1271.165771,597.279175,1087.533691,71.855019
211.236267,640.347778,1199.151855,128.71489
5268.81543,3674.379639,3416.277832,649.130371
8569.453125,1984.03064,5885.418457,68.312485
3195.01001,5927.783691,4666.053711,160.251282
3997.130127,1329.15564,2668.535889,145.569778
2135.720703,1725.755859,2056.668213,65.64315
1538.686035,1118.256226,1046.713623,273.949066
10331.64551,1409.861938,2293.685547,319.06543
2888.17627,4977.483887,2953.206055,478.932556
16417.01172,1796.636841,6168.876465,1104.559326
4140.024414,2262.365234,2702.494385,67.054535
2382.677979,573.146301,704.090088,42.484745
2006.766357,4941.006348,9581.979492,183.463684
2244.071533,4955.212402,3605.282471,481.533081
5207.640137,2763.142578,2877.367676,51.621773
16815.60938,6290.78125,8300.102539,2165.250488
2978.964111,1795.860474,1609.342773,1126.282837
1757.161987,490.384003,782.677856,12.864986
570.485535,871.537903,1626.377686,127.074547
2733.356934,1510.43103,1347.705322,41.917778
15416.02734,9168.62207,9866.486328,238.520264
1559.480713,4023.504883,8773.774414,108.959557
6015.234863,6761.182129,3815.773926,403.237488
3930.620117,2377.706055,7099.795898,500.679779
3839.430664,1563.696655,1824.366455,235.237549
141.713348,292.478455,826.651001,124.122429
1307.1073,324.169189,455.087921,171.033798
3440.60376,1523.893066,2286.784424,19.778391
6950.624023,5593.004395,3176.688477,294.259735
4629.977051,1040.84082,1979.114014,145.972382
6585.367188,39.859226,289.483917,56.51144
849.258484,375.38324,511.522064,106.215302
1353.844116,321.121094,650.653381,164.492111
1753.678833,3109.669434,1291.338013,108.439095
2698.014404,4581.083984,2010.335693,1005.468323
2719.239746,4018.139648,3296.022949,36.510387
9910.078125,4738.203613,6344.611328,551.317505
962.704346,1292.831543,684.097412,123.59481
34023.70313,21075.97266,23039.18164,771.070923
6973.448242,8216.214844,6989.913086,717.198364
9253.59668,1656.753662,3979.327393,245.681
19151.19336,35.89217,774.071472,191.974945
7826.849609,5122.326172,6089.130859,82.765182
2030.455811,2160.679443,1489.956177,124.516518
9388.831055,3605.803223,4130.376465,720.117615
2459.874023,5650.470215,19580.71875,123.146622
1434.682129,1939.537842,1220.702759,212.553223
1276.535889,391.668945,396.334534,62.583691
2111.665771,996.176758,880.307373,149.648895
283.95697,637.205505,325.235901,108.68853
1242.231934,308.188568,272.398224,131.696777
26076.47266,1127.539551,4228.248535,346.688049
1187.976074,3894.074463,2301.074707,114.63488
2409.740234,2706.856201,1425.165039,27.937649
5724.078125,4486.203613,2594.227295,2085.689941
2283.336182,1094.923706,941.311035,59.364826
968.165222,1355.742798,693.104919,193.909943
2003.282959,1185.180176,1310.980347,86.068176
2028.094849,2085.784424,842.877808,1221.700439
