WT,pptase,ST,SpT
8032.338867,764.123779,2145.837891,5099.08252
1555.198242,2516.057373,1011.94812,593.02002
1950.106445,1377.685425,1689.637085,2049.370361
2745.10791,1731.061157,1419.05835,3865.014404
9906.723633,4918.282227,4801.12207,13006.6543
15834.97852,7306.4375,11101.15332,1738.033813
628.973145,1343.516968,262.710236,180.858505
2791.870361,435.520782,1514.968994,1671.904907
7011.487305,5461.102539,7423.288574,2109.023682
2904.063232,1113.253052,1161.871582,944.134705
4325.702148,1779.335571,2821.12085,4034.779053
26299.05273,14582.75879,23944.36328,14516.43164
8085.809082,1264.21106,2234.057373,873.096069
780.408569,1928.177124,4688.266113,739.397766
5998.738281,5058.682129,4098.623047,9747.623047
3731.043945,893.304199,1101.104248,14.004602
589.181396,1301.004272,513.608887,302.191925
2271.510498,1866.331055,1706.530151,1552.547852
1529.89978,2929.570557,1226.11084,487.461182
9646.53125,1186.268188,3127.666016,2606.730713
2936.312012,2234.989746,2904.400635,915.457031
3360.351807,2740.6521,2485.828857,153.823929
5519.740723,3256.477051,4784.136719,860.461243
10908.71289,1694.964233,3583.669922,448.468231
6319.430664,7041.620117,5405.318359,2679.244629
761.244385,3322.218262,1010.334412,297.095917
24110.86719,14574.24805,26883.01953,14801.88574
4503.56543,5133.371582,4002.552246,697.490906
1568.129761,1811.855103,845.062561,1184.956543
9546.21875,231.761459,1665.341553,589.059143
11654.21094,2627.217041,3435.907227,1501.912842
1562.280273,2717.609619,924.032471,2276.965576
4312.378906,343.108734,1147.764282,902.515503
1221.014771,656.448486,1031.84729,304.184998
10635.03125,2087.597412,4879.303711,1043.264404
1053.426758,2433.628174,303.712769,1677.298706
2522.288818,3153.717285,4376.200195,435.591309
1477.266846,5873.151367,1907.739258,3138.318359
3146.170898,692.530945,1416.462402,85.610069
22620.91016,2481.821045,6552.104004,12206.80273
2166.192627,567.581482,1305.573975,866.43103
1007.458923,1077.168701,465.849518,186.547211
1287.641602,1024.500977,604.256836,716.730774
8510.911133,2699.849609,4306.867188,1580.388916
4490.998047,5826.158203,3013.178223,3893.284668
1186.920166,826.112122,828.779175,369.504578
1662.399048,2228.835205,1800.373901,735.241638
7783.820312,3026.784424,3713.522705,2083.253174
1301.537476,716.687195,1731.969727,191.534042
1525.398682,521.015808,1269.412354,129.090195
1914.668701,1339.739136,1283.465088,1182.15686
2491.888672,3131.630371,2037.314941,812.781189
1274.149414,3438.134766,617.369568,1878.032471
7193.546875,525.418945,2144.994141,1649.432739
417.060638,210.766174,242.926849,170.986588
2472.05542,172.695053,823.881958,643.706848
798.471008,483.498596,382.691315,371.132141
899.107178,2063.769531,747.254395,272.337189
986.236877,458.869537,1085.82312,72.36393
970.578247,12667.39551,11627.75293,831.472046
3649.623291,5100.193359,3163.840576,4220.234375
805.952515,1395.514648,2313.808594,12.108436
9760.330078,1980.616455,2793.940674,4602.423828
25580.48047,10684.10352,13525.58008,1897.52478
1360.177368,2550.38916,920.925415,1299.930542
6136.011719,5565.370117,4763.616211,2585.100342
13796.05859,7828.268066,7486.853027,4934.177734
15557.60645,13273.77637,9533.75293,6220.769531
978.297974,439.914581,680.066284,35.515144
10613.85938,5777.697754,9425.347656,614.198486
11289.02051,9913.455078,12254.82227,4750.989746
889.767334,1733.085327,514.023621,890.937256
7291.555176,492.565643,2245.848389,1478.394043
5591.376953,2614.712158,2598.369385,2652.264648
402.747314,306.386108,548.905212,32.563232
17332.1582,470.921692,3803.110596,1798.626831
3106.566406,1895.979126,1364.36438,4212.106445
3171.763428,7636.565918,2801.980225,1977.169067
19575.27344,15612.30078,14179.16699,1647.077393
30364.87695,272.375916,4684.286621,4717.793457
1288.426025,1650.173218,2022.720703,235.368713
1095.483643,2696.462402,883.411133,521.162537
9849.399414,6429.087402,3918.796387,9405.898438
2794.97168,3576.729492,2972.741455,553.882263
3081.140137,2532.477539,4038.520996,545.10968
299.017792,818.247253,229.667709,129.080887
2107.77832,4496.755859,1169.280396,3133.194092
7419.864258,3558.974609,3893.416748,6872.813965
15545.36328,1107.615967,4387.307129,14256.91113
