WT,pptase,ST,SpT
2708.29541,589.774963,2352.223145,1816.155273
354.306671,941.468933,7002.410645,149.135513
1789.90979,-84.265091,194.167938,134.269333
1280.963623,309.237518,547.651367,286.564789
3613.510986,27.424042,1860.097046,1703.265625
12011.91211,341.285126,6838.409668,1292.738037
2349.866211,321.531372,2085.685791,667.952942
1825.351929,75.737648,1397.214233,2206.748047
3492.804688,1114.921387,1860.727295,2143.195068
4437.208496,91.037865,1866.641846,319.692291
767.0448,350.079803,489.103119,301.816345
4813.387695,216.026276,1474.047119,652.602417
2324.167725,967.112427,1618.138794,213.248444
530.170593,-70.681816,117.510201,142.729691
669.034851,671.96936,693.766357,37.451595
15872.81348,1434.48938,10206.80078,1046.402588
26286.15039,298.401276,8978.850586,1774.563232
8747.060547,3105.490234,4758.26123,3280.643311
1204.483154,189.026382,399.344025,87.884041
308.102478,215.113998,230.272018,867.423096
3336.121582,2353.142334,2279.456299,1115.641724
1680.477905,608.499023,1090.867432,370.323151
1017.196411,659.129944,560.940674,745.594543
4426.381836,277.014557,1810.054688,980.213013
5521.268555,185.283661,3060.920654,1014.126953
3732.038574,44.17807,2452.64917,665.186829
2171.338623,119.331581,885.934692,484.487396
1930.440796,-32.655838,226.092422,291.533691
607.130127,678.878418,4379.623535,114.325172
1231.327393,135.189117,1570.056641,117.593376
1602.543213,181.241486,1064.102417,224.242889
245.194916,84.022308,190.403595,80.440704
1238.885132,225.970123,1015.497375,57.329834
427.331024,97.323456,427.349731,47.723179
5384.062988,329.41687,3100.340332,3115.704834
598.791809,331.541779,559.341553,162.267014
297.215942,388.613922,14.252145,253.487183
23957.85156,955.212585,13575.26563,1985.942017
1853.422852,471.025665,866.856689,505.670776
4067.371094,52.371777,2072.777832,1388.296387
834.26239,-23.435955,341.727509,101.078506
6828.65332,3312.374023,4902.263672,1307.216553
947.055969,119.724449,889.852173,93.414642
4123.416016,388.472168,2613.272217,685.165527
1653.137451,145.490768,851.364929,560.921875
1129.519165,259.274323,600.566528,385.208252
1566.563965,156.615067,769.257446,571.670654
1521.692383,276.726166,983.337585,1863.328613
3822.327881,192.967255,1773.487671,1826.003174
3390.207031,248.090866,1612.401733,811.021484
1112.075684,97.648003,590.17981,1251.26001
348.839447,47.675781,302.507477,67.044785
5520.709961,765.586731,4345.089844,1209.340698
1776.895996,321.143158,918.761108,612.209229
853.910645,574.971191,1051.276367,175.706848
550.099487,229.793793,999.384705,76.385178
3560.770508,249.707077,1098.560181,562.024414
1087.149292,410.437225,850.48999,391.163086
2967.333984,398.470215,3108.729736,314.64682
1306.975586,-10.239276,662.98584,100.993042
837.735474,74.458229,133.552658,38.553127
12432.88867,945.949768,5310.14502,2616.89209
40319.11719,113.060638,5573.205078,2446.561035
5698.494629,594.703064,3365.814453,405.684265
1910.934082,100.968109,1091.080933,1663.580322
936.816223,1225.874634,1072.369141,957.617859
5188.743164,1629.189575,5059.030273,755.578918
9890.466797,1919.312378,5139.158691,3881.122314
5783.472168,146.170319,1958.851318,3831.758301
3754.320801,1881.271851,4581.449707,1103.773193
2822.432373,642.661133,1977.29895,287.448242
1042.535889,481.493195,908.065613,383.727844
659.722046,648.444763,406.804138,1069.546265
1503.578979,61.471828,1051.537476,165.559616
1919.032227,233.714828,1691.545288,133.888504
2427.938477,599.244507,1708.208618,327.488922
2222.505859,144.802307,1104.32605,1142.663818
3266.324219,560.325806,2245.120605,103.283951
5135.087402,1408.029785,3358.482666,5794.368164
6003.187988,71.718399,2021.955078,1093.41626
3167.427979,481.153015,1815.909912,974.146545
6033.933594,636.852905,2717.125732,524.461914
5078.270996,210.309906,1701.834961,407.547058
766.974731,138.693695,510.634064,139.180557
401.662354,222.151138,199.387192,1025.537598
2714.71582,196.565338,1846.378052,3044.280518
978.449829,262.815521,1084.230713,38.087132
773.876831,701.476135,716.644226,284.496521
3719.839844,-4.142385,2057.258545,121.433945
3484.813477,32.168358,1314.723267,186.699677
11346.52539,1523.445435,7117.905762,650.92395
2108.569092,1746.974854,1556.06958,2166.380615
10964.39063,640.999146,6613.711426,78.381676
672.449951,382.828308,383.177216,370.255737
1152.78125,268.99826,927.695068,811.208435
2668.010986,354.193115,1411.954834,570.999695
4126.940918,242.944855,1565.717163,93.993729
3866.118408,888.194885,3249.291992,932.250305
1743.711792,898.660217,3265.400635,19.813822
1165.04187,491.413361,927.786377,483.047913
789.042542,278.723633,702.599792,238.935135
46399.70703,491.60022,11800.86621,2442.179932
2387.969971,113.553459,1278.056641,800.089478
4920.875977,372.624023,2396.660156,1657.947144
642.067078,367.562653,673.036499,259.149231
8134.115234,174.404144,2051.503174,425.662994
1160.293213,153.199387,721.416565,130.593185
2325.999512,271.440979,666.366821,71.614059
2564.794434,1537.771729,2921.217773,721.241211
5086.399902,671.334778,2347.129639,1386.537842
