WT,pptase,ST,SpT
1060.638184,1842.656738,1530.107544,497.195465
3063.287354,698.755676,1058.817749,1209.720459
2135.680176,377.887939,964.8573,26.908915
1814.210938,461.851166,721.746094,115.551483
2812.922119,2683.381836,1578.77478,3105.120361
2495.839844,369.379761,703.671997,628.003174
652.801575,20.787888,259.319489,195.779358
3006.596191,1072.252686,2013.776367,4305.100586
7267.211426,5116.71875,8175.715332,284.893524
5164.253418,795.007141,2987.677979,530.344177
5177.378906,1867.920044,6136.380371,743.104614
7249.987305,946.481506,1476.585815,1856.699585
3548.616455,3120.671631,2000.080933,1906.668335
3987.729004,1037.111206,1907.078125,1580.055176
10524.85352,317.110321,1358.094971,693.888
12534.8877,15425.22168,12712.86914,5514.988281
1055.572021,290.647339,399.625916,534.991577
1198.208008,666.958557,754.078064,1004.089844
881.547791,526.15448,704.232422,1430.264526
3501.009766,4598.503906,4006.296875,984.274902
1984.196411,701.711975,1093.049438,1258.744141
423.319092,28.236334,196.634369,131.096344
1600.646973,726.116089,562.326538,1662.321655
14906.70898,1737.790771,5461.428711,9399.738281
10663.80664,3042.124512,7843.876465,19395.45117
3234.905762,4732.222168,2446.275635,3329.011719
2662.03125,198.776474,746.897949,945.295227
3756.696777,476.973145,1527.254272,752.431458
1947.507446,495.895569,1089.749146,873.53418
3197.65332,669.57251,1146.625,339.16803
1731.015381,522.598938,985.743347,454.983124
4476.099121,1354.609497,2171.150146,2539.337891
45570.64844,10420.31152,22736.94922,11035.34766
19169.83789,329.005127,2818.223633,1095.467407
221.583191,3774.222168,942.083374,655.189575
1029.834595,1530.192139,1674.356201,128.97374
1483.800049,4539.995117,2712.993408,1019.397827
472.973877,3257.539795,2779.717041,163.49585
12640.52441,1305.927612,4610.348145,1494.208252
34131.52734,8630.208008,18910.42383,38372.55859
1456.471924,1661.322144,1165.310547,2155.974365
9115.650391,3322.810303,5836.05957,126.715195
18220.83398,2661.013184,12790.31055,5970.313965
4560.306152,129.767242,872.072449,470.191376
213.408203,616.231079,698.19812,64.812538
5239.952148,5094.883789,5721.372559,3231.490479
26944.05273,168.680725,8683.825195,3973.852783
1066.096191,491.840393,624.895874,74.725082
7983.810059,1490.909546,5849.50293,1301.098022
5881.960449,3538.913818,4417.745117,1853.365845
10405.77246,2556.949219,7187.63916,5015.192383
947.689819,615.070251,894.242615,81.967201
8144.242676,2111.44043,5640.741699,1325.894897
2248.019531,2314.209473,1762.613037,909.324707
4565.194824,1368.731934,2111.137451,3166.815186
414.819641,1532.546631,681.951111,210.02713
5205.369629,550.246521,1856.100708,3017.209229
2052.709473,1953.493896,1391.932617,4773.743652
6280.126465,644.202454,1166.186646,48.145012
6344.810059,653.86676,2755.061279,977.173279
15977.41895,1517.986694,13462.40625,717.598206
3259.070801,1107.803467,1550.705811,2660.309326
1177.317261,3744.172119,1938.274536,924.120667
735.331055,2110.906982,3076.923096,105.08934
1143.310791,376.693909,660.40979,197.674362
2999.015381,6584.765137,3663.560303,1182.066528
15173.25195,3671.869629,5122.370605,7299.914551
14343.85547,13679.08789,10521.58301,2015.884399
4857.543457,1337.466553,2851.329102,2812.017334
4237.178223,736.786377,1624.037476,652.527405
1310.014648,216.255447,373.401672,183.163239
2092.159424,61.684952,572.027527,1569.401978
3575.944336,5580.058594,14025.18359,1246.667358
5549.010254,7822.256836,7854.381348,1492.736816
4067.260254,1114.04126,2340.133789,1829.35083
