WT,pptase,ST,SpT
465.213074,292.649109,527.933044,8.674768
7023.871582,3026.816162,4126.021484,546.348755
50878.90625,695.927673,10029.52246,2579.972656
383.489105,974.977417,939.719055,117.411972
3347.197998,2096.163574,2271.05957,367.313324
1972.942139,1827.766357,1223.406738,256.830902
1580.452515,449.930939,540.252808,244.503021
1076.411743,650.296021,701.798645,131.073654
43606.51563,18358.4043,32598.91602,296.188446
5508.617676,2925.154541,2574.397461,4594.851562
589.015381,294.701355,198.312439,11.105163
3389.001709,1620.001587,5758.519043,426.756317
1028.163208,239.795685,462.15741,834.213928
2469.393799,849.435547,1631.027466,349.147919
8502.123047,3172.908447,9773.949219,963.014832
1070.693848,259.309692,534.172913,181.867722
2805.437012,606.918213,1438.587891,108.82724
845.23584,118.104095,57.337162,359.798187
208.640259,272.303558,201.887741,13.236387
2691.375244,5608.992676,1414.431152,3099.012207
2633.334717,1464.296021,3506.690918,161.991028
3497.741699,3326.287842,3017.4375,108.831924
1445.741699,609.060181,913.082581,59.555595
1549.524292,2239.294434,1345.41333,876.430847
3466.159912,1278.132202,1682.90686,1340.523682
3175.873535,2130.807861,6726.276855,265.351746
265.486206,-40.962833,93.01355,421.707916
1474.781738,48.980019,269.514618,65.718346
16432.81055,252.093491,2311.860352,724.926697
1416.909424,1470.875854,665.388,598.254944
394.827271,-184.514236,17.298941,79.463928
309.358704,653.873413,61.522282,37.700493
215.13974,274.362732,1067.254883,80.097954
5322.790039,2173.123779,1884.070923,1683.648071
1405.96936,988.045776,1036.343872,558.53717
1189.955566,975.318848,1332.316772,319.53067
743.607117,1434.992798,668.016113,780.828003
771.371826,1792.736206,1799.264038,251.899323
1028.820923,1992.468994,593.262939,481.542542
353.581024,1715.143188,763.924744,292.279449
29261.36133,5503.867676,16052.57813,2453.977295
9518.526367,138.022293,1239.392822,512.395142
1443.87561,737.863831,1690.678589,284.437561
2619.847656,541.874023,1075.358887,354.240417
10381.79492,1645.872314,5007.490234,139.238007
592.680847,119.44957,172.561996,131.987778
130.733231,458.012878,154.929794,19.019491
6554.951172,1115.74231,4292.202148,958.74176
681.887756,324.275665,812.860535,60.599972
7244.465332,4895.273438,4587.529785,239.066162
309.033569,519.498657,688.937378,228.316559
2986.408691,3354.561523,1961.310913,484.328644
1514.28418,454.662781,1188.958496,87.374176
6775.970703,4538.787598,3086.352051,3941.236084
3097.265381,4304.161133,1470.911011,704.74469
3314.830566,2950.141602,2492.895264,337.786102
1145.842285,2467.451172,2704.785645,24.04491
5137.214844,1299.452148,2179.023682,574.992981
814.089844,201.737427,375.063843,206.494644
1707.781738,5373.922363,1919.030151,646.351746
992.622131,2277.14624,1250.809326,394.666992
651.620117,1940.436523,601.860352,280.599792
387.772705,328.033386,303.192932,192.877869
434.848297,325.473572,580.907043,146.156921
10294.30469,1707.797729,4594.880371,2075.93042
470.486023,49.948395,200.094635,229.163742
1265.221436,1470.57251,1084.18335,248.78685
12784.3418,516.433655,2964.572998,585.135498
9822.74707,1077.575195,3003.573486,2483.814697
2214.036621,774.719055,841.05719,1299.247437
650.870056,735.088135,262.548065,36.708359
2426.387695,2863.524902,1747.880615,109.94606
28106.21875,1067.449829,7070.786621,1966.316162
393.683258,598.496277,228.550125,128.917709
2055.458984,1488.908813,1373.088745,381.728271
1230.75708,702.844971,854.157715,342.020203
431.602509,1200.918457,482.924438,213.320206
2620.149902,1587.005737,1001.390076,369.592987
7558.446777,4134.191895,4900.780762,324.665863
2230.746826,1914.422119,1286.504883,189.579208
1076.684814,854.915771,359.010468,726.495178
906.337341,178.899673,243.70343,1787.961304
7824.369141,1213.926758,4097.11084,322.302612
638.587158,1225.039917,868.116394,146.773056
1064.864258,3105.5,2033.738525,313.101685
1596.945557,1671.285156,1716.568237,193.233719
2847.169922,4163.896484,1697.848022,1681.861206
44450.46094,6204.683105,18688.5918,4631.516113
4124.949707,291.698669,1338.324219,608.737854
1065.449341,1429.015259,1249.737183,220.851501
23104.10156,1124.713623,8558.858398,2359.896973
1397.491699,5430.517578,4233.172852,383.478424
1155.835449,1042.960693,581.849609,463.629242
2674.544922,979.335632,1277.437012,773.30957
31557.54297,6435.592285,16948.45508,983.500427
1163.331055,519.758606,373.68335,1373.718628
766.338196,1305.700806,649.741455,251.101273
3960.109131,5029.330566,3372.48877,278.317871
8622.847656,3317.44458,5014.032715,470.479126
7267.104004,5647.278809,4480.332031,414.927246
6290.119629,1368.819092,2134.147705,1229.270508
2752.949707,3180.869141,2053.015381,455.887634
6914.586426,1005.113892,2495.317627,822.655212
391.873108,939.277283,492.508881,63.974472
14282.6875,1051.505859,3522.715332,1007.101685
3065.691406,888.529602,1218.738281,859.518127
289.025574,735.9422,664.043213,74.81456
18267.07617,10119.94824,12240.67188,3890.898682
19230.5,5573.729492,9835.739258,7384.61084
2162.153076,1130.470947,5884.619629,281.201294
4744.456543,2386.278564,1699.959229,2184.886719
1446.630859,47.893841,417.153687,1181.412964
288.725555,421.332397,188.099731,195.559906
3294.31958,839.553894,1567.334961,1436.836548
1219.607666,392.652863,778.752991,144.985062
14871.59473,5778.062988,7028.435547,870.355774
15773.99902,10561.85449,10521.70313,532.562256
811.917297,233.496841,1468.455444,156.356415
660.305054,1680.591919,460.75119,592.843933
2620.215088,3954.720703,2108.956543,156.28215
861.928101,1334.915771,1487.613403,156.442917
669.552612,1662.006592,345.339752,55.070915
3818.197754,4528.859863,2397.908447,1993.769775
4833.083984,1856.733765,1585.449951,1995.598511
14520.59277,1911.934814,3153.393799,164.110107
15262.08106,1769.531128,5701.643555,851.813293
1388.249512,759.68335,825.52594,4.537264
329.037842,518.337463,978.021912,96.117409
848.133118,2778.855713,757.060974,129.166702
12234.7832,4222.511719,6634.724121,3442.304932
2820.141602,62.952141,1183.600586,397.622772
5012.399414,4303.355469,9432.541992,520.972534
729.078125,1347.775513,220.445312,296.204895
3345.317871,697.536377,958.794617,2243.885254
3465.696777,4370.562988,2606.643799,334.764496
2434.346436,3605.209229,1762.514771,400.683228
651.240967,360.693695,1626.156128,56.059166
2861.783447,435.006012,627.581177,230.712097
71380.72656,20781.31641,53423.28516,4816.451172
513.826294,804.924316,479.411133,58.723454
2493.332764,2455.653564,1195.801392,204.177551
3966.837158,1922.929321,2507.966064,488.513672
9137.808594,5233.664551,3196.70166,1080.397949
27224.33398,433.364655,4668.355469,675.095459
439.890503,1026.150513,1818.458008,98.839867
7866.563477,8417.982422,5979.236328,1251.361206
1113.65332,2206.85791,571.775452,1281.451782
392.110596,1112.304688,1295.56665,126.745491
873.214233,347.962891,523.269714,192.898392
1514.710571,644.641479,2940.653564,139.989334
746.227173,647.06543,504.915283,65.436722
3516.046143,2593.94458,2277.877197,1186.009033
2756.087402,969.15448,1312.052979,568.463074
1011.695557,1258.464844,624.249634,998.669739
3392.388184,9299.536133,11724.0918,405.585754
4032.949707,2957.818604,3912.55957,90.931892
3622.089355,5884.774902,5607.955566,306.253998
3239.69751,2754.266113,2368.501709,409.101715
13503.19531,1789.051392,5681.988281,812.655762
2927.398926,1014.845947,1083.856323,1053.169067
4359.368164,3139.349609,2956.473877,269.748199
1410.707275,1020.855591,1595.408813,131.528656
1738.215942,1226.001831,867.206848,108.234329
4750.109863,7820.167969,6342.605957,1440.886475
1237.42395,5022.14502,6144.589844,532.530334
672.792725,51.056614,227.207352,76.021965
4894.724609,607.808289,1132.99707,495.920624
108.68956,143.119522,168.85585,71.480286
4686.353516,3259.616211,6298.749512,310.988892
1212.295044,547.823303,540.28363,476.702118
716.792236,585.315796,481.25354,146.050613
2686.097656,3210.294189,1535.838257,2181.716553
8203.397461,2867.571289,5135.805664,1046.30481
340.47879,296.091614,249.482574,28.44772
909.639221,323.855896,499.548737,347.444
3003.72876,1878.309937,1696.581787,217.619659
2455.116943,8766.232422,17631.61328,96.678238
717.459351,705.773254,969.468506,203.118088
1114.92395,4155.684082,4336.937012,478.074005
1966.864746,679.821533,786.40918,981.376343
5990.626953,837.37854,1012.66095,80.331001
405.771851,273.026367,228.533234,143.266464
1109.641357,1965.876465,1462.453735,95.886963
3312.105957,7550.733398,4528.208496,463.496399
1375.818848,3847.100098,1724.191772,481.824615
11048.44531,5413.091309,6600.263184,1854.668335
13953.36133,5641.563965,12582.63867,618.333496
23984.25391,485.174377,2496.672119,415.321747
442.84552,2500.869385,865.313782,280.007141
5983.871582,2940.596924,2499.105713,2703.316406
5782.299316,697.951782,2492.583008,1121.003174
1674.829834,3531.030029,11454.01465,173.577438
1106.154541,813.700134,992.847961,170.026428
3610.811035,407.101929,1607.802368,799.974243
2188.052979,2092.247559,1691.472168,171.708191
11923.81055,1823.339111,5152.202637,1354.589844
5540.4375,5396.094238,3744.349365,1175.509521
843.965088,1058.105713,692.907593,58.242809
1507.637695,822.70813,1017.883545,299.274719
924.868652,1875.386963,542.736511,49.659916
2473.888428,852.214172,912.38562,863.754944
10701.57129,1353.440674,3312.302002,244.701599
6432.728516,721.743408,2394.952881,939.547729
2281.325439,3353.489502,12661.99219,54.912224
75.948013,163.457504,91.625404,121.971481
2055.520752,244.990005,509.4711,1285.974976
4786.354004,3456.374512,2339.965576,1180.205811
341.927124,1307.57251,2657.587158,258.17511
4836.556641,1254.994141,2299.94458,252.872177
