WT,pptase,ST,SpT
157.695007,-11.166547,976.237732,85.068985
66.839996,8.626287,829.575867,34.601021
42.031921,144.668472,3085.115234,127.315872
168.612946,36.121696,291.317963,65.633827
43.256386,33.114281,820.251282,47.818687
176.347351,-64.597855,173.803131,137.192551
120.813614,-6.295786,1751.39209,65.439651
135.3125,-0.420242,7083.098145,253.259048
174.054688,-30.474937,1359.752319,85.970993
200.567078,40.458881,671.669983,56.657726
187.955307,68.986443,2586.874023,49.667614
204.52298,43.89027,21.56041,128.24707
158.573883,41.846596,1234.300171,51.903885
184.427032,116.108978,1407.848389,146.875
156.010849,-77.596283,3940.420898,194.06546
195.820648,35.685387,1664.273682,121.136513
295.391602,109.957726,6843.589844,40.738251
302.097107,-17.151987,1636.96582,48.365688
168.996521,8.494167,1550.355225,184.325897
226.66713,62.327335,1358.987183,123.407631
197.165512,53.01683,2099.938721,47.402241
316.752258,115.308517,3229.726807,9.439688
185.704498,-83.61277,226.771439,66.551994
141.576477,20.406647,2445.527344,64.501144
107.380074,-9.255328,822.373962,117.873352
18.431442,-14.16547,5020.887695,104.677811
308.856781,16.980679,2138.027832,138.395081
172.583557,102.7733,3582.697266,23.150747
73.765625,76.979492,131.788422,49.464249
210.313431,46.495628,2439.251709,184.089066
288.812622,-78.610764,799.591675,69.213737
74.053749,49.962246,431.840363,50.032185
337.484192,37.321804,1731.127808,99.524956
237.988495,52.723347,1535.639648,80.109306
183.432098,148.212112,878.012085,90.674469
117.40036,33.544655,4309.040527,167.354874
115.242325,59.118877,261.628632,65.744095
161.324249,89.796921,1971.950439,56.660454
143.237122,3.632198,2303.705811,58.478355
66.571434,60.773506,306.034271,54.542759
2.766602,121.58345,14581.78418,94.669884
126.774727,49.322411,1027.201904,17.814709
142.07666,-38.555717,615.744934,98.120499
221.37442,-53.721687,12323.04492,483.228119
28.562494,-13.964429,251.554169,133.337189
151.644608,-6.190713,552.974304,98.938248
137.28978,73.452377,773.174011,41.930683
304.097778,55.132961,3082.048828,151.449554
241.624741,34.9338,3780.760986,347.478363
65.241737,125.528343,1643.066772,90.659279
67.827026,99.169029,2357.393311,26.583933
146.009872,90.658134,1433.958862,54.515484
232.152542,-36.745529,491.648376,50.501854
185.854889,20.249428,537.956848,105.544807
307.341858,-14.504244,2697.57373,103.472672
160.649445,16.84458,1079.127319,143.684998
84.567642,-29.378017,433.947327,38.790455
156.993484,110.649651,3205.6521,66.680489
35.432022,107.55986,1668.475708,27.803768
102.063789,43.797962,1688.485474,96.965057
171.755753,-30.090677,923.027649,30.763006
144.621094,110.025246,774.403564,43.63216
43.950378,49.202168,1412.804077,32.562119
363.396606,-53.855507,5650.035645,182.576279
58.799198,161.178055,262.184113,42.015045
99.651543,97.418579,718.902466,63.091942
29.66214,-25.783768,17703.85742,73.961563
348.154327,25.413929,2931.214111,124.354057
35.702057,84.330261,1972.494019,17.655159
47.250175,100.83567,895.835754,24.271347
26.761593,110.61129,448.528503,56.514595
147.619614,170.345642,267.59024,27.37492
26.230423,113.970551,1687.901001,25.709383
195.957611,30.113022,195.325653,32.638184
112.418564,147.866882,776.326111,155.929581
169.496277,166.020508,4565.681641,67.508209
175.634689,44.788498,776.815796,48.590336
217.480713,56.184021,1780.937012,111.668648
200.656464,-45.771694,3875.613037,192.394089
130.135391,-91.872299,1679.262329,82.250626
112.23526,157.431992,2444.557861,81.56546
139.489105,33.771324,515.031677,74.739182
360.315094,-82.127853,1342.5896,161.572952
260.081268,54.519753,615.369446,185.565643
119.250488,72.573601,468.746948,70.209831
54.158142,243.301666,3928.038086,29.081268
135.298401,101.992981,972.509827,146.322159
135.884689,149.46431,1846.794067,95.563866
37.966789,61.510288,201.006973,27.375263
396.56012,34.544224,2045.243774,156.57077
140.642395,30.515491,284.811401,107.578743
29.813751,58.388103,2566.383545,74.201141
26.310242,119.067947,2099.274658,50.373634
239.328568,-57.929314,1869.522339,71.54686
30.816856,-80.968422,1058.911987,77.981773
202.417145,38.849663,1416.495972,60.577785
63.515785,-13.81605,1671.180542,65.117409
198.784348,12.842518,650.882812,96.364304
58.356655,62.857548,659.62146,131.273834
116.382065,107.647835,238.870926,12.793737
129.349579,52.150127,988.657288,40.185333
182.587585,79.857971,788.128418,55.216839
134.259293,119.054756,785.074646,12.756819
160.024048,11.494377,4663.956055,110.924744
55.985054,57.457874,1200.276978,32.13467
95.169243,3.640328,1292.446289,42.568275
260.18811,36.190556,2025.341064,182.691254
102.534195,150.901825,901.716553,86.995995
120.418213,-4.885286,2011.44873,37.291885
170.2677,-0.2576,383.144531,125.131874
107.774185,-1.037353,966.978088,69.896553
97.69841,1.717228,1934.667603,113.244896
144.840988,-110.341934,1411.997314,82.194626
134.786484,-62.67173,585.795288,79.880707
96.295868,-36.869934,3340.401123,38.589169
262.41803,5.618214,1004.32135,114.033875
153.481781,89.398186,90.152443,49.570065
151.64595,50.906784,476.518921,162.958847
108.175293,103.871078,8778.675781,152.030014
85.14357,126.788818,478.753876,52.800327
93.133057,54.238144,2808.925293,102.96302
126.672699,41.572769,308.885132,47.337276
221.333954,50.148464,1009.806213,98.760864
1.642334,12.89752,1140.499023,58.698967
56.614807,9.131714,17238.73633,181.303528
257.172485,50.250725,2352.617188,47.775368
70.699486,237.065872,413.670685,26.626011
204.667755,-20.948486,857.698853,118.279411
103.962677,-91.341232,711.729919,94.10817
49.405151,45.19878,784.947327,16.634687
71.297974,147.073044,336.920746,81.494461
146.63623,50.549652,225.79332,8.216086
43.459969,25.298519,1390.648438,89.888954
35.813065,59.726414,2216.181152,121.567932
63.619537,-109.262474,1127.469727,122.299995
159.287903,-5.215856,812.856995,61.915081
104.79554,-16.165049,652.985779,57.75742
14.191833,135.541061,21919.58789,92.475693
119.348785,17.345751,1733.809692,94.878105
87.941803,148.843689,9540.414062,73.439621
179.757523,80.330498,952.94928,61.471249
55.111061,28.100655,975.574768,113.032219
109.235321,21.52124,500.792816,88.167297
207.283768,30.851845,3846.063477,156.053925
102.348045,175.654938,1129.00415,5.985685
117.185471,-146.073395,3811.100586,101.562256
81.471466,90.356728,2984.80957,80.489334
64.631531,82.581833,1029.239136,125.463509
39.290131,39.521965,806.456177,53.204742
58.633663,11.965578,70.504562,106.333794
27.653168,118.823517,1606.373901,46.776855
163.034348,85.047295,145.240433,46.096668
31.545197,130.849045,1418.821411,67.321671
245.995239,-50.055065,4963.358398,676.188354
141.196259,30.830862,685.653198,92.43557
287.988129,5.105492,1769.984009,85.58551
119.890121,111.242485,3767.874268,59.824097
199.597076,56.019348,2286.49707,13.886281
268.060669,64.450058,1802.723267,179.270889
119.029083,50.599159,2167.375,49.750931
80.27356,167.183807,498.138306,44.936707
81.007584,51.164543,482.132965,42.85429
104.383392,145.076797,448.468536,138.448975
183.427536,234.53302,1999.976318,53.790794
35.613556,42.449383,3484.715576,35.987251
69.571228,58.916061,10990.99023,170.290833
97.25914,26.535418,265.035828,87.509567
229.742233,-18.082851,1257.074341,130.009796
29.34256,207.21199,5225.083008,102.981972
92.260513,5.676619,500.722168,14.136628
98.867065,42.941593,495.118042,31.11665
96.040764,4.964413,2344.327393,40.520317
21.851318,204.624634,6648.757812,111.686218
114.24675,-10.822006,208.298599,41.750267
9.630371,31.973963,2825.006348,68.01461
127.145966,59.316734,3959.079102,82.520073
175.68541,-0.870594,3127.022705,70.385269
254.479889,3.860352,11394.83398,170.732819
138.105347,69.153687,729.948242,33.620987
197.84082,90.440903,495.278625,10.395104
202.332932,97.978012,2788.218994,62.739082
142.313568,-12.786938,595.332031,71.396385
209.487061,9.526411,1422.816284,94.903488
206.569061,111.332741,1175.27832,3.366166
169.565033,-35.436665,4280.302734,329.082428
187.627197,-11.932119,1393.574097,119.397667
132.983887,155.123596,586.847412,92.751457
162.303085,58.53664,1111.868042,114.016663
2.471703,60.674786,1224.445312,37.16375
161.644623,41.214451,1788.895386,59.737778
64.19606,57.649071,2139.298584,117.220963
273.977142,-21.507458,644.716553,50.959457
112.103203,160.206604,315.804932,34.583458
11.448257,65.917236,2310.428711,72.963867
65.013824,24.201237,208.252563,10.677719
210.419495,-30.648205,1224.651855,130.001648
110.001831,-56.969345,7946.447754,156.312469
147.997864,70.931343,140.580505,57.573338
86.73967,171.472397,1984.235474,87.223778
127.018295,-38.949841,4401.665039,87.482483
21.534943,76.586487,4695.964844,112.184875
127.342865,-30.860018,1821.52124,151.788757
282.562164,59.342751,1197.49707,103.033447
110.169853,22.77948,764.080627,82.954704
72.453018,21.66728,1125.717896,89.633995
108.786247,-26.825607,1081.755249,81.584702
139.581207,-50.521622,398.019745,71.076393
69.871605,123.444321,832.031433,31.06345
177.481491,62.093678,831.051147,75.183113
98.03006,13.199081,8291.384766,153.287445
109.653168,-41.840618,4188.462402,167.830521
134.816055,38.935879,377.613983,12.67802
163.531586,71.765976,5404.34082,98.479523
192.971252,20.612995,1099.872681,74.58754
61.001465,178.074982,6419.239746,25.587383
170.542282,-19.013039,165.864105,83.0411
110.567535,77.185997,383.987152,107.759117
204.334564,48.765038,323.954346,18.143484
54.565285,-4.91479,949.101562,86.865601
31.838989,-27.422287,17071.01758,264.344757
143.073227,-14.29644,4821.199707,132.875519
143.576492,1.043656,407.563385,58.810574
92.059647,-21.453402,1205.508057,139.141052
213.643829,94.895348,5022.983887,144.641815
297.485016,11.927472,1271.715088,121.977699
165.625488,118.338074,761.286682,73.725189
22.187363,105.934998,3240.687256,146.201355
152.233063,62.839272,1892.575928,51.212097
68.252289,-76.817642,4573.683105,102.228012
113.991669,17.558971,638.086853,79.375748
234.00885,151.878387,1083.907104,36.672768
165.253983,79.024796,695.901733,172.957504
215.702271,29.900482,1145.662598,50.742413
229.656616,41.510139,673.609558,138.294144
82.112663,95.264862,980.121887,27.408085
129.660736,-26.242689,164.956116,75.761116
28.088623,-7.541008,7341.501465,29.118576
97.974503,69.570267,4546.140137,51.639111
25.838745,134.439102,2245.019531,38.215706
251.172104,63.58786,2238.399658,78.667145
351.122192,100.536865,5534.32666,84.84343
142.445938,63.66114,360.193024,90.777382
75.017059,130.021011,1029.710083,5.630016
144.20639,17.211449,3044.175293,59.332809
124.004852,43.061874,2714.18042,108.503075
619.998535,135.94809,2659.437988,63.133743
217.756287,155.25618,2521.095703,45.987511
177.403229,121.572052,289.850372,57.86573
48.233566,59.228321,793.352722,67.293266
93.63578,86.807022,1748.071289,135.456894
257.060394,56.438133,1356.764526,196.029007
93.624321,9.353209,132.847519,68.712784
98.533234,57.900284,10445.52246,127.837288
122.769592,16.775032,1100.621094,60.469982
248.677841,126.205643,2106.636719,100.498032
207.769165,57.202057,10191.0293,189.2453
83.073883,39.049568,533.33783,79.686417
143.578156,90.584618,9875.063477,166.244598
104.139633,14.49958,424.43103,60.343636
71.630814,31.804211,828.355713,125.336784
141.117462,142.369705,881.872192,35.735474
95.439102,5.390965,4337.39209,134.039688
203.570099,-45.526016,5429.125,59.32798
