WT1,SpT2,pptase,ST2,ST1,SpT1
3278.221436,800.439087,699.100159,1943.654297,1090.977905,3026.246338
1267.591797,82.346283,282.092529,1173.420776,339.494904,400.253174
1409.575806,572.112488,574.023438,1351.982788,1468.573242,3208.817139
6370.846191,9231.325195,2514.995605,8088.080566,5858.102539,22498.30078
898.85614,1145.375854,4000.517334,3191.342773,1421.858643,619.906555
3436.467041,1714.045654,503.8797,3458.830566,2510.622314,6545.925781
512.201355,50.211197,389.488434,677.807617,392.668243,776.278381
3801.273438,1116.97998,4421.074707,4850.863281,4328.692871,2323.322754
384.066284,653.849426,422.149353,1170.838745,799.644348,1635.448975
442.33429,948.392944,1293.452637,1123.897339,1178.930542,767.373718
4085.208984,658.963013,2055.445557,3636.078369,1014.044495,1103.064697
2269.111816,78.500267,155.527374,893.188904,183.432907,307.993317
3860.872803,414.394684,890.887512,1683.588379,505.473175,1338.481079
5255.918457,4549.031738,5895.260742,5603.038086,2724.059326,9108.629883
9691.146484,3476.423828,1172.691406,5585.136719,2654.83252,6588.765137
1495.393921,776.924377,968.598267,1611.696533,1976.429321,3021.46875
503.477844,275.826294,423.648102,3453.453125,861.51123,720.587036
612.870972,1122.836548,145.524872,1103.297119,1462.890869,2783.467529
657.328125,654.387512,95.757515,973.55426,599.419983,1876.216553
12217.55957,8024.229004,881.249146,8806.166016,9521.232422,35795.33594
956.432007,324.094238,1353.370728,1147.049316,1700.655273,1832.29248
4035.340332,3008.003906,270.070374,3970.646484,1507.863037,4871.8125
532.551758,248.478653,1193.257202,885.376343,954.392822,367.106445
1465.325073,8.384645,14.603157,586.213684,167.991623,1078.182373
605.337341,2287.902588,1446.569336,2887.161133,1504.073975,2583.757324
5508.456543,343.61969,2646.891113,3966.800293,2766.531738,3283.862061
1097.274536,13.9136,1065.450195,1134.034058,1324.810913,2216.325928
1116.182617,198.428696,642.408569,1136.734253,982.696899,875.403931
5615.55127,6770.434082,1315.327393,7590.219727,5613.688477,11164.85742
3898.110596,1882.932373,278.842499,3971.398682,2830.150146,7649.308105
393.074646,403.75061,1047.869019,1639.330078,424.744049,397.977753
4036.519043,3280.951904,93.604111,3690.814453,1890.542969,10881.99121
665.991394,64.115356,5.274005,727.380005,161.353867,934.492126
791.267334,505.531464,347.279785,453.843445,234.228622,722.402344
733.820312,940.574585,393.211853,2951.769775,696.036072,496.096649
440.003174,172.906052,491.183075,386.165894,208.517319,286.007202
877.872803,523.041199,425.991394,974.623047,1374.274292,3373.531006
112.395096,417.885284,975.360901,1061.651855,990.517334,577.28064
793.949829,1036.515991,1382.970947,2074.198486,1044.214966,1026.839844
291.239227,187.091476,95.947578,549.688965,61.011028,14.593226
5428.953613,1248.196899,370.590485,2239.251465,688.299683,4833.120117
6158.077148,2226.552246,1135.177246,5610.181152,3519.364014,7266.804688
22853.25195,8958.488281,77.174423,11665.18652,1789.043701,21093.84766
265.241241,91.411003,187.893127,342.395752,48.466343,482.900757
2324.343018,2020.269409,2089.941162,4908.94873,1903.201782,4925.814453
1982.979492,4048.775635,2494.592285,4435.043945,3196.86499,9424.314453
608.897949,516.190063,517.647766,2127.491211,692.12146,473.799164
4025.919434,709.180969,1671.528442,2249.400391,1223.965698,2782.831299
1092.32312,142.163071,396.065796,1497.260376,1017.529663,2709.163574
