WT1,SpT2,pptase,ST2,ST1,SpT1
70.600533,33.044006,229.31546,400.303772,477.410187,280.307678
1088.488647,2069.539307,3039.686523,4422.916016,3684.517822,4661.24707
1557.037476,176.838074,1056.394897,7096.420898,875.895142,1142.501587
129.74147,81.451439,514.585266,927.443115,527.639587,252.22464
391.762268,1346.378052,857.747559,3353.149902,1620.615479,1043.13147
115.892517,26.836927,55.263203,332.100647,64.689781,128.293961
37.457298,40.224621,197.059586,521.079956,339.253326,158.713211
90.242157,1272.384399,860.979675,13016.26465,1693.416138,1588.106079
442.190796,1055.979614,805.508911,2207.092041,848.263733,866.461182
135.214294,233.459061,1371.424805,2252.888672,1883.290283,737.833191
314.335327,150.797653,44.722366,2923.848389,44.460938,166.28952
17.049103,52.671619,320.174713,210.801422,554.622437,657.743774
1.385284,1849.75061,495.412445,12329.71094,535.683167,768.419128
20.103855,8.02849,190.386246,78.389069,24.691744,84.501305
23.849043,23.524096,90.741608,1101.948853,230.231339,143.517685
3658.041748,4846.978027,567.296631,22301.48047,843.399414,1161.665771
6.831884,138.127457,109.439392,1191.357178,237.192642,169.696548
111.85215,51.331882,117.808411,1305.618164,154.057755,128.433945
106.975655,10.283833,27.279062,115.093475,21.28112,82.753807
35.145443,64.825661,334.266144,1644.213867,569.315186,351.784729
133.835876,82.424927,315.239563,1387.365845,414.514343,312.58493
4.805599,23.5868,78.180412,572.332458,31.967602,76.232796
254.537079,4344.32666,1047.512451,3742.881348,2236.356689,1908.509888
64.167244,234.627823,817.123352,471.758087,536.373291,372.819794
333.91095,161.775528,289.166016,3401.944336,317.033264,275.294342
346.3349,196.132568,391.408234,3278.637207,896.771667,951.558228
934.012451,5562.121094,246.802292,9635.314453,841.547974,1689.661499
105.788712,790.934753,401.473145,4032.654297,809.698364,554.455017
132.482529,278.595306,572.88916,2934.279297,675.934021,661.769653
93.346405,3640.865967,2471.745361,6211.51123,4108.897949,3718.449219
24.748491,19.491953,620.827637,545.928589,820.127258,785.720093
280.964417,53.493404,182.159164,3947.343262,149.54509,340.472168
49.68177,292.380676,266.965576,1842.251587,417.650726,141.109985
6.492659,41.794182,978.877014,715.702148,1331.910522,692.331909
29.776779,66.856483,341.725311,1736.831299,741.075989,226.386124
9.959938,3675.312012,1230.821411,3519.020996,2487.086182,2289.886963
3.469695,227.980225,57.792145,574.047974,170.564026,249.710739
2245.353271,12452.57324,1986.719971,34590.01172,2965.642334,4034.193604
1614.099609,6000.04541,1834.14856,12994.99316,6276.523926,3979.876953
43.661964,84.270645,129.617371,980.852112,260.793518,188.435593
200.130905,285.944641,277.641632,1386.904175,551.32489,596.300842
19.105858,55.298512,112.693962,62.694233,4.710817,92.578781
433.643158,300.076202,345.287506,6968.391113,387.728973,361.803467
18.950138,19.764822,51.334713,209.821625,124.823753,19.825211
97.703629,28.663248,139.914093,630.230164,114.862709,184.237473
190.555191,7.72924,150.92128,955.617493,74.5625,122.32
101.37114,52.529419,128.441742,789.184998,198.061081,223.197433
54.788803,221.37561,209.467133,1099.185791,299.543854,524.078552
95.387573,47.490929,96.721191,388.857208,89.937691,195.78157
205.196472,236.517014,265.798981,3749.66626,1255.280762,405.456146
29.12043,221.065033,395.819183,1984.622681,594.805237,515.444397
137.651535,90.338341,408.219269,1303.142578,888.880371,577.552795
269.251038,3173.978027,614.553955,14376.23047,1988.489258,2777.214355
65.345055,337.498444,259.5672,1440.688721,385.731171,344.65451
23.148422,78.783302,134.593445,878.678345,87.652367,130.221939
108.199524,101.798973,163.802963,1229.456421,249.103271,161.615967
546.699463,4719.478027,3028.52124,9301.56543,3548.282227,3400.115234
74.294319,89.88102,176.341232,433.27417,74.261253,132.642349
11.684698,4.444619,497.985687,870.376404,774.275391,274.318939
134.532135,4359.842285,928.661133,5342.389648,4283.901367,5102.680176
35.760513,889.041443,824.492554,7465.467773,1587.713623,1071.803711
78.455147,33.034683,104.371422,546.216187,78.616951,154.012955
23.718912,291.048553,164.626328,3177.252686,210.976852,206.619904
132.233353,117.719032,272.600616,1234.743408,724.780457,172.130157
160.022186,249.878067,671.338623,5312.174316,728.14093,590.030457
31.369965,118.480583,1258.128662,862.065308,1866.023315,1816.668701
19.086002,430.329773,330.510071,2360.07666,824.274719,934.706665
31.266783,223.113846,177.993744,1892.224487,399.266327,227.83429
665.589111,3625.197266,2481.018799,7289.03125,5018.99707,2720.237793
6.383282,171.582352,991.797119,1417.488892,1138.263306,1024.601562
258.163696,993.656067,814.04718,2309.617432,990.256042,1186.184937
52.213264,1390.958618,3292.999023,1806.810669,2907.253906,2556.915283
246.822571,418.201843,954.92511,1337.874023,1802.157227,1817.014282
73.814713,68.73307,103.971588,1643.586792,309.46463,99.395638
408.824951,171.038208,564.715271,5376.902832,577.985657,587.956726
33.842716,245.591461,381.154541,193.943451,510.998688,874.961853
382.110077,793.116577,334.832611,2310.057129,593.880188,382.287964
9.503893,11.28297,259.105103,420.034637,117.607643,69.779594
401.54245,2506.263916,1183.324707,5823.512207,2686.183105,1620.411255
83.335167,134.10701,126.005562,902.242676,133.858871,128.455658
93.755173,11.857158,344.363525,834.137207,390.451324,127.221008
90.553162,12.590587,322.040588,449.964539,492.942047,245.773636
78.255379,5.169331,81.863388,1053.020508,93.759628,33.540077
79.908142,148.222946,347.06485,372.664734,158.935257,298.532806
25.814907,129.792053,224.416428,1149.363892,405.855255,360.860413
103.530212,268.030731,273.7854,1643.85791,587.103577,481.584015
10.52861,172.593735,652.304871,2070.561523,632.033936,796.677063
159.805206,451.730408,643.827881,579.441528,959.382629,1169.450317
28.533047,42.513035,122.054039,138.455093,187.272186,227.378876
10.503838,200.307632,169.204834,4085.443359,465.485382,247.223953
37.40987,115.778122,1526.126221,1802.286255,2117.764893,1302.466309
79.52639,1107.795654,308.753937,1719.24585,645.963379,551.213196
78.056595,87.92997,1091.193726,717.304138,1286.58667,752.214783
71.560928,114.841393,268.484497,156.846405,303.216583,177.45166
