ST1,GFP
693.959534,63227.31641
1102.547119,27049.43945
1001.401123,16228.65039
362.223816,27241.90625
1359.319946,15169.2168
230.644577,10121.8877
1853.814331,78480.04688
766.22522,13184.47266
501.091492,20996.04492
375.132324,60249.48438
985.787415,60247.85547
48.35202,12608.98535
291.855072,11431.07715
840.847778,85391.1875
1116.647339,15024.67578
969.381714,24753.15625
302.128448,59976.69531
816.261597,37854.27344
3048.803467,79074.5
796.665405,18317.6875
3899.940674,36209.80859
557.574524,4957.472656
2445.873779,53069.04688
390.325623,131584.7813
1448.252686,26321.375
4284.908691,94079.32031
657.80365,14177.75391
238.139099,20748
296.600037,80456.27344
1375.309937,24066.44336
289.44809,17614.32227
419.061279,4771.25293
535.253845,166290.4375
4189.974609,264682.4063
166.626007,10853.15918
429.967896,22676.75
547.605469,188088.3125
114.813583,2918.369873
735.062927,117290.4297
3662.441895,156288.8594
202.430511,25386.24609
580.458923,15541.58496
3643.624512,48931.92969
243.794067,42582.87891
234.60231,10840.55762
1839.552124,132158.9063
1078.175415,24383.91992
9110.47168,163133.7969
664.580566,20969.66797
819.930237,10305.03711
548.147461,19182.4082
102.014442,9014.113281
427.997009,21190.41797
229.643768,243705.2188
2961.203857,51248.02734
668.593445,22328.24219
1674.402466,27590.59961
3410.932617,348715.75
389.438568,31598.70898
368.93512,5120.719727
694.814026,17718.90625
185.017456,20046.54102
5047.174805,85778.01563
943.465881,50511.73438
889.219543,65288.58984
4426.709473,143043.6563
4623.103027,44720.28516
368.204895,9726.448242
730.322144,33807.21484
176.656708,117926.1563
81.675545,2381.214111
1065.360107,23191.79102
1045.69043,13078.09863
518.021606,6869.063965
2405.270752,47288.01172
981.362854,21146.75195
520.386169,303893.5
653.300476,21291.6543
2140.494873,152756.375
397.225494,27021.99805
727.653198,20846.25586
298.155975,39237.99219
759.971802,7499.332031
360.72821,10715.08496
1552.067139,89319.77344
442.988159,20607.19531
1792.004272,75282.46094
2829.08667,70240.79688
366.968628,5709.214355
1443.544189,20263.99023
1847.564819,42669.05078
632.777893,13313.83789
987.041321,23754.84961
364.136108,90654.47656
342.923462,23023.03711
737.500732,18700.64453
2669.403809,67796.80469
1334.375,59064.98828
331.380646,103253.4219
706.070007,15544.1543
707.165771,56185.49609
5062.927734,330279.7188
1267.294312,58536.59766
2747.108398,68569.0625
3786.865723,42168.79688
1127.458008,21298.47461
532.075073,13609.21484
1184.310669,16539.84961
465.611206,8850.749023
203.996704,3539.776855
7327.209961,241960
499.447083,9224.02832
396.98584,79744.75
2457.374268,74274.52344
402.855682,24006.3457
3109.695312,44217.71875
450.151917,113230.2734
1167.690674,44174.61719
1365.436401,49448.11719
44.329681,1819.700928
1386.13501,149953.0625
1271.28418,51606.73828
2179.123291,31801.4668
419.221802,12190.89746
1256.693848,79918.10938
8003.111816,147277.4844
730.376465,79770.78125
448.50943,20712.34961
4864.229004,276339.7813
260.761444,112799.3984
1796.068115,122846.5781
1163.446533,54599.40234
1338.452515,18656.69727
1534.589966,46459.32422
2824.633789,173832.3594
10198.05273,95947
7772.82666,160892.8281
79.531891,5522.25293
1235.681763,63010.53516
324.759003,46642.97266
1388.92627,24502.08789
3228.818848,104228.3594
2449.954102,107179.0703
2175.099121,150145.5938
1690.79541,142655.125
1384.722168,100897.7109
155.104752,11207.07617
1096.661987,13716.45508
569.12616,25473.39063
286.004425,49041.36328
2563.25293,31310.44141
129.102417,37621.78516
1124.558228,27285.29492
10.536119,41335.95313
171.380798,6126.969727
738.054382,19234.61523
2972.818848,38229.89063
588.213806,54419.25
194.975998,11775.43164
1199.628052,30705.92578
537.367065,33486.1875
554.690491,36051.55469
722.665222,87996.07031
6049.868164,170229.2188
352.634888,40239.83203
1991.110718,88320.16406
1268.878906,15272.80762
1063.946167,32516.10742
809.050598,27459.68555
909.70813,44439.89844
6120.724609,82986.32813
335.4776,33177.64453
4353.666016,199000.4844
1815.196899,41564.33594
2563.806885,85554.11719
1988.695435,73627.21875
1374.862549,124406.4531
6171.380859,76575.00781
249.711029,17608.07422
1570.41272,30382.75
37.592007,3748.895996
4422.01416,51977.98828
868.034485,29996.67383
263.235931,49183.23438
1609.471802,33532.65625
1901.651611,64489.96484
695.937073,33118.92969
823.667297,13872.64063
273.596802,8721.763672
1568.677734,97764.875
7735.030762,124918.6797
1343.175659,42211.9375
5936.378418,143331.5469
46.497913,2553.629883
153.859268,2802.075928
190.555939,66312.00781
1605.022339,22052.36719
1030.912109,30025.75977
4563.978027,94210.5625
3065.848389,38582.46094
252.43425,27142.6875
4725.010742,54223.21875
2916.071289,90934.02344
1661.25293,47644.27734
502.440308,7538.129883
9815.246094,119830.8672
373.763611,13077.92481
1373.292358,45322.41016
3615.31958,176470.3281
666.62915,170583.625
2650.609619,59433.33594
1398.59021,26287.29102
1293.297974,25055.25977
444.72229,20748.65039
11478.88867,539203.0625
133.940826,38293.96094
720.822754,11834.52246
761.707886,38690.81641
1797.193237,34908.98828
895.623291,64495.20703
645.832947,77507.09375
2757.751709,154846.1094
444.146759,17280.5918
218.65799,6138.16748
809.657898,28246.60547
2068.624756,29511.53125
2083.848145,182533.9375
4506.05957,163333.5469
325.92749,4615.643555
332.529388,140871.0938
1059.187134,49795.32031
255.268677,4836.722656
2288.56543,23723.23828
190.656281,3259.664551
209.811234,3762.17627
1488.641846,29584.79688
584.507019,8031.279297
264.363861,20074.57031
407.913055,38796.57031
357.09314,10401.49512
206.426117,41448.22266
465.445251,4785.912598
309.036652,31231.88281
587.158203,19690.28125
3069.480713,56705.29297
672.994507,8671.421875
598.398987,31285.18164
3052.6604,256964.7188
1542.229858,64648.82813
408.173676,13832.66504
2937.978516,85129.96875
2674.140137,52899.55859
4437.612305,276752.5625
3353.171875,108846.3828
621.885925,9155.640625
935.16687,24083.39648
246.531311,2769.317871
5166.541504,166518.6406
605.927856,6451.939941
1048.371948,32571.13477
250.372665,12928.35254
1083.956665,15448.75977
384.580383,6912.03125
856.762695,15403.41406
464.238129,42343.90234
621.114258,70072.59375
517.172485,7287.869141
999.573242,90169.21875
1199.005005,19625.20313
8807.708984,159005.3594
2123.67627,122963.2813
222.933517,18717.79102
2266.343994,21929.07422
243.411041,7355.519043
938.700989,184581.4375
2754.595215,141223.625
326.701996,14411.26758
336.285187,8788.548828
255.690659,8042.416504
2268.314453,222841.4844
250.248428,4174.22168
4997.762695,73973.94531
5473.004883,76196.67188
1051.852539,8583.881836
1122.180298,32567.37891
179.757111,59653.65234
1428.161011,21241.1875
8203.883789,165512.6563
379.668732,8036.967285
739.374817,119532.3594
2918.725098,57546.0625
1984.498291,194350.5938
2277.419434,19795.41602
500.953949,159352.4531
325.53598,106237.7422
574.313599,26532.89258
552.014709,19920.98242
402.30249,58523.40625
2971.039062,85085.08594
12634.3418,250987.8906
