ST1,GFP
21.026224,46.604797
68.581108,22.418213
25.712442,63.020874
60.713181,107.577515
95.482872,12.458862
10.318961,17.553955
1.761268,66.330322
21.20577,179.601074
7.574953,68.363525
28.538147,21.263672
89.823509,13.939697
35.20525,18.409668
38.404171,5.942383
139.015213,19.560059
127.385498,192.173584
101.019005,34.853027
33.311893,28.258301
155.081238,43.439453
11.55129,37.330566
89.22139,28.373657
50.682133,36.280579
35.324535,25.493225
108.913887,97.784302
33.839527,112.348145
96.307426,123.032227
81.313622,51.781311
53.392082,41.482178
27.859888,98.32373
93.478218,49.594238
15.329764,53.060303
101.378044,37.945007
47.752838,172.919922
58.066921,35.624023
123.326897,60.028198
54.137074,1.821777
27.746609,40.148438
5.363782,57.988647
114.749817,124.669922
29.819752,75.020996
38.482178,2.677124
8.111703,184.810547
50.563061,66.681885
37.814926,84.165527
130.785522,19.808289
87.524544,126.044678
15.132724,32.227783
142.148682,230.32666
16.137758,71.858887
6.092597,220.146484
133.531967,114.594727
101.814369,51.177185
8.72175,188.608887
50.903381,120.263916
75.435562,133.875732
62.858196,25.025696
19.099342,8.661865
84.512131,139.999023
75.546875,64.717651
54.930817,12.468506
59.930508,98.84375
30.240891,2.233643
16.80374,56.182007
46.860687,222.180176
59.379028,23.054077
60.135609,77.031494
7.598632,84.443848
179.322357,39.166992
35.999687,8.845703
88.876183,40.943359
39.411102,56.688721
29.306593,73.624146
11.302187,17.709229
62.677673,46.471802
37.151188,69.710449
116.109291,261.181396
60.608051,17.502075
22.25584,19.162354
53.337048,68.598877
23.65678,20.735229
31.967556,34.075928
29.006311,38.067566
4.275969,11.405273
29.862585,110.449097
121.197464,48.608154
103.14962,75.6521
71.748512,93.80603
91.978928,151.200684
95.541084,49.858154
29.851854,69.165649
2.546496,6.105713
40.189941,54.225952
62.417816,125.197021
53.434036,37.864624
11.270737,40.173584
27.820967,88.306274
36.584831,120.966309
4.23736,130.051147
250.65155,107.102051
55.540039,67.180176
47.487221,29.134277
88.770844,108.847412
2.97263,73.982605
32.688408,55.578125
37.955608,29.632812
16.966784,40.738281
32.228638,49.800659
13.401713,44.897217
154.571533,91.61499
61.286289,75.417847
136.909622,21.781006
49.649967,18.079346
8.902377,42.803223
90.694771,29.616089
113.82003,105.1875
72.569786,16.094604
23.437073,32.292603
58.765862,12.07959
30.11809,70.00647
54.993431,131.844238
204.191559,74.162109
22.250618,46.84375
84.41153,10.699707
17.416594,22.549316
63.26955,86.044678
55.476891,117.226562
53.693604,6.498779
125.358002,37.806885
29.070564,158.254761
74.673767,84.871582
83.454193,39.641846
159.736298,28.937439
42.771797,29.190186
6.382816,16.943481
17.212027,33.330566
82.106895,84.932007
98.648689,16.620361
82.049736,294.664062
162.02298,67.101807
51.369511,35.534668
7.975146,130.070557
32.515068,56.388794
84.631271,77.410645
73.457802,47.489319
30.260521,85.89209
15.233506,64.495361
102.653343,10.07251
10.749763,106.098145
136.837708,23.25
125.753448,29.16272
28.091076,87.658569
30.892996,117.734619
43.695202,116.84021
14.436775,146.53125
53.017612,20.487305
64.994034,2.010803
36.445316,32.786621
38.497734,160.255371
28.895481,84.010742
140.003525,87.516113
94.4244,45.300537
34.919041,88.281311
64.990677,105.701172
39.19276,11.669678
20.100803,5.86731
56.186924,56.814453
37.580238,24.477112
5.039977,5.508911
87.980179,223.93457
16.83172,77.199829
92.261475,17.632202
46.072319,22.441956
4.610833,40.516357
5.77778,25.794434
4.347844,15.074951
54.289352,171.913574
44.422966,190.732788
88.910545,132.939941
49.026993,118.788574
97.689964,65.333984
3.436013,30.74231
63.177502,132.147949
4.765678,42.646118
60.933498,13.047607
94.421471,54.129395
16.956814,82.739868
95.76754,89.286499
130.53598,25.77063
164.865555,63.729248
50.374985,190.944336
31.399323,123.182129
47.774273,52.035889
10.637509,62.906433
49.365463,47.670898
69.964264,59.925781
24.255707,8.456421
42.034203,8.654053
108.267242,87.460938
35.9855,34.883057
52.093536,59.773926
45.595551,69.186951
75.289444,100.664062
109.134033,102.699219
8.882451,180.516846
9.402557,30.404053
24.46949,80.14032
70.566605,54.461914
36.712311,36.215088
114.098305,89.523193
120.660789,24.818604
98.293381,114.510742
12.822581,52.52002
138.8284,29.235107
97.308456,25.903687
152.50528,25.674316
40.212296,18.986328
27.243027,51.050293
38.033649,14.734375
35.713024,64.747192
53.61237,108.863281
15.021693,96.681641
109.119232,188.604004
15.390614,34.764893
108.843384,32.194214
27.647078,70.953125
21.158831,167.22876
215.797089,71.634277
31.703024,5.745728
117.956459,22.718994
33.259468,49.045776
62.687309,125.270996
99.976227,35.672607
64.677879,40.105469
29.750023,45.275818
59.68446,107.433594
42.724884,13.947754
17.445826,74.66333
91.241127,72.746094
36.255394,47.166016
67.104279,3.719849
47.33786,25.149414
28.358067,63.731445
34.427525,29.660156
13.195205,103.244629
22.136766,74.0354
47.892792,22.045776
111.289391,35.338867
64.731133,44.776123
64.207108,70.621582
83.197998,53.720947
18.366148,20.899658
3.195941,55.869629
43.234211,115.513916
17.568481,44.539551
57.050819,31.224854
3.12204,107.001953
64.091087,16.032593
26.337975,2.483398
68.172523,31.996643
9.539734,60.02832
33.582993,63.330078
