ST1,GFP,SpT1
2001.337402,15004.02148,2035.86853
786.066101,16605.56055,459.731995
1376.453857,22402.88281,866.529968
2446.014893,124869.7891,4545.464844
1514.029907,31142.11133,3841.404297
1455.491821,119720.6563,3888.515137
734.787476,4716.510742,209.722534
1918.307129,51024.32813,4918.546387
1599.80249,86631,2722.114014
359.632568,3995.789551,335.709961
1678.341919,23528.32031,4263.974121
722.496643,29333.91016,330.58313
1163.459717,15289.65723,798.915222
50.284771,1298.302612,103.322449
4539.018066,61308.46094,12361.16699
2190.888672,21668.91016,1391.675293
1212.688232,56072.17969,290.523315
117.455933,1440.41272,100.768562
3943.898438,70868.23438,298.239319
603.28363,32451.29297,350.309509
3499.77832,84378.58594,2460.727539
4646.503906,113422.7891,10482.14844
565.731628,26153.44336,1453.925659
367.117462,37069.73047,19.775635
514.266663,6129.171387,711.902222
1072.407471,184664.7813,3054.376221
260.71936,3505.164062,407.768066
1109.391724,24194.70117,1895.481079
360.087402,629.528015,121.890968
2521.340576,229063.7969,2844.868408
1131.978271,58757.82813,1673.59082
111.428009,239924.0938,2284.503906
686.027405,39837.68359,545.667297
2361.780762,57798.93359,2685.416016
3246.709961,46210.55469,1204.166626
744.12738,27692.22656,856.227356
657.378601,3936.829102,606.172119
1445.343018,14058.11035,773.681519
1078.454346,33682.60938,3590.970703
3584.524414,70917.70313,5016.674316
3721.750488,36604.91406,5288.570312
2223.626221,20281.01953,1894.742676
1500.827759,16313.28711,583.077759
1273.61792,127938.3984,3542.115967
3044.540771,27756.81641,4440.446289
5536.012695,346350.5,8135.774414
1844.432495,36500.85156,4621.932617
622.996033,9310.875,324.791901
570.808044,72305.10156,979.007202
1933.875122,351592.9063,7778.092773
3041.251709,47585.60547,1934.290649
4704.763672,133510.4375,4045.982422
771.342041,12424.07813,1698.386719
1162.588989,307620.5313,7394.20752
2860.45874,106840.4609,1691.352539
3789.964844,68317.77344,7050.383301
6766.646484,65813.02344,7756.278809
969.893005,14103.9541,1446.869385
702.156616,25388.9082,507.521912
527.71936,10589.71289,446.377502
4804.328125,115538.0781,2647.4021
473.414642,304200.1875,5080.746094
1623.15918,106211.7188,2190.052246
2145.822266,19270.1875,625.348755
40.739655,1036.101929,100.813187
702.802246,42517.08594,467.598053
3302.080078,49949.88281,1148.419189
5157.045898,90523.94531,3607.729004
924.508606,24679.69531,1679.493042
5089.804199,42288.15234,11462.25391
3161.320557,158924.3594,1789.388916
556.447449,133076.7344,1526.158813
287.857391,5268.934082,217.919861
1552.383423,105533.5469,481.039276
1032.772461,185749.7031,2122.272217
2662.479248,217204.2813,5984.812012
1628.517578,381735.8125,6440.013184
601.102295,13555.08106,572.11499
2001.082031,227935.6875,7206.722168
227.961975,13026.40723,223.505356
1988.552979,20496.50391,3833.134277
1618.526733,28634.73047,258.808105
528.891357,7541.310059,601.660828
587.888245,10374.39844,1053.686523
632.376282,50611.41016,1191.182983
353.966248,261796.8438,77.578842
5649.927734,60915.32813,7350.952637
114.166283,3367.410645,110.11673
3415.619873,54725.15234,2869.171631
7931.674316,136515.6563,4820.076172
831.653564,120150.2031,1408.967163
1005.334167,16432.48828,795.055176
1039.313599,311582.4688,5680.38916
111.059402,6494.537109,147.328979
227.525574,5059.43457,69.47081
2956.06543,49542.07422,1202.295898
1825.765137,51567.56641,1981.623413
880.953491,26023.75781,624.517456
1094.047485,70753.3125,829.140869
92.539993,57794.23047,1241.767578
74.895966,1023.577026,73.07724
2273.249268,122627.8125,3700.664795
652.565674,11757.77441,1158.531982
6132.571289,71398.46875,19855.61523
715.58197,21892.09766,1070.97876
