ST1,GFP,SpT1
-0.654519,6.8125,60.728333
60.713181,107.577515,92.194763
95.482872,12.458862,9.703728
21.20577,179.601074,10.017456
28.538147,21.263672,75.429779
89.823509,13.939697,49.039032
35.20525,18.409668,49.065613
-43.839355,48.142212,36.781036
127.385498,192.173584,46.562866
155.081238,43.439453,40.158203
11.55129,37.330566,63.954224
89.22139,28.373657,33.242065
50.682133,36.280579,22.564957
35.324535,25.493225,77.764397
108.913887,97.784302,12.3759
33.839527,112.348145,21.953857
96.307426,123.032227,60.736511
53.392082,41.482178,6.469757
27.859888,98.32373,52.530151
15.329764,53.060303,69.679245
-12.901854,67.370605,24.153107
-74.260628,39.403198,5.780777
-53.687588,43.785217,28.785774
47.752838,172.919922,12.834167
58.066921,35.624023,149.652405
-17.878286,102.64325,87.803963
27.746609,40.148438,81.49678
-27.769197,41.515625,96.11702
50.563061,66.681885,36.549637
37.814926,84.165527,25.774567
-4.738589,50.724731,32.203552
130.785522,19.808289,15.411766
-8.762284,16.325562,9.799423
87.524544,126.044678,56.306442
15.132724,32.227783,61.774384
16.137758,71.858887,71.048965
6.092597,220.146484,16.593933
101.814369,51.177185,39.984039
-13.808281,138.920654,25.496857
-29.713638,92.297119,34.619629
50.903381,120.263916,55.642273
75.435562,133.875732,79.153183
62.858196,25.025696,28.688042
-26.87295,7.266479,13.575256
-11.468722,135.712891,119.488831
19.099342,8.661865,87.06369
84.512131,139.999023,1.516968
-83.434044,54.260254,38.575531
-74.798416,37.521729,49.930191
75.546875,64.717651,66.093033
54.930817,12.468506,24.529236
16.80374,56.182007,34.613831
46.860687,222.180176,42.448853
59.379028,23.054077,97.460358
60.135609,77.031494,77.291321
-17.809166,44.200439,57.63179
-0.684487,64.371826,9.19722
7.598632,84.443848,140.788544
179.322357,39.166992,97.106323
35.999687,8.845703,91.6203
88.876183,40.943359,22.327515
39.411102,56.688721,58.342072
-39.261036,61.057251,72.883904
-10.011595,26.702637,123.879456
-60.027847,51.182617,107.444122
11.302187,17.709229,77.920013
62.677673,46.471802,98.078552
-25.879095,96.588135,108.639343
-53.472157,36.197754,38.93354
37.151188,69.710449,87.354675
-36.914608,53.567017,33.252121
116.109291,261.181396,175.005188
-22.12035,64.142944,73.615562
22.25584,19.162354,30.907372
-72.540222,51.97583,37.717758
-46.146614,6.539673,154.15329
23.65678,20.735229,37.655228
31.967556,34.075928,34.741905
