SpT2,ST1,mCherry
996.678894,603.453308,2144.153076
5259.625977,5504.822266,30571.08789
2703.971924,1905.718018,4119.768555
2161.277832,1028.024048,2901.138184
2146.859131,3113.791504,6214.105469
3240.315674,1828.070557,9395.383789
414.401184,185.785172,891.310547
3951.268066,694.625793,2899.593994
4049.918945,6877.814941,18434.97656
4435.329102,1191.715454,15102.3291
771.401428,41.657936,310.6427
3495.275391,1805.906494,8966.925781
18173.86523,6073.062988,13119.4082
19798.89258,15230.30371,27047.19336
11048.96875,3636.061768,14841.5127
2542.2771,3669.908691,14912.45215
13077.16113,8645.952148,32711.8125
4181.436035,3612.404297,25625.00586
2497.649658,2478.939453,8832.867188
6593.694824,1394.540894,2605.744141
13918.75977,1807.370728,5179.370605
5111.754883,1994.057983,6570.129883
12888.41211,5518.083984,9919.266602
7223.23291,2435.856689,11570.58106
6439.919922,2797.730713,8737.579102
1973.170776,179.261017,4211.102539
10418.40039,5413.741211,30608.51172
1245.790405,262.854858,549.15271
543.554871,330.823273,303.787994
7433.139648,2818.494141,14176.67383
1434.691772,58.815239,433.59317
2652.443115,686.931335,10082.30469
2041.412354,2531.408691,9257.320312
739.161194,327.373596,2197.271973
15122.04004,7190.29541,29573.9707
4253.452148,2280.06543,27664.84375
8936.368164,3269.915283,7599.530273
8176.145508,9464.527344,29782.36328
1797.573364,1792.920044,6673.555176
3063.125244,4867.290527,7865.449707
6865.949219,2938.098389,5241.830078
7593.714844,2759.136719,28358.98438
2665.373535,1180.908203,4601.312988
2208.791748,559.044617,12824.85547
12973.11328,5173.022461,38158.94922
928.046326,379.305176,571.008118
1866.407349,975.834839,1995.272095
8385.552734,4044.974609,12115.0332
353.9953,28.85202,769.939941
3865.103271,3686.137451,24289.04883
4089.807129,1047.536255,3667.541504
617.615417,254.974136,825.193176
2791.647705,2854.446777,17924.9668
8486.19043,1423.277344,2900.828613
1073.510498,947.262329,5021.080078
18679.49219,4827.894531,12540.52734
6792.325684,863.898865,2622.241455
2604.645508,2036.645996,7228.647461
5668.325684,1034.70874,3502.528564
524.833557,226.147888,140.760529
1656.791626,1208.846558,4016.375732
2093.789551,1442.292114,4155.864746
5378.365723,6255.653809,5284.686035
438.572266,129.024826,138.46788
767.727295,52.841137,248.411713
10305.37793,6201.57959,25868.17578
11500.98242,8963.253906,71343.50781
12499.50488,3189.580078,8316.3125
4093.569092,613.915771,2496.202637
2268.163574,444.311859,7961.633789
1758.575195,1224.096802,5413.300781
4458.411133,503.183838,1027.284302
2501.270264,698.107117,2794.785156
4170.945801,1871.296997,11604.97559
5253.537598,2206.877686,9011.694336
1894.448853,1244.472412,9911.234375
10891.70313,2539.889893,13492.67383
13426.67481,3613.725342,9717.951172
1016.098816,293.8172,772.530029
1569.397827,961.979858,2113.975586
3371.371582,3399.686035,10871.19141
1120.89624,693.901855,2231.264648
1573.678345,1592.508179,8410.327148
2712.35083,1610.515625,9180.332031
63117.48828,21950.99805,32556.0332
562.212036,179.494949,676.61499
1381.967407,966.528748,4047.563477
3967.203857,1863.691406,6267.819336
1729.995605,340.637054,844.257202
10041.29199,1340.327759,7467.749023
9842.3125,8644.692383,54443.55859
4756.837891,5457.648926,16178.0332
2686.838379,501.333038,2993.091309
2188.905518,2013.345215,8125.924805
2014.651611,535.454163,6146.234375
1465.2323,1232.085815,5871.749023
4424.22998,4166.060059,3712.576416
1194.930542,682.257812,2423.20166
3056.660889,1771.498413,2312.40918
436.378143,141.697922,607.875305
3109.894287,3220.725342,5613.322266
1278.464355,1109.320679,3492.981689
3062.36377,740.363953,14411.08106
5967.889648,1278.257935,3491.044189
2482.246826,803.611023,10549.83691
4654.913086,4048.037109,2935.881592
451.677094,565.990601,1646.009888
5506.381348,6586.553223,32663.19727
9459.771484,3808.755127,28693.2207
17997.48047,4982.675781,58357.91016
884.683899,1297.243286,5338.07666
967.802734,801.919678,4701.342773
17415.77344,6121.952148,36095.28516
7303.395508,4762.09668,47748.88281
899.79071,413.630646,2049.449707
624.549072,122.100433,383.546967
1549.340698,1574.699585,6534.15918
389.602386,416.972656,1546.149536
8555.621094,1012.930359,18740.9668
9485.482422,7299.912598,44451.70703
13001.31836,4242.199219,33411.07422
3049.811035,427.976349,1468.533081
7095.166504,1220.48584,12306.49609
8991.726562,8437.217773,36748.14063
487.123871,361.395386,1401.968384
5264.869629,5469.26709,27047.71484
11172.31445,5582.306152,17073.03125
584.095215,378.938171,703.226013
2999.003418,1085.266479,2126.043701
14444.75586,6685.987305,24293.00391
23427.67578,13174.88965,24928.33203
384.024017,227.516815,378.542328
3688.712402,2144.036621,12191.09375
813.168335,191.287613,332.631897
983.964722,703.104004,2700.566406
5820.901855,7141.068848,40092.09375
4285.206055,3528.955078,18397.78125
2669.846191,1702.766479,14921.18652
1996.073853,994.960632,9328.6875
5617.959473,3536.649902,29681.95313
8244.500977,2528.508057,14332.55859
6984.789062,1276.910278,11400.19727
9218.716797,6405.654785,47301.24219
1136.930908,1320.259521,6246.21582
6111.650391,1225.627319,2447.38916
5004.697266,2853.435791,13777.95996
8372.74707,1779.04541,26255.20703
3015.380127,1990.23291,1442.661011
12408.90039,4596.557129,54976.67578
7526.146973,2834.049805,11971.39258
3389.996582,2395.682129,7425.75293
444.026031,19.090219,118.800995
974.565125,764.126282,4142.291992
6179.272949,8413.709961,23108.78711
617.651733,625.600403,1386.673828
1021.590088,599.764099,2536.806641
7981.297363,10262.70508,19739.71094
3589.341553,1448.277954,12398.97656
13339.78613,7761.812012,29144.53711
9830.518555,7469.181641,30642.02734
13681.19141,7718.973145,64206.65625
426.590515,102.760384,251.645828
15481.30762,3884.123779,66236.89063
7038.007324,1359.924316,4121.642578
5758.805664,2807.652344,4198.112305
1818.714111,540.418274,2218.884766
5526.78418,4254.204102,13522.82422
3143.741455,896.235107,9823.095703
7582.501465,1130.872803,22142.3125
43899.80078,10578.35645,58385.64844
1294.996826,507.485229,1127.365723
509.608185,36.848335,321.088013
3895.4021,2575.537109,15162.82813
19609.00391,10148.56348,11883.29981
17928.42383,10373.37891,9029.328125
1372.948364,360.893616,2721.650146
777.939758,99.609329,402.018036
4387.98584,1737.785889,6071.190918
6026.706055,2858.619873,7798.962891
1606.240234,1246.619873,8113.335449
2756.939697,725.31781,1408.585449
2733.787109,1044.734009,2250.895264
1595.294922,568.943909,1572.850586
1642.404419,1491.232056,9340.512695
2542.55957,1555.498047,3485.880859
8467.387695,6005.350586,21952.16016
4518.567383,1846.960938,7387.980469
1180.387939,778.570801,4833.973633
195.474304,199.151642,861.605652
4906.476074,2767.197021,6808.560059
327.786224,165.251297,775.032166
8588.285156,8895.06543,42887.96484
1764.198608,763.877136,1199.958252
15665.82422,8363.771484,25994.05859
5942.167969,1782.109497,5426.603516
20588.50195,4694.272461,22547.96094
23346.59766,8429.257812,19465.61328
257.354675,39.198639,302.567291
1655.348267,1239.746948,9515.112305
712.987671,152.003494,593.153687
5960.319824,2869.381836,7409.650879
15292.73633,13732.625,76611.55469
940.318176,180.872284,537.737915
5330.341309,4942.478516,36087.23047
1375.748047,259.29129,809.962891
9766.444336,2420.308594,21042.64063
1745.708008,924.400208,3280.55127
1984.802612,837.348511,1773.851685
9152.504883,5351.101562,40208.31641
1229.639404,70.527023,395.854156
1027.643555,253.804306,632.749451
6911.084961,1531.682861,2411.23999
3272.702637,995.718933,2530.299072
8948.754883,8540.456055,3727.049072
3456.186279,1522.794922,9217.277344
13063.46094,7276.449707,21107.16797
8390.095703,4571.276855,12325.21973
4904.742188,4140.583496,18117.43555
4153.949707,6739.69043,23139.47656
1653.138184,2129.236084,8814.270508
1224.122925,431.422791,554.990417
2360.08252,651.084534,5698.375488
2345.123291,1933.767944,3119.268555
718.456665,248.411957,885.309326
9579.958984,6739.291992,17425.32422
446.772186,79.98407,362.156769
718.950867,369.263824,667.276245
9689.105469,16281.66895,23792.91211
2546.2854,295.080688,839.075684
9935.769531,349.158295,834.160583
1587.23645,2073.479004,6296.147949
11118.48145,4517.17627,18003.12891
8333.345703,5842.97998,33739.87109
1231.364868,656.514282,5091.512207
5916.79541,10335.47363,30656.57227
4352.899414,2636.56958,21151.31641
12009.67188,2521.302734,28494.00977
1135.667236,912.311157,2333.30542
9723.892578,1481.073853,11426.61914
2561.889648,948.641724,3396.837646
3024.714844,2840.050049,19546.1875
950.55481,218.151367,807.225586
11940.44141,4541.867188,25305.04883
21385.6875,10499.90039,26174.82422
6409.214844,9037.399414,39163.29297
872.06189,1147.953735,4289.968262
4036.308838,4679.48291,1693.942383
19655.82422,14134.71484,12510.54981
1800.065918,835.952332,5995.372559
489.432526,72.362999,291.59256
1867.067383,1856.570068,9297.496094
1520.546387,433.341858,1138.566284
20242.50781,6802.020508,17228.7793
11351.7041,704.213318,1924.814697
1870.160645,1648.808594,4492.245605
10166.77344,9513.878906,55477.35938
5256.094238,3481.577148,18887.46289
644.601135,728.042358,1767.727539
3172.851318,914.548401,2238.980957
3465.497803,4406.137695,7408.066406
36548.87109,6317.773926,13496.14844
982.759888,419.360504,550.929199
9112.663086,2968.991943,10726.89844
4793.810547,1203.979492,7199.512695
6164.311523,6394.341797,30089.46484
1646.023315,873.248779,2782.601807
54529.53516,12754.80078,39229.09375
855.109497,739.354675,3815.224121
3450.286133,2218.947998,20877.68555
2420.399658,2645.404053,10415.02637
1729.927368,1246.328857,3324.338623
5174.184082,3488.418457,15533.55957
16723.48633,5458.190918,17629.62891
3431.960938,972.691589,1666.401611
464.532806,461.728699,2082.293701
7712.062988,6246.830566,14607.27441
570.156006,371.143677,785.006592
5688.259766,685.241882,4349.651855
9290.999023,3690.912109,29376.82813
1347.883179,967.54364,6760.217773
6922.092773,2672.446045,39539.41406
798.383362,137.371002,1030.419067
7360.72998,6380.745117,20382.39453
12699.20117,3593.960938,5569.88916
12475.68262,11794.65234,43371.38672
2508.700684,2055.337646,7393.999023
8664.759766,9363.139648,17887.7207
3904.517334,2377.539062,4226.502441
8758.379883,8072.352539,21530.3457
