SpT2,ST1,mCherry
27.519129,117.077911,-64.499382
15.575813,20.349684,89.463219
44.478813,95.895287,90.323891
24.490736,48.43961,16.003141
51.433388,79.517426,-85.802139
36.695663,49.062336,71.42131
55.92762,42.977085,69.535347
42.04747,77.312477,34.924332
12.242082,88.290787,128.027847
19.944172,8.866817,15.053018
32.884789,103.791496,54.474796
55.905941,114.089951,71.694992
64.761345,34.675583,109.982819
44.122509,28.041006,-2.399197
76.965248,31.970839,66.038734
67.259293,59.345245,91.392113
26.550354,53.556065,185.648102
5.180056,82.458771,40.097919
141.416489,31.052792,128.047104
8.465834,13.39316,76.851967
37.696289,60.390217,95.482277
29.437807,43.458061,18.259472
15.538172,36.242622,85.457733
93.717941,9.26566,91.778992
11.754575,54.121231,-9.408564
15.173265,63.261093,1.103666
102.471443,35.179005,77.534958
120.316055,144.573807,66.085114
79.747421,53.836342,68.328766
228.550125,104.406815,216.708542
7.684509,14.351315,3.451833
73.890701,11.608975,50.650826
147.015579,22.941036,60.739342
54.965244,84.834267,102.247414
95.142418,53.520576,94.545929
58.195621,47.432396,110.553505
144.282639,73.66291,68.354607
39.68203,22.600628,-33.244381
74.645226,13.590528,33.196545
53.603523,84.109901,75.803963
36.632278,40.069664,265.19455
35.503246,29.527273,106.519447
25.124105,80.888039,3.065665
22.670561,157.557678,-23.116816
14.313912,83.365799,53.524925
4.038537,12.365915,-15.984709
28.333111,25.173592,113.641594
124.498978,23.764261,115.33062
89.654839,68.819168,98.160843
21.10487,33.480022,89.442131
69.572395,170.22435,237.755402
23.201164,96.692795,56.385559
28.401199,85.625259,13.627976
44.286392,5.075992,31.525055
224.72673,93.473358,224.94957
71.712029,52.782246,81.624344
44.30732,159.168991,-8.701111
116.956451,46.624828,93.31498
3.522982,60.49659,3.253561
31.720594,22.427631,122.561989
40.700439,27.533966,21.012278
73.567619,80.826385,129.056549
326.118256,104.717888,176.737885
73.142021,61.56683,17.922203
61.858894,85.913605,24.164539
69.238342,43.873528,10.318026
13.899655,98.791397,49.055878
11.232887,55.707333,59.15033
27.503942,120.70089,86.883278
124.838226,54.287922,182.703384
212.925217,105.435097,221.366943
47.05896,59.812103,46.442234
64.767815,25.928493,61.613926
203.193893,5.608633,190.299637
44.641277,54.233288,11.067138
5.939287,123.914986,27.610052
38.013309,24.124165,127.860901
27.730345,21.248396,36.154995
75.044952,25.973347,41.658321
105.117889,96.507187,103.514229
109.462456,67.504227,116.821793
18.190275,88.97081,-12.063603
37.85741,53.498203,119.664131
88.047295,101.612961,17.065573
42.898457,68.804466,94.513344
51.753216,102.755913,-21.295933
122.701927,11.128724,245.937927
91.844284,72.307091,79.776367
40.442165,38.950901,139.250992
100.911789,9.88874,92.604111
69.338448,52.735416,97.097763
47.452675,91.096748,79.874229
134.342209,50.806667,136.957916
55.67247,67.077614,-14.153018
140.917038,50.686871,235.599304
17.127188,82.08287,173.956131
75.250465,62.799026,103.349434
54.773193,30.956108,94.924644
358.638062,149.953873,155.954269
51.817463,86.618866,217.137833
155.897446,31.126423,79.312546
117.85965,66.264526,103.314735
69.645393,113.490196,-19.537798
358.191498,53.443069,235.698593
10.476654,68.894325,137.629669
149.593613,43.396095,286.338196
81.610703,117.103165,99.182915
19.618938,31.105398,-31.412586
100.646057,3.382165,45.065174
6.2251,31.018454,-7.017465
58.21043,3.144169,42.086483
65.311066,52.93504,61.251175
79.203156,114.140984,200.969009
36.093174,81.71759,41.15361
99.761185,98.920082,109.950851
99.348076,22.329409,73.399712
154.266159,145.615204,360.688873
64.753448,35.064674,37.271652
100.185646,120.077736,172.725769
3.377386,75.089302,15.059221
133.230057,17.482306,170.185318
60.583736,14.642516,79.735687
129.675385,97.247688,35.040737
36.665863,50.983776,65.542305
70.08577,23.790909,17.065477
6.420026,65.857529,86.219902
202.878632,84.518555,261.849915
38.751335,51.71629,86.337082
97.877052,37.343822,68.051178
71.998322,76.121765,106.230301
26.553833,50.056454,71.733986
151.972198,44.987698,118.907234
45.540722,8.214375,124.649681
19.132742,113.567932,47.246666
55.991962,45.942787,99.105423
116.746292,12.357229,76.4459
19.494749,72.757309,52.042023
62.833717,39.187119,36.439304
90.598724,19.490431,125.571068
5.769673,31.837963,6.030282
28.365124,76.430084,-26.742786
138.513107,64.701714,131.505737
16.353777,21.535528,91.55191
232.62851,121.515038,63.455963
146.103378,118.118431,34.281334
56.286663,37.218071,72.52504
43.688461,39.505939,179.734833
77.217545,66.433517,124.350357
32.18922,39.846352,81.627518
26.600367,53.172783,-30.015228
11.187003,64.727837,121.331093
42.931747,33.111851,76.791779
90.301155,35.706406,126.808525
15.452702,36.736378,48.643978
168.268997,77.183983,131.026062
2.447656,47.972687,23.488304
66.794724,5.610321,-10.104296
25.757015,37.588043,-3.627773
78.406448,65.647469,53.38538
38.595333,69.100319,75.101402
11.593706,55.810825,118.955261
50.040829,34.194424,162.812637
401.939789,2.779465,191.380081
125.271011,47.119698,-21.43033
107.041107,4.384365,84.765076
87.453949,69.096664,161.263077
103.539955,81.61174,168.260651
36.98415,21.857426,73.20697
42.334038,26.211428,59.50639
220.072861,64.514297,146.678009
64.780914,2.604676,105.585388
78.487602,150.837021,108.554375
41.253555,51.500504,51.189888
133.513397,57.050091,178.78479
63.968685,87.977715,108.568497
36.118046,5.860845,36.778358
91.049965,32.577511,112.797585
94.68679,13.920321,85.087288
35.858471,71.110886,13.270555
115.747437,10.550897,120.563248
75.249413,195.472443,147.033157
240.762497,35.168251,591.949646
62.01152,57.404114,50.459209
177.036835,22.158886,96.144638
2.672652,57.42062,22.077332
88.228943,6.809355,29.56148
82.851929,16.064676,-37.336761
42.925575,160.21138,33.488724
75.131691,29.107477,139.900162
48.989723,61.032345,-6.269415
54.702831,20.219156,91.162773
201.941574,26.686756,205.44101
52.204994,108.883224,17.572302
135.45723,51.839092,118.993896
115.45211,83.729904,230.143784
27.850657,89.882332,-10.371637
38.203171,124.875526,18.591219
44.663013,171.615891,104.948494
15.99517,7.061672,91.025627
44.764065,5.350131,55.781723
60.227081,36.863297,64.039093
51.278156,51.292423,75.004341
115.016556,78.042336,48.852219
51.15226,49.594296,156.26384
81.858162,5.540831,42.428383
79.843948,49.787792,35.095592
40.827782,113.311089,61.697201
89.25293,83.83326,55.287243
4.256877,21.919022,-101.46402
37.057495,29.681932,-13.180333
96.206329,109.260315,50.955471
33.444157,25.530394,176.659943
56.678982,123.980515,5.536014
65.596443,28.330576,36.701874
43.87233,85.051994,42.694874
138.799286,186.392868,215.574341
3.69188,27.501568,4.113638
101.549713,47.000866,101.381859
59.256603,19.585941,-19.549292
177.000809,30.543934,175.30455
131.793686,9.327493,128.499405
25.340422,5.299044,117.878349
88.727242,114.107628,86.306747
54.282429,15.136462,154.539459
11.928984,32.137993,71.98555
116.719795,11.254024,-35.292877
175.542816,26.150133,165.67572
121.790459,128.566223,215.13739
30.107843,3.950933,66.893951
270.909637,112.33609,116.695862
62.742683,15.927257,125.516846
42.02758,11.137793,184.87027
49.824764,27.556387,67.127968
64.096031,39.951218,63.754486
53.20155,82.297485,130.772003
53.506348,130.437897,66.460121
95.788414,1.347292,48.999985
44.833237,4.235957,28.875237
8.390086,55.856773,105.237274
163.725769,2.701885,74.863365
13.066945,18.946138,20.902956
8.253182,47.177139,18.640902
147.457535,41.559448,12.050212
62.718281,76.612221,10.43165
29.480312,38.56881,122.315872
80.748573,125.373177,72.545288
89.103577,31.674032,0.597193
138.811417,55.660728,30.718178
74.723045,42.426888,-67.703674
114.249992,31.78503,112.844444
63.146889,139.192657,35.097652
60.695305,104.476227,41.109097
232.587112,7.097559,-54.937412
30.845711,101.163719,35.489971
109.900772,6.01498,69.724716
370.299866,106.262428,351.819275
62.356293,54.626205,-25.366776
15.83906,37.166431,67.710503
395.136322,63.505409,575.127747
145.532089,23.903988,93.164459
62.745571,18.472572,100.876465
43.323788,24.548973,74.239578
121.650597,31.740753,83.666473
55.079746,57.24147,66.737022
23.560684,15.911005,185.325775
61.828281,34.260315,14.024961
34.207699,36.664471,131.532745
42.770363,28.27622,76.483444
113.870674,24.661816,112.422676
61.860237,15.678701,28.500332
30.008535,6.765423,10.768916
213.241943,33.336788,123.167503
17.398075,12.850836,58.921959
83.901245,47.879368,116.067604
79.910141,18.056686,82.860847
8.292775,45.60955,-5.984921
31.791643,143.137802,32.434483
11.447272,66.052055,54.774719
79.419815,54.25008,47.277336
56.608131,1.915499,60.034355
49.658394,39.031322,91.790352
84.435379,74.561096,93.876465
12.903187,37.356236,76.39843
18.91152,3.837659,72.558281
57.884937,49.093655,85.54319
44.806499,17.307055,-0.551886
26.27697,105.067581,6.673959
53.606163,105.851372,69.417793
69.401321,39.943096,5.990908
26.262417,97.563797,45.971272
77.54892,90.259171,101.683754
278.086548,73.691879,269.158508
65.013588,84.76606,-14.316746
16.246128,8.377832,72.081741
77.905685,100.520424,106.666504
105.093033,29.708626,9.2274
110.508827,74.11618,103.974937
129.463654,13.362644,147.091309
87.512215,58.73283,119.952499
83.703506,57.508011,96.689438
22.418118,27.244219,27.698267
54.717739,27.674391,81.597977
96.491882,48.289577,146.857132
220.797852,58.001266,49.844643
67.290123,11.739088,117.882591
98.771461,1.44963,125.793488
124.604294,36.553726,124.941521
131.612747,133.75528,160.655869
59.116467,85.630547,60.503799
59.727535,70.177422,104.22226
23.511938,39.260979,52.13987
99.294838,48.082455,142.342987
121.975258,52.891026,79.440788
64.620941,3.580262,-1.89467
196.433243,25.813112,42.764576
34.687618,63.866756,73.006599
27.970081,71.635406,152.492615
55.122261,28.130764,110.328697
48.643642,47.087452,86.089638
78.546188,33.191055,125.49733
143.690872,20.529953,133.152939
62.528786,55.065205,12.83616
16.98451,3.666343,136.477982
34.91526,55.587452,107.209442
33.512707,6.434001,17.189922
99.872093,91.545845,90.315758
12.027367,85.230225,21.613791
82.458588,72.972954,81.60733
113.922417,47.123642,122.415611
70.667839,21.423716,172.684921
65.33419,92.489815,60.949913
12.33411,26.18313,72.740501
80.237656,72.587822,221.415421
51.233643,59.491367,35.568584
17.890224,98.016212,4.912207
96.204933,59.280643,88.657433
87.847809,94.982185,58.722466
47.919319,31.094753,13.939373
86.656471,33.637276,70.907837
18.385815,52.224777,106.902161
50.541828,12.085771,62.69886
54.644062,66.421982,51.82111
45.883858,60.763107,64.344818
54.30574,69.303513,63.403885
424.789825,78.661484,186.420837
164.529861,5.463687,-63.137779
42.524597,115.222626,36.733982
137.309021,117.763504,153.963348
135.010986,36.388615,78.680382
508.32724,66.925507,240.4832
60.729946,26.229805,54.232254
46.294998,156.4832,21.264093
102.693214,108.665794,64.608673
58.310841,4.855618,38.064564
128.260162,1.515009,46.629414
44.449356,12.362596,51.036636
5.450284,38.945576,54.535954
91.738747,97.591133,53.192982
189.915634,37.313671,52.367218
39.820541,47.479069,27.530792
42.570396,16.103834,-5.543758
51.927395,7.579063,8.980243
35.033195,69.509682,39.750385
91.681084,62.469784,73.71463
127.166664,117.114754,105.672791
49.866264,15.951427,72.538132
28.366962,57.878723,36.831818
90.688141,8.692934,155.37825
53.904907,14.118758,102.585732
111.556023,107.230804,105.965279
3.17655,47.195717,38.508739
40.456978,8.359929,27.190544
5.843331,103.599464,47.784119
46.878605,43.254181,68.689491
333.668182,72.170624,236.255035
51.907288,24.481714,124.646584
55.863613,49.551838,98.400978
112.177582,42.985943,119.795837
126.170113,4.304363,211.917099
14.273458,68.307434,21.774916
189.281677,42.117569,89.866684
16.409145,27.741104,26.572241
49.79829,55.868229,131.42421
187.284515,40.824654,104.017761
46.579498,28.885962,43.806004
68.401665,82.674911,90.578308
12.57731,134.167542,123.470116
51.490753,42.015987,57.694759
63.130951,80.078789,38.766037
59.195774,55.662792,112.564598
67.573647,36.340508,117.523109
52.889465,87.75782,102.159409
144.371323,45.950336,182.018219
47.497265,71.588631,14.471091
165.779556,24.393717,345.49408
138.56163,164.421829,92.435852
53.549171,108.630554,140.685654
13.18689,24.107466,125.480614
15.433226,25.625401,82.899933
34.953613,80.527786,71.300301
52.178585,26.593729,33.398998
42.397728,89.871727,79.378868
118.88356,138.342789,120.384163
119.795029,2.995892,92.084846
51.198898,48.27927,85.17939
123.521339,15.603231,88.358269
106.799652,5.919803,147.269974
1197.431274,51.858692,343.527069
43.713448,45.953819,114.35791
53.264942,16.144043,-94.908043
13.522354,12.619256,38.188316
87.267937,36.693409,81.932304
59.839989,51.681389,58.573128
66.230133,9.635484,81.073364
26.034958,15.227304,99.564316
37.918423,41.36245,153.580505
63.1814,46.807709,116.025551
48.465183,2.62386,49.579594
84.732635,28.926071,57.628929
36.785587,34.578156,48.496986
71.409622,69.689796,64.326317
27.678724,47.461388,-9.215577
33.516453,74.43557,12.860612
30.07365,10.580924,109.864304
22.565828,151.801437,9.595994
42.540874,12.505851,87.948639
33.437553,14.089882,90.427879
227.145065,145.958221,49.159019
86.426018,12.112558,59.517021
84.923203,23.71736,101.612076
71.419792,69.400734,32.866814
54.400742,69.876183,66.526619
393.300293,111.26458,266.909332
54.53022,108.589027,74.142044
9.085986,57.117279,54.676735
19.55332,23.743296,99.386978
98.711037,93.09478,121.260468
1.689823,114.042336,8.912125
521.447632,21.763321,210.41568
35.483597,115.609741,76.658791
50.725677,30.501154,22.639954
49.444244,7.54389,44.814121
76.619286,27.596132,51.918995
248.832306,59.582829,46.423386
60.611851,85.272354,-36.989269
79.809822,61.649933,47.012932
102.373405,95.837761,59.046253
67.71373,74.966141,-2.408768
72.841438,53.577904,111.163315
108.311073,38.910412,78.23925
177.912689,31.999575,107.764511
10.761259,7.542385,87.042366
75.294739,61.258076,103.423492
23.729046,70.15564,28.023197
53.185692,3.196978,33.799942
23.351334,4.434219,19.823309
182.946533,72.853264,80.760254
27.295185,90.264587,1.695598
35.334625,29.281054,9.652063
40.962303,37.270229,2.927297
37.558559,57.479614,54.850975
49.511181,51.788174,34.451958
57.20816,90.242577,61.536491
129.121078,48.848625,166.359665
93.825027,80.501259,68.069923
125.656166,41.297543,50.95937
54.529247,73.776932,38.429688
30.336475,88.053337,83.478302
143.774643,190.815765,93.477791
55.233219,57.374641,62.662712
150.899857,58.006973,38.710102
53.881092,23.018997,127.400749
118.057991,106.406143,92.933868
142.917709,98.215439,79.658615
14.680751,50.990101,57.496902
42.407593,108.925301,-7.217912
61.521938,91.967468,113.442825
64.086082,101.43084,123.053955
19.132956,9.202413,37.889462
49.634933,3.340233,11.582512
200.575775,84.233238,249.270706
213.13736,51.810318,144.011444
72.988548,47.79454,60.404541
112.582367,11.055224,130.525711
16.472782,28.914127,27.521988
124.342499,17.211798,138.981293
171.459839,53.795322,247.199738
86.839249,69.791557,61.748089
448.213501,39.909073,466.241943
46.66671,10.729078,12.472501
98.553055,70.924286,97.493431
132.74678,87.565262,63.093906
99.017052,56.990162,142.846283
19.01812,22.929861,38.870789
167.785248,183.920166,250.947296
38.85928,48.457661,63.374882
163.96965,129.125031,217.862534
8.374899,26.284998,17.028915
56.015335,2.559159,-33.507587
29.718792,1.802642,91.118301
34.297691,10.270484,12.105993
27.819122,78.55632,48.614101
81.128227,87.714317,98.262329
66.761368,52.104084,79.597771
56.30349,22.907343,90.699684
72.070663,40.365833,64.768745
16.739553,54.864586,58.980663
32.437218,41.10471,34.226288
77.936554,76.617302,109.91748
44.060558,27.118843,-13.351624
22.53689,92.517654,61.789623
64.18615,15.757688,62.989887
84.322052,39.971741,41.065105
53.473606,179.507568,112.735931
32.001095,21.411518,-6.278178
78.362114,27.372446,58.540871
75.923195,102.207405,113.925804
53.268246,62.163235,32.597828
69.805801,51.57489,59.470955
41.506763,76.209251,51.317535
96.466324,34.692665,82.983009
356.840332,84.22963,402.092834
73.569603,23.003487,66.333641
45.639603,130.502411,117.642349
83.041885,32.15554,80.320122
37.451088,40.150074,45.727844
121.573555,170.948654,117.811615
82.699211,71.682442,43.967838
133.708282,10.540828,87.375664
70.447212,62.268879,65.946617
26.429012,117.821487,31.937326
197.886612,96.502647,222.696777
50.804012,12.299367,48.104324
57.130184,52.305531,112.561836
89.642639,3.435338,81.833153
32.132881,86.072739,26.419699
21.936525,76.796768,54.000584
57.441769,22.599146,88.932755
292.956329,71.826973,159.559708
102.238289,15.520817,59.176716
145.3479,83.459351,60.795029
135.68605,40.655605,34.510303
