WT1,GFP
13.883798,6.8125
76.987343,107.577515
38.903641,29.689331
63.513596,66.330322
120.708763,68.363525
26.589561,21.263672
129.911575,13.939697
25.861074,5.942383
20.284506,192.173584
68.559189,34.853027
34.469639,314.276367
66.900673,37.330566
9.682278,28.373657
26.611334,36.280579
13.179503,25.493225
11.618812,51.781311
4.475615,98.32373
91.289177,67.370605
78.579308,43.785217
36.242496,172.919922
121.462311,35.624023
89.822426,1.821777
63.248322,102.64325
4.722569,40.148438
30.876511,41.515625
135.949661,25.02478
34.689747,2.677124
61.224247,66.681885
4.522084,50.724731
64.710258,19.808289
74.391968,126.044678
25.117825,102.073242
27.496599,230.32666
18.269814,138.920654
29.631104,92.297119
34.604313,188.608887
39.795113,120.263916
19.50588,133.875732
140.729752,58.149902
7.220105,25.025696
43.061199,7.266479
72.630745,135.712891
74.944717,117.292969
78.804977,54.260254
78.942513,64.717651
41.281425,12.468506
19.525518,2.233643
102.235504,222.180176
67.815903,23.054077
64.724274,33.597168
80.610809,77.031494
15.745309,44.200439
52.558891,64.371826
23.02569,39.166992
12.304009,8.845703
4.39498,26.702637
50.303791,73.624146
72.161949,46.471802
47.419147,96.588135
9.129931,155.415527
69.565903,69.710449
29.411579,96.780273
5.506599,261.181396
23.49745,64.142944
27.999821,51.97583
4.745379,70.346924
39.894173,68.598877
44.279369,6.539673
57.68428,20.735229
11.631762,34.075928
58.050655,21.19165
28.353037,11.405273
2.598526,110.449097
9.530976,18.681641
57.147774,37.972656
45.739658,43.911011
13.804089,151.200684
17.563845,192.692383
40.894077,50.82666
37.272156,69.165649
89.69899,6.105713
40.597767,37.864624
58.496891,37.739746
21.570583,120.966309
14.764991,130.051147
40.757053,14.812012
31.873211,39.855713
85.544502,29.134277
17.359764,108.847412
1.581811,55.578125
85.375191,29.632812
75.169785,22.659912
88.708954,31.503662
72.965248,40.738281
133.84317,7.374878
99.573135,49.800659
69.826302,44.897217
82.560104,46.721924
27.002176,91.61499
19.943598,75.417847
20.865648,21.781006
52.350647,54.569702
61.522949,18.079346
46.311226,76.838013
4.577021,42.803223
17.905037,47.916382
24.418945,29.616089
70.778122,75.894531
7.584053,47.399048
32.232075,1.366211
33.232769,55.639771
81.978516,16.094604
42.558468,32.292603
14.608262,29.368164
34.87421,4.465576
9.38315,23.871826
33.144691,131.844238
62.179966,49.140625
33.948189,10.699707
49.431023,50.770996
122.529785,135.413086
65.592094,123.362061
66.735489,86.044678
28.361122,117.226562
29.41938,100.494385
82.173943,6.498779
8.387343,6.864502
31.290367,37.806885
114.254814,158.254761
18.070892,84.871582
124.512611,28.14978
38.821095,39.641846
94.84523,28.937439
25.16151,30.026489
62.618549,84.932007
72.955032,16.620361
37.179825,294.664062
6.646894,35.534668
17.277893,130.070557
81.857155,77.410645
10.806073,60.93689
25.4877,47.489319
50.157505,85.89209
36.058495,64.495361
25.370424,10.07251
79.213593,32.771423
22.916632,23.651489
39.745239,24.050415
70.035912,23.25
42.695873,172.417969
23.812611,29.16272
3.871135,87.658569
34.17646,117.734619
69.602005,160.255371
7.30818,94.987793
111.91848,45.300537
67.224586,88.281311
44.893799,191.001465
49.224529,78.940674
73.830009,60.147217
9.946599,105.701172
7.249122,11.669678
23.749235,45.066162
76.074066,6.778015
86.509193,56.814453
102.073807,24.477112
21.602365,5.508911
20.606056,70.799072
32.561108,77.199829
40.163383,22.441956
13.777497,40.516357
38.569973,31.471436
14.749744,74.371826
11.842522,62.87915
13.94327,36.062012
5.773122,15.074951
124.208923,171.913574
28.716381,190.732788
40.269516,10.69458
34.854996,132.939941
24.023617,118.788574
13.296787,35.955078
5.875294,9.380127
15.560132,65.333984
27.165064,55.43042
91.114601,13.047607
126.278229,45.686279
107.467293,54.129395
36.07465,82.739868
83.50354,38.556885
20.018932,89.286499
49.116837,25.842163
66.090149,161.80127
93.667442,5.091309
34.178368,190.944336
64.623123,123.182129
64.769646,52.035889
118.038689,62.906433
26.859365,47.670898
51.18222,164.074219
18.003572,17.979248
99.647263,7.93042
83.985298,43.407959
24.267628,8.456421
26.939104,8.654053
40.909134,87.460938
14.782173,34.883057
68.141708,59.773926
17.573608,69.186951
102.198555,30.404053
54.462498,129.274658
101.96537,80.14032
11.173373,54.461914
25.87624,36.215088
85.137482,31.216064
72.281738,16.617676
128.060745,89.523193
1.881889,56.323242
92.036819,18.493896
65.154953,114.510742
61.98164,20.36908
11.879225,29.235107
14.252638,25.903687
6.141904,25.674316
46.575958,18.986328
103.607208,51.050293
38.930691,14.734375
12.93476,107.462891
101.596725,77.947876
103.2911,96.681641
26.428087,188.604004
1.419129,32.194214
66.258347,70.953125
79.866386,167.22876
29.833838,29.679565
95.855026,71.634277
104.534706,22.718994
46.968094,16.82373
69.419525,125.270996
121.821938,137.338379
99.84211,35.672607
95.166855,45.275818
23.872896,70.607666
6.022308,107.433594
1.297709,171.971191
53.163734,94.135498
20.306839,13.947754
35.460491,74.66333
59.827927,72.746094
78.424446,47.166016
112.486496,76.073975
79.126511,3.719849
120.029945,102.432983
29.127625,25.149414
10.223355,63.731445
49.50938,29.660156
97.271553,22.045776
31.360758,35.338867
94.545273,44.776123
17.789488,53.720947
13.338532,20.899658
32.536362,44.539551
53.165531,185.408569
9.367498,107.001953
82.162819,16.032593
6.969275,37.254761
58.555733,66.217285
57.178661,54.398132
12.157399,23.588623
167.124481,85.240112
35.95755,76.963867
35.788383,39.341064
9.174763,118.61792
10.907894,31.470703
73.425072,41.060059
72.221207,32.49646
99.637566,190.132324
7.489329,97.744385
60.152031,28.036621
27.720846,2.294556
93.945702,110.885254
14.61372,18.315674
78.220436,5.396851
97.993225,34.132324
47.516521,4.786621
60.930294,90.504761
136.328903,120.914062
33.849926,97.273438
71.436378,39.490356
71.33905,57.408203
78.306152,175.263672
35.039413,35.743164
44.257607,32.785156
129.762283,63.881104
1.565486,49.240479
54.674538,37.224976
52.803379,87.336243
77.082855,46.205566
64.939705,36.672852
29.635477,134.389648
14.300082,2.682373
21.734632,15.524414
68.676491,48.016418
39.470135,58.296265
55.126385,3.411133
36.98727,40.311035
28.219349,5.354492
63.374897,81.139404
16.811209,132.001709
15.292225,59.782593
43.678371,86.855469
106.904106,24.507324
63.301521,54.16626
109.582664,7.858154
9.774023,41.316772
30.228191,27.182129
