WT1,SpT2,pptase,ST2,ST1,SpT1
1916.0896,52.078613,595.558411,979.836975,394.120605,247.81839
4915.508789,292.418945,9030.716797,7505.162598,3316.992188,16921.9707
3084.050781,97.444824,712.75061,904.244934,2639.523438,7173.491699
1083.41272,124.595581,259.24939,717.269348,294.805023,77.467926
401.879822,52.066162,713.756836,275.622864,647.015686,858.981506
645.609436,648.968262,4238.039551,2593.751221,2161.040039,8173.79834
15662.14648,20.029053,1715.325928,8001.107422,4319.736816,15983.75488
14252.34082,76.635498,258.848511,2887.508057,1074.583252,2937.812256
1330.327637,73.150391,980.27124,2618.137695,2690.572754,5703.859375
4602.339844,135.463379,4.399811,2736.200684,2448.738281,8239.87793
1600.179443,73.505188,412.256561,2589.338867,926.946167,4115.8125
3877.571533,216.968018,781.979431,3754.186523,4825.369629,5335.591797
3149.819336,186.394531,7086.653809,3765.556396,3195.314453,14583.8125
2215.828125,19.968628,2567.434326,3044.862061,914.240234,2571.002441
2827.123047,84.64209,707.098694,1749.716431,1804.637695,122.463776
253.234848,126.160156,3633.354248,3123.823242,6777.950684,510.196259
5473.239746,90.800781,489.842865,5417.982422,2395.854004,553.969543
2727.849609,60.614502,709.54303,3536.506348,902.309143,2026.411743
3682.42749,84.113037,326.941193,5875.505859,1969.014526,5107.045898
76.289589,21.323975,277.263855,695.747986,684.510132,2028.760254
465.548706,8.23999,34.302872,794.644409,329.68457,1534.417969
2389.050293,130.791504,854.47522,1813.73584,1023.534973,76.148087
248.964691,43.439209,415.078949,762.133423,1642.91394,48.851646
306.5065,33.790527,419.046631,1129.21228,1230.815308,1440.763916
204.390442,105.046143,305.706055,622.793274,351.654938,1069.458618
6954.697266,67.912354,49.091888,1143.481567,1197.027466,1835.783936
2290.601562,177.977051,1418.828369,953.888611,3719.22583,8559.599609
9180.94043,1122.52417,63.013962,2793.778564,2785.238281,17765.88867
11031.64648,798.169678,4469.134766,9968.482422,5721.690918,42330.57813
945.028564,132.721191,451.103699,4113.71582,1358.281494,4127.070312
149.593597,850.673096,827.442322,888.158569,976.205139,2050.218994
8435.62793,117.50061,2687.480713,8274.885742,3894.583984,4528.438965
1077.06543,162.138428,92.710472,217.083542,184.933487,374.257782
2178.708008,55.79541,2621.017578,2479.802246,4049.840576,4266.171387
13407.33887,1269.835449,6949.275879,6028.822266,10673.12402,44210.49219
14046.25195,95.408936,787.015503,6346.726562,5329.553223,9567.621094
12995.66406,56.611572,186.627899,3388.667236,11128.92383,15037.44824
3101.049072,5811.04834,525.154175,857.71991,1642.866821,7274.164551
798.42511,48.089783,115.913528,1808.875977,981.4104,2575.154297
256.842255,43.377197,335.887329,3527.170898,859.638428,2822.794922
16353.13379,637.019287,6411.062012,13520.46191,7857.962891,23966.34375
2325.83252,26.710205,591.209717,812.547241,2661.159424,2445.596436
2491.74585,106.87793,2581.491699,4418.470215,2085.848145,4428.544922
2187.225586,57.877563,161.569473,4408.415527,954.502747,7600.756348
764.380005,50.192871,118.55262,2193.525635,985.274048,652.163025
23384.43164,28.741699,244.100006,6079.241211,6513.616211,18767.73242
301.381195,87.791138,248.172424,1181.581543,587.900391,393.584259
1345.168823,81.437256,848.579285,2097.662109,739.730408,1033.946655
134.144989,161.422119,474.039612,1099.081909,674.675354,3159.885742
3605.002197,29.11084,143.296722,987.987671,2691.04541,6308.734375
4909.116699,253.748535,1201.772705,6521.356934,5136.390137,16823.28516
31683.85156,67.783691,540.920288,6457.96582,14933.61719,13522.69336
1392.68811,58.785278,5729.630859,3745.14209,3356.165283,19515.29688
38.729671,62.887573,107.103882,348.349518,426.326447,154.675232
3808.591553,28.880615,148.786682,4280.406738,1094.337036,707.776123
