exp_name,file_name,model,kinase_variant,kinase_zipper,pptase_variant,pptase_zipper,kinase2_variant,kinase2_zipper,substrate_col,phospho_col,kinase_col,pptase_col,kinase2_col,kinase2_phospho_col,kinase2_phospho_factor,substrate_phospho_factor,phospho_KS_stat,kinase2_phospho_KS_stat
pptase_weak,16,two_layer,kinase,L+A,pptase_weak,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.15232839431508916,0.14386150589658303
pptase_strong,17,two_layer,kinase,L+A,pptase,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.08244050975527235,0.16803879553400247
pptase_weak_high_pptase,20,two_layer,kinase,L+A,pptase_weak,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.08210637019230765,0.13897235576923084
pptase_strong_high_pptase,21,two_layer,kinase,L+A,pptase,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.07663197729422895,0.09208451592557552
nb_SH2,nb_SH2,two_layer,kinase,L+A,pptase,L+A,kinase2_wt,nb_SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.11021322169214293,0.11595755038457795
no_WT1,no_WT1,two_layer,kinase,L+A,pptase,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.1621106166560712,0.15384615384615385
WT2_dead,WT2_dead,two_layer,kinase,L+A,pptase,L+A,kinase2_dead,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.07821293212357873,0.16366142184449295
mono,mono,two_layer,kinase_mono,L+A,pptase_weak_mono,L+A,kinase2_mono,SH2_mono,ST2,SpT2,WT1,pptase,ST1,SpT1,1,0.33,,
WT1_weak_pptase_weak,24,two_layer,kinase_weak,L+A,pptase_weak,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.1357583631049042,0.05505034101981163
WT1_weak_pptase_strong,25,two_layer,kinase_weak,L+A,pptase,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.10718457943925233,0.04351635514018692
WT1_weak_pptase_weak_high_pptase,28,two_layer,kinase_weak,L+A,pptase_weak,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.07448950244463617,0.06658038538970376
WT1_weak_pptase_strong_high_pptase,29,two_layer,kinase_weak,L+A,pptase,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.14985872636383396,0.06346446424690284
pptase_weak_low_ST2,10,two_layer,kinase,L+A,pptase_weak,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.15625273092720443,0.16341868391156167
pptase_strong_low_ST2,11,two_layer,kinase,L+A,pptase,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.12289287656334964,0.2267536704730832
pptase_weak_high_pptase_low_ST2,12,two_layer,kinase,L+A,pptase_weak,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.0536592026215183,0.11605679956308028
pptase_strong_high_pptase_low_ST2,13,two_layer,kinase,L+A,pptase,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.1445617255621845,0.06436438733363928
2_noWT1,2_noWT1,two_layer,kinase,L+A,pptase,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.15749669124598223,0.27774626583475137
3_noWT1,3_noWT1,two_layer,kinase,L+A,pptase,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.12182448036951501,0.3539260969976905
4_noWT1,4_noWT1,two_layer,kinase,L+A,pptase_weak,L+A,kinase2_wt,SH2,ST2,SpT2,WT1,pptase,ST1,SpT1,3,1.0,0.23138622493461203,0.10688753269398431
