WT1,SpT2,pptase,ST2,ST1,SpT1
223.166168,291.528809,520.047241,1750.476074,742.954102,5849.481445
893.752014,35.007568,107.953384,1747.369385,474.369568,2379.773926
3586.269287,135.691772,6760.097656,5056.325195,3378.377441,3258.922119
352.304688,125.484985,702.556946,1744.624878,776.558594,3198.649902
15753.64453,304.522949,1691.587891,8389.729492,5256.779297,30407.05664
1214.643433,30.040161,2902.695801,1881.193848,3404.956543,1723.305908
1949.882812,305.217285,679.594482,2123.802246,2878.391602,7411.208496
2198.189453,978.484863,1009.281738,1536.136353,2274.493652,4649.547852
9785.28418,720.785522,4073.655273,5992.46875,2173.928467,23798.73633
1106.833496,204.026123,2882.789062,1819.445923,1514.632202,3532.417725
977.554871,124.51123,898.706482,1797.923584,2535.722656,5102.16748
6073.03125,1838.331055,3678.822266,3879.212646,8010.081543,14828.80273
1831.436279,44.183716,1034.202026,2685.374756,1234.484131,8583.739258
8154.09082,64.473145,3660.203857,4075.050049,4313.676758,6184.911621
2752.610596,5.947998,1039.884644,2648.252441,3450.260498,2214.931396
1858.306396,79.766113,184.372513,787.588135,383.816925,1430.660889
403.203796,82.388245,235.478317,654.684387,792.510925,1817.039917
839.163147,231.88916,2398.89502,3850.813965,1953.186768,15119.46777
4169.625488,5366.575684,639.447144,6941.164551,4579.465332,16738.04297
3595.003174,230.868042,7515.643555,5037.691406,1843.502441,17567.71289
3376.462402,165.089355,335.722351,1673.335327,615.952759,7086.81543
104.180725,28.668579,198.806,16.287399,224.081238,113.802818
98.075279,60.337524,291.552856,2316.602051,824.668823,792.320679
1026.992798,4.018311,212.928772,2064.801758,1040.234375,6322.579102
2903.033447,157.396484,15.655876,1503.344849,1992.219727,10532.04688
102.112366,65.959106,848.624023,1503.529663,1907.808716,92.004364
783.025574,13.688477,1220.467407,782.343811,751.416077,113.374191
309.282715,6.140381,49.243591,492.765594,500.878265,1518.584473
258.693756,155.838623,244.529129,928.472168,772.537048,1866.140381
187.047073,47.369873,105.173523,416.808807,219.918762,356.787354
2263.169189,105.724121,226.904312,706.006592,2051.98999,4758.581543
385.891846,33.992188,540.828308,2254.987305,496.655823,867.060791
1937.792236,790.030273,3126.589844,2668.207764,2366.24707,6507.123535
327.75351,92.802612,197.031036,1301.089966,806.523987,1694.713745
2464.500977,133.401123,555.555786,1361.737549,2745.517578,3384.699219
1029.481201,199.595215,1061.963989,717.489014,2512.802246,300.918579
226.771393,79.974854,29.015663,110.460869,199.99292,357.860016
4534.230957,296.428833,322.707031,1169.268066,1260.244507,6369.197754
420.088684,19.722168,394.303802,2053.218262,769.034058,174.555832
2995.64624,10.575928,632.108643,2808.827637,3120.151123,17029.99023
177.332672,47.077393,83.672256,601.237244,150.064606,218.232468
2722.188232,592.442383,2266.045654,1136.060913,4158.351562,8818.838867
103.293686,146.206787,370.553528,856.431152,1205.784424,432.650848
3448.898438,82.582458,77.073715,4236.401855,533.520935,6545.939941
4762.900391,91.567749,659.1026,1472.989624,1590.520752,3437.496338
916.526184,86.066772,2826.668457,4898.556152,1062.416504,5629.70166
903.398132,273.873901,330.745178,3718.777588,1351.038696,6286.208008
2045.611572,64.695984,344.219299,630.828613,1990.2229,2496.906738
890.214722,53.273193,2785.554443,2520.839111,6324.01123,1008.797485
4052.651123,671.980957,64.180466,3575.809082,2044.111816,10826.75391
231.492264,127.884277,384.465515,633.64502,1040.112183,1034.870239
