WT1,SpT2,pptase,ST2,ST1,SpT1
244.012115,380.637939,-36.28038,3570.367676,459.207397,452.900757
57.525448,30.365234,21.537483,2048.680664,112.893181,41.596664
53.320724,29.410767,143.665863,1658.093628,45.77726,36.053467
131.791626,16.356445,-13.547409,68.698547,30.609247,113.070541
333.646698,86.878174,-36.620575,1887.290161,135.267181,104.556686
258.012421,23.893433,-50.028587,984.032898,202.915726,125.074844
162.934296,217.406494,-26.931416,3221.949463,116.766785,142.990021
58.744976,107.666016,-25.37796,1123.213623,870.592712,1136.361084
12.668526,149.569092,-24.226776,1851.237305,2.348685,147.550995
32.402431,149.476074,23.443405,1441.028076,118.186325,17.982864
738.377258,298.831055,26.388458,6478.24707,412.823853,489.676025
35.37793,42.953491,71.806282,788.897217,68.006317,64.118492
322.829163,26.448975,-75.523163,3390.419678,169.583115,343.905579
140.690125,46.572998,49.314621,1031.334595,316.489166,89.938744
81.585953,173.459351,39.149391,3600.343262,99.942581,138.033508
110.496017,134.46582,-34.39312,537.330994,288.079224,135.994461
33.905258,29.786743,-6.01709,1945.618042,229.474243,68.2519
76.97216,1037.668945,-65.997955,1551.867554,962.532288,1994.088135
156.834763,9.919556,-105.624664,1933.351807,302.038635,216.514893
68.789154,987.260742,-38.266846,11533.21484,493.202637,671.166626
91.55542,2064.137695,-75.177124,8673.544922,1006.386108,1215.489868
111.781708,59.100586,-106.11232,2942.857178,117.056137,176.322205
80.851006,62.071533,28.933174,2189.740967,196.276321,33.327965
62.763374,47.099121,46.038864,1117.151489,159.440079,87.598984
170.534637,24.956543,-61.618324,3584.868408,55.047928,101.241943
240.317871,14.934326,22.18837,2907.619629,224.093918,227.03717
100.758659,45.381836,-156.181213,2315.451172,124.02169,182.486969
36.464241,9.865112,-49.192162,272.742188,23.234457,93.518234
100.615921,25.810547,13.104439,52.754272,155.043991,29.606331
73.821671,30.791748,-17.420708,666.670532,221.250305,313.013763
100.111099,28.272949,-13.378571,651.424622,235.568512,144.277176
169.867294,1260.126465,-87.276894,2844.143799,585.367798,501.743866
114.79422,6.271606,-18.596237,475.675934,44.734455,89.873375
77.953629,95.719727,-27.043495,1845.508057,43.319084,147.029007
51.347652,28.7229,85.997963,3287.924316,81.588997,117.864243
58.156487,68.805664,-100.636047,1455.785889,115.602318,335.636353
85.60939,64.849609,-20.418762,912.019409,33.508114,87.238525
29.308548,229.651855,84.361755,776.363708,3.781276,6.592834
35.675228,89.925049,42.982964,934.596008,366.957581,420.555603
11.033931,173.618286,13.600964,1650.683228,417.572571,436.006592
28.720886,21.429443,14.797318,168.796906,247.543472,142.945312
245.410049,432.40918,-17.31987,12573.37402,209.633087,396.524872
145.816406,168.737793,11.148041,4041.424316,434.623322,215.831604
127.682236,18.165405,1.521172,537.819824,78.579422,141.411774
26.395109,39.644043,-2.402206,1481.709351,93.943146,186.364838
99.446533,92.986084,-12.8078,3265.815186,301.396088,282.883209
47.787106,71.555664,21.355133,791.022461,116.566414,71.960892
95.651871,21.168945,-65.338821,1548.084351,49.853939,98.892303
68.279274,4.910889,85.236298,441.85553,284.871857,134.721329
237.04393,137.638428,-2.428261,4160.008301,166.299835,292.844299
71.547043,111.380859,12.298492,1983.083862,226.32489,155.759445
37.80835,14.411255,-18.468956,746.387817,91.265816,135.15152
20.002991,18.501465,31.112167,208.719254,158.867859,92.145569
95.54538,143.118652,134.467972,11.831656,29.852785,2.900558
133.288895,33.255249,0.195206,959.63031,235.055359,120.610115
7.466596,52.472168,14.854084,222.298248,31.197645,164.677872
601.28949,1132.125,-278.867493,5575.672852,223.966965,853.121704
39.618317,50.809082,53.17971,1193.05835,89.589752,43.258438
144.644684,2780.751953,-75.58609,6902.632812,420.030121,767.673462
34.128353,10.603516,17.811554,1627.588379,269.879303,52.736115
13.922117,35.877197,100.787674,810.398682,136.36525,66.216698
82.220207,41.588745,-18.612801,1352.295288,722.122864,191.99176
5.310979,60.693604,28.941895,721.861084,89.046974,89.58432
41.511852,8.806641,19.467789,1426.401367,215.019165,187.753693
83.641342,70.236816,63.834335,2754.784668,104.461876,127.168335
58.613449,85.618774,97.542984,14.890888,117.926491,5.38813
93.094765,72.971069,-53.861282,677.270264,224.784851,95.729797
15.069649,41.574219,-147.151855,4390.984375,75.150703,194.568207
94.705688,82.289795,-130.336929,722.941467,635.994446,994.234863
69.251511,70.085205,29.460358,1702.976929,150.182007,111.169434
124.231987,281.455322,38.797256,2696.593506,186.62941,261.166718
139.996979,27.367676,7.434135,761.236816,186.166763,146.535889
31.873497,229.587891,-44.15712,4573.783203,392.447479,657.782349
6.143585,63.543213,48.629852,69.858505,15.386801,44.873581
378.851746,421.042969,-119.337982,10722.83984,1053.735596,616.445068
96.265572,132.36853,61.984901,1551.379028,318.493683,202.276718
159.039459,107.458496,-5.178368,1777.887695,631.135376,418.283234
160.178741,64.320923,-20.780434,3444.63501,68.720261,107.78479
135.184769,132.238281,-42.078476,1903.689087,540.578918,709.87085
9.413387,69.025391,-5.90155,1815.445923,118.359619,46.016922
42.105469,51.210571,11.43684,364.889252,25.909662,132.488464
162.263702,197.639648,-79.031929,2848.662842,249.736542,235.767426
24.36134,50.094116,-5.433533,817.142639,76.597748,101.379845
2.502722,2.371948,64.404121,952.153503,409.44455,283.436462
42.108574,266.078125,-38.359131,819.046265,297.710114,190.608154
562.810791,233.702637,-64.934204,21622.0625,391.013428,206.514893
38.738403,147.054443,-47.687767,526.636902,164.094467,86.559937
105.328224,103.930664,-67.211761,609.10614,184.520096,139.485443
54.13092,17.825195,26.187042,1202.227051,4.068984,12.120117
65.239967,2.00061,-5.075256,380.422668,33.808563,84.574661
4.859108,80.37915,84.04686,1088.770752,209.28067,162.730621
40.368233,63.241211,50.610588,802.735535,6.261135,23.596001
66.274384,3.984131,44.951279,73.257812,145.331924,6.503159
36.758343,40.622925,34.062393,1485.406738,20.972643,29.676601
34.355682,198.311035,74.046295,122.449875,635.207031,4.345093
34.141029,74.713867,99.860069,12.754442,6.360161,8.245766
